hrr,coef_m,pij_diff_cf,health_cf,health_base,n_cases,corr_fe_qual,fe_sd,fe_range,qual_sd,corr_realloc_qual,realloc_to_highq,realloc_to_lowq,fe_mean_highqual,fe_mean_lowqual,n_specs,alpha_used,eta
1,23.331025,.4386612,.015133,.8789104,7066,,0,0,.0670815,.173959,1426.461,-1426.461,0,0,69,23.33102,1
2,34.296618,.3230978,.0123856,.8841733,1914,,0,0,.0299713,.6491431,236.9595,-236.9595,0,0,16,34.29662,1
5,47.627129,.6068895,.0247063,.8967402,2905,,0,0,.0428577,.1901073,76.10932,-76.10937,0,0,34,47.62713,1
6,29.011989,.5375743,.0113121,.8917866,3409,,0,0,.0532759,.1215582,22.38522,-22.38516,0,0,23,29.01199,1
7,23.748235,.3412881,.0059738,.8960252,1505,,0,0,.0430613,.1012027,-5.697053,5.697047,0,0,25,23.74824,1
9,70.522674,.5333473,.0109574,.9078974,127,,0,0,.0430338,.172009,21.25977,-21.25977,0,0,17,70.52267,1
11,13.993111,.554092,.0050856,.905207,3533,,0,0,.0426222,.056237,29.63197,-29.63195,0,0,31,13.99311,1
12,25.048017,.4663111,.0114607,.9131726,9836,,0,0,.0414622,.1375156,892.2676,-892.2678,0,0,65,25.04802,1
14,21.555316,.5772725,.0243222,.902174,3008,,0,0,.0457579,.2384816,970.5084,-970.5084,0,0,29,21.55532,1
15,71.855302,.4162716,.0018616,.9124214,2900,,0,0,.011122,.1646177,24.85448,-24.85446,0,0,12,71.8553,1
16,30.355182,.2999834,.0109137,.9012736,1729,,0,0,.0352489,.4659199,174.3763,-174.3763,0,0,25,30.35518,1
18,23.734374,.2089408,-.0008879,.8966047,1225,,0,0,.0539374,-.0255712,-19.09752,19.09752,0,0,14,23.73438,1
19,34.405281,.5709924,.0350966,.8932981,8553,,0,0,.0377714,.3057865,2563.724,-2563.724,0,0,45,34.40528,1
21,51.578314,.3907188,.0145419,.9133189,1512,,0,0,.0300452,.3898575,427.5748,-427.5748,0,0,21,51.57832,1
22,29.437275,.2480023,.007021,.8839856,824,,0,0,.034199,.4949434,24.38917,-24.38916,0,0,13,29.43727,1
23,47.0669,.6136181,.0297162,.9287221,4599,,0,0,.0398934,.2413481,689.8533,-689.8534,0,0,75,47.0669,1
25,16.99607,.4996726,.0045618,.9075568,2079,,0,0,.0554049,.0459749,-246.7084,246.7083,0,0,37,16.99607,1
31,10.214973,.4725075,.0097906,.8996488,1811,,0,0,.0958042,.061071,29.95453,-29.95454,0,0,24,10.21497,1
33,31.23332,.6463421,.0236366,.92044,2628,,0,0,.0429536,.1735168,237.9267,-237.9267,0,0,47,31.23332,1
43,13.901361,.4661997,.0295241,.8806783,2405,,0,0,.0705186,.3402879,722.4865,-722.4865,0,0,20,13.90136,1
56,53.419937,.8071288,.0626936,.9039394,10867,,0,0,.0423304,.3362603,3839.26,-3839.26,0,0,117,53.41994,1
58,33.049374,.5399053,.0172057,.9061145,2658,,0,0,.0398901,.2381409,645.9038,-645.9038,0,0,54,33.04937,1
62,21.886,.3978906,.0056087,.9097724,540,,0,0,.0369925,.1526175,54.7131,-54.7131,0,0,40,21.886,1
65,18.146812,.5610472,.0180797,.9158301,1782,,0,0,.0410201,.2866108,217.4558,-217.4558,0,0,48,18.14681,1
69,21.641388,.2851872,.0004788,.9170157,1610,,0,0,.0627493,.0057983,-11.29555,11.29556,0,0,18,21.64139,1
73,31.217553,.4768358,.027515,.91439,1847,,0,0,.035222,.5492082,460.8116,-460.8116,0,0,13,31.21755,1
77,24.151419,.5154898,.0147829,.9142958,7613,,0,0,.0446365,.1845209,1961.887,-1961.887,0,0,79,24.15142,1
78,31.348889,.3792395,.006017,.9231288,1611,,0,0,.046526,.1240494,33.59988,-33.5999,0,0,21,31.34889,1
79,27.646366,.601619,.0297442,.8941879,1551,,0,0,.0350476,.4026968,678.3467,-678.3467,0,0,77,27.64637,1
80,57.221406,.4516617,.0079364,.921075,5573,,0,0,.0254864,.360669,1017.93,-1017.93,0,0,60,57.22141,1
81,52.012691,.7862358,.056059,.9147529,2470,,0,0,.0438899,.2281948,771.1335,-771.1336,0,0,56,52.01269,1
82,32.144454,.5665479,.0268301,.9165264,2244,,0,0,.0454825,.2937536,444.0032,-444.0032,0,0,50,32.14445,1
83,47.612259,.3570348,.0079115,.9304925,1510,,0,0,.0247816,.2389589,152.4384,-152.4384,0,0,16,47.61226,1
85,20.86158,.5852565,.0218215,.9177596,1749,,0,0,.040716,.2071109,145.2997,-145.2996,0,0,37,20.86158,1
86,62.171672,.4920078,.0102696,.9321857,2650,,0,0,.0249032,.2660347,717.8596,-717.8596,0,0,23,62.17167,1
87,9.5855142,.5651934,.0041687,.9237152,1222,,0,0,.0440577,.0470713,-167.3651,167.3651,0,0,35,9.585514,1
89,50.960487,.4758946,.0152824,.9241668,1819,,0,0,.0310958,.2928369,654.8046,-654.8046,0,0,39,50.96049,1
91,15.220828,.5957854,.0092573,.908947,1438,,0,0,.0404147,.1093663,512.6036,-512.6035,0,0,52,15.22083,1
96,19.729411,.4455015,.0047406,.9207187,2886,,0,0,.0391103,.0589536,43.97458,-43.97453,0,0,63,19.72941,1
101,50.81886,.3684865,.0073574,.917513,944,,0,0,.0224595,.2960685,209.0279,-209.0279,0,0,20,50.81886,1
102,33.268715,.5019802,.016967,.9109736,3357,,0,0,.0283326,.322142,636.0311,-636.031,0,0,27,33.26871,1
104,26.74109,.5710266,.0048057,.9142335,1947,,0,0,.0255198,.0720756,-370.5169,370.5169,0,0,19,26.74109,1
105,39.691539,.2781332,.0081278,.9318404,1460,,0,0,.0382778,.3159544,50.25901,-50.259,0,0,15,39.69154,1
106,38.705533,.7167731,.0221485,.9032273,1638,,0,0,.0237149,.3426608,959.7902,-959.7902,0,0,22,38.70553,1
107,18.887927,.2473785,.0066422,.8980451,1073,,0,0,.0224627,.5543013,129.2932,-129.2932,0,0,,18.88793,1
109,31.852978,.5631462,.0149329,.9098209,2546,,0,0,.0364148,.2029933,585.9644,-585.9644,0,0,75,31.85298,1
110,54.010395,.8456436,.054347,.8975994,5688,,0,0,.0402162,.1786196,2130.711,-2130.711,0,0,80,54.0104,1
111,57.164446,.6281598,.0303202,.8974799,7660,,0,0,.0395282,.1962845,2557.142,-2557.142,0,0,106,57.16444,1
112,24.064728,.4689983,.0024675,.9111323,6775,,0,0,.043428,.0231391,-133.1478,133.1479,0,0,58,24.06473,1
113,32.198611,.567454,.0147781,.9091252,10840,,0,0,.036687,.1868716,-62.00937,62.0094,0,0,93,32.19861,1
115,21.510972,.62609,.0046327,.9048863,2441,,0,0,.0422442,.0405096,851.5451,-851.545,0,0,23,21.51097,1
116,20.327432,.7128841,.0144578,.8969115,2710,,0,0,.049873,.0819386,202.562,-202.5621,0,0,40,20.32743,1
118,31.870538,.5012251,.0170498,.8995376,11205,,0,0,.0502403,.222974,1651.135,-1651.135,0,0,45,31.87054,1
119,43.065327,.8026302,.0378485,.904561,13437,,0,0,.0522673,.1785065,6613.633,-6613.633,0,0,49,43.06533,1
120,21.52666,.4559987,.0202919,.8860324,2441,,0,0,.0468252,.3050774,511.1445,-511.1445,0,0,31,21.52666,1
122,38.420689,.5229973,.0244914,.8863844,2465,,0,0,.0429117,.3365536,945.4223,-945.4224,0,0,40,38.42069,1
123,25.796647,.515401,.015803,.8925769,9094,,0,0,.0473088,.1172143,3216.199,-3216.199,0,0,35,25.79665,1
124,25.439275,.6625863,.0256547,.874292,1455,,0,0,.0428068,.158938,763.5132,-763.5132,0,0,35,25.43928,1
127,34.192276,.4926289,.0154582,.9076189,1120,,0,0,.0466686,.1888667,129.6658,-129.6657,0,0,30,34.19228,1
129,37.046536,.5846233,.0208011,.9068294,4896,,0,0,.0416858,.149711,761.5953,-761.5954,0,0,55,37.04654,1
130,39.210847,.4987541,.0194024,.8952704,15277,,0,0,.0399368,.3117655,3047.078,-3047.078,0,0,118,39.21085,1
131,37.962299,.3361,.0073433,.9129099,2855,,0,0,.0364978,.2179944,87.33511,-87.33508,0,0,32,37.9623,1
133,45.580482,.3650548,.0180053,.8835871,1172,,0,0,.0329408,.6242108,376.1379,-376.1379,0,0,,45.58048,1
134,33.679013,.522533,.0222813,.8969574,3829,,0,0,.0459868,.242759,1014.434,-1014.434,0,0,31,33.67901,1
137,125.25473,0,-.9164704,.9164704,6920,,0,0,.0194175,-.295712,-5769.708,-1150.292,0,0,40,125.2547,1
139,12.197086,.5266,.0086736,.8973602,1522,,0,0,.0514071,.0679824,607.6356,-607.6356,0,0,30,12.19709,1
140,45.610259,.4663418,.0283359,.8978505,1553,,0,0,.0473387,.4189439,135.6535,-135.6534,0,0,14,45.61026,1
141,33.685176,.6535564,.0209665,.892563,2784,,0,0,.0452234,.1350064,52.36498,-52.36494,0,0,52,33.68518,1
142,8.9296838,.396918,-.0005881,.8848572,288,,0,0,.0330724,-.0228006,19.41557,-19.41557,0,0,13,8.929684,1
144,35.907505,.5547117,.0174601,.9068987,17007,,0,0,.0416171,.2167533,1788.936,-1788.936,0,0,78,35.90751,1
145,47.008801,.3527899,.0214961,.8872365,2871,,0,0,.0340264,.5346593,284.4426,-284.4426,0,0,23,47.0088,1
146,53.268123,.1651424,.0037817,.9020386,1524,,0,0,.0297128,.2848429,219.8893,-219.8893,0,0,,53.26812,1
147,33.871393,.3341521,.0084193,.903442,1822,,0,0,.0354847,.1776454,92.98412,-92.98409,0,0,35,33.8714,1
148,35.347546,.4813483,.0149652,.8783727,1433,,0,0,.0431839,.2228804,497.55,-497.55,0,0,29,35.34755,1
149,23.115684,.3697115,.0006827,.9188424,3670,,0,0,.0342945,.0162534,580.485,-580.4849,0,0,22,23.11568,1
150,10.04676,.3241871,.0058368,.9306531,766,,0,0,.0241018,.4369934,74.31966,-74.31966,0,0,,10.04676,1
154,38.725011,.5067329,.0188539,.9170095,1323,,0,0,.0390932,.3607041,468.7523,-468.7523,0,0,26,38.72501,1
155,17.6037,.5341227,.0179009,.8813684,4834,,0,0,.0414708,.2638044,1209.164,-1209.164,0,0,68,17.6037,1
156,26.842615,.5939672,.0110574,.8917096,3599,,0,0,.040932,.1423518,605.6594,-605.6594,0,0,79,26.84262,1
158,45.838645,.5092785,.0129614,.9065181,3872,,0,0,.0340804,.2709712,537.4545,-537.4545,0,0,52,45.83865,1
161,26.115474,.5210401,-.0003633,.9082726,7401,,0,0,.0315617,-.0055986,-152.2009,152.2008,0,0,49,26.11547,1
163,16.460511,.5994384,.0054056,.9045948,2657,,0,0,.0355086,.0602894,-439.9809,439.9809,0,0,44,16.46051,1
164,20.177622,.6412895,.0156498,.8896322,3315,,0,0,.0415445,.1581593,705.6316,-705.6316,0,0,64,20.17762,1
166,35.896371,.5850046,.020954,.9043322,6121,,0,0,.0390576,.2390581,624.1217,-624.1218,0,0,69,35.89637,1
170,41.964637,.544776,.0202671,.9057756,4417,,0,0,.037779,.2161529,375.7088,-375.7088,0,0,43,41.96464,1
171,46.653626,.6388846,.0268207,.902803,4993,,0,0,.0298294,.317489,2159.106,-2159.106,0,0,64,46.65363,1
172,41.375247,.6207203,.0378563,.8908123,2801,,0,0,.0357876,.3204927,1136.255,-1136.255,0,0,55,41.37525,1
173,19.130335,.5332259,.0126789,.8902119,1398,,0,0,.032418,.3130393,434.3719,-434.3719,0,0,29,19.13033,1
175,36.779486,.7733708,.0423475,.9078452,1220,,0,0,.03589,.3421032,165.9275,-165.9275,0,0,15,36.77949,1
