hrr,coef_m,pij_diff_cf,health_cf,health_base,n_cases,corr_fe_qual,fe_sd,fe_range,qual_sd,corr_realloc_qual,realloc_to_highq,realloc_to_lowq,fe_mean_highqual,fe_mean_lowqual,n_specs,eta
1,.39398606,.3996678,-.0124492,.878905,7066,,0,0,.0670815,-.1771262,-730.9965,730.9965,0,0,69,5
2,.82554734,.313493,-.0033281,.8841816,1914,,0,0,.0299713,-.152373,-85.31004,85.31007,0,0,16,5
5,.21516644,.3446766,-.0001891,.8967392,2905,,0,0,.0428577,-.0026963,-144.188,144.188,0,0,34,5
6,7.835e-20,.3362025,-.0013446,.8917866,3409,,0,0,.0532759,-.0238432,-258.0883,258.0883,0,0,23,5
7,2.187e-16,.2213717,-.0027466,.8960265,1505,,0,0,.0430613,-.160931,-29.7767,29.77671,0,0,25,5
9,.52025657,.6575664,-.0261204,.9078858,127,,0,0,.0430338,-.3614733,-31.09772,31.09772,0,0,17,5
11,.22629888,.5649699,-.0191032,.9052049,3533,,0,0,.0426222,-.2000905,-643.6628,643.6628,0,0,31,5
12,.11527037,.4411429,-.0083496,.9131711,9836,,0,0,.0414622,-.1048836,-977.25,977.25,0,0,65,5
14,.65046713,.393877,-.0026877,.9021674,3008,,0,0,.0457579,-.050944,-139.4205,139.4205,0,0,29,5
15,1.5265259,.4160118,-.0043724,.9124177,2900,,0,0,.011122,-.3430726,-760.165,760.165,0,0,12,5
16,.45894833,.2715337,-.0030034,.9012715,1729,,0,0,.0352489,-.1505768,-3.00324,3.003246,0,0,25,5
18,3.547e-29,.1666752,-.0025391,.8965937,1225,,0,0,.0539374,-.1801596,-41.16216,41.16216,0,0,14,5
19,.24877102,.3658824,-.0045489,.8932961,8553,,0,0,.0377714,-.1208538,-644.9045,644.9045,0,0,45,5
21,1.29893,.3382958,-.005323,.9133098,1512,,0,0,.0300452,-.1484356,-123.7742,123.7742,0,0,21,5
22,1.6328813,.1578263,-.0006207,.8839752,824,,0,0,.034199,-.074001,-41.70976,41.70976,0,0,13,5
23,2.324e-35,.5202318,-.0204046,.9287221,4599,,0,0,.0398934,-.1951719,-1283.189,1283.189,0,0,75,5
25,.70483288,.4211108,-.0110981,.9075524,2079,,0,0,.0554049,-.1150931,-624.3469,624.3469,0,0,37,5
31,.61068395,.2222958,-.0014537,.899621,1811,,0,0,.0958042,-.0289999,28.48452,-28.48452,0,0,24,5
33,3.491e-51,.4129568,-.0044,.92044,2628,,0,0,.0429536,-.0880018,-219.0612,219.0612,0,0,47,5
43,.00040164,.4701589,-.0037784,.8806413,2405,,0,0,.0705186,-.03068,-52.43614,52.43617,0,0,20,5
56,.01623612,.5290133,-.0100414,.9037485,10867,,0,0,.0423304,-.1695861,-1560.067,1560.067,0,0,117,5
58,.83181408,.4665941,-.0054921,.906106,2658,,0,0,.0398901,-.0825689,-130.685,130.6851,0,0,54,5
62,1.5553793,.4043679,-.0102111,.9097998,540,,0,0,.0369925,-.2546246,-35.99864,35.99865,0,0,40,5
65,0,.5204154,-.0012783,.9158485,1782,,0,0,.0410201,-.0234856,-146.2519,146.2519,0,0,48,5
69,.62591374,.1496587,-.0096218,.9170391,1610,,0,0,.0627493,-.2519099,-157.2619,157.2619,0,0,18,5
73,.73548604,.2816521,-.0054151,.9143535,1847,,0,0,.035222,-.1955713,-108.4333,108.4333,0,0,13,5
77,.51826101,.4774297,-.0060718,.9142928,7613,,0,0,.0446365,-.1075483,-588.2764,588.2764,0,0,79,5
79,0,.4606569,.0078197,.8942032,1551,,0,0,.0350476,.1818191,257.2564,-257.2564,0,0,77,5
