hrr,coef_m,pij_diff_cf,health_cf,health_base,n_cases,corr_fe_qual,fe_sd,fe_range,qual_sd,corr_realloc_qual,realloc_to_highq,realloc_to_lowq,fe_mean_highqual,fe_mean_lowqual,n_specs,alpha_used,eta
115,21.500255,.6260813,.004629,.9048861,2441,,0,0,.0422442,.0404808,851.1566,-851.1566,0,0,23,21.50026,5
116,20.327706,.7128479,.014453,.8969112,2710,,0,0,.049873,.0819166,202.4065,-202.4065,0,0,40,20.32771,5
118,31.867762,.5009817,.0170293,.8995392,11205,,0,0,.0502403,.2229518,1648.649,-1648.649,0,0,45,31.86776,5
119,43.066507,.7983859,.0376663,.9045587,13437,,0,0,.0522673,.1788005,6596.908,-6596.908,0,0,49,43.06651,5
120,21.473941,.4556818,.0202412,.8860402,2441,,0,0,.0468252,.3049265,509.6376,-509.6376,0,0,31,21.47394,5
122,38.413685,.5227789,.0244617,.8864109,2465,,0,0,.0429117,.3364562,944.2981,-944.2981,0,0,40,38.41368,5
123,25.798128,.512573,.0157376,.8925767,9094,,0,0,.0473088,.1179646,3193.999,-3193.999,0,0,35,25.79813,5
127,34.197785,.4925699,.0154551,.9076207,1120,,0,0,.0466686,.1888572,129.651,-129.6511,0,0,30,34.19778,5
129,37.031145,.5839356,.0207381,.9068312,4896,,0,0,.0416858,.1496598,759.1541,-759.1541,0,0,55,37.03115,5
130,39.214075,.4986706,.01939,.8952669,15277,,0,0,.0399368,.3118101,3046.166,-3046.166,0,0,118,39.21407,5
131,37.921751,.3356814,.0073292,.9129084,2855,,0,0,.0364978,.2177118,86.50021,-86.50021,0,0,32,37.92175,5
133,45.581916,.3652785,.018031,.8835652,1172,,0,0,.0329408,.6249098,376.308,-376.3079,0,0,,45.58192,5
134,33.671012,.5222377,.0222648,.8969566,3829,,0,0,.0459868,.2428262,1014.05,-1014.05,0,0,31,33.67101,5
137,125.21008,0,-.9164577,.9164577,6920,,0,0,.0194175,-.2956242,-5768.078,-1151.922,0,0,40,125.2101,5
139,12.24492,.5264883,.008712,.8973679,1522,,0,0,.0514071,.0682891,608.2101,-608.2101,0,0,30,12.24492,5
140,45.610259,.4662782,.0283299,.8978505,1553,,0,0,.0473387,.4189893,135.6306,-135.6306,0,0,14,45.61026,5
141,33.679572,.6534733,.0209548,.8925651,2784,,0,0,.0452234,.1349601,52.00869,-52.00874,0,0,52,33.67957,5
142,8.9784448,.3968629,-.0005547,.8848442,288,,0,0,.0330724,-.0215097,19.54704,-19.54704,0,0,13,8.978445,5
144,35.910429,.5541703,.0173965,.9068662,17007,,0,0,.0416171,.2167926,1785.748,-1785.748,0,0,78,35.91043,5
145,47.023071,.3525288,.02149,.8872428,2871,,0,0,.0340264,.5355438,285.01,-285.01,0,0,23,47.02307,5
146,53.155816,.1651314,.0037729,.9020398,1524,,0,0,.0297128,.2841872,219.6192,-219.6192,0,0,,53.15582,5
147,33.871393,.3341981,.0084165,.903442,1822,,0,0,.0354847,.1775548,92.82487,-92.82489,0,0,35,33.8714,5
148,35.357547,.4813408,.0149698,.8783693,1433,,0,0,.0431839,.2229589,497.8618,-497.8618,0,0,29,35.35755,5
149,23.109712,.3700492,.0006576,.918847,3670,,0,0,.0342945,.0156338,579.7666,-579.7667,0,0,22,23.10971,5
150,10.065196,.3244713,.005888,.9306112,766,,0,0,.0241018,.4386311,75.05692,-75.05692,0,0,,10.0652,5
151,19.661503,.3415885,.001857,.9175241,2246,,0,0,.0489619,.0330952,64.70645,-64.70645,0,0,22,19.6615,5
154,38.703037,.506867,.0188665,.9169832,1323,,0,0,.0390932,.3609197,468.9997,-468.9997,0,0,26,38.70304,5
155,17.59878,.5341722,.0178984,.8813622,4834,,0,0,.0414708,.2637624,1208.902,-1208.902,0,0,68,17.59878,5
156,26.850135,.5941431,.0110661,.8917025,3599,,0,0,.040932,.1424355,606.1121,-606.1121,0,0,79,26.85014,5
158,45.846557,.509375,.0129679,.9065113,3872,,0,0,.0340804,.2710383,537.9312,-537.9312,0,0,52,45.84656,5
161,26.117417,.5212197,-.000361,.9082645,7401,,0,0,.0315617,-.0055601,-152.3648,152.3648,0,0,49,26.11742,5
164,20.187497,.6412402,.0156421,.8896447,3315,,0,0,.0415445,.1580788,704.9983,-704.9983,0,0,64,20.1875,5
166,35.902679,.5849014,.0209368,.9043281,6121,,0,0,.0390576,.2391685,623.7708,-623.7708,0,0,69,35.90268,5
170,41.977646,.5448906,.0202601,.9057777,4417,,0,0,.037779,.2160269,375.32,-375.32,0,0,43,41.97765,5
171,46.646359,.6389737,.0268276,.9027888,4993,,0,0,.0298294,.3175947,2159.767,-2159.767,0,0,64,46.64636,5
172,41.437146,.620495,.0378424,.8908373,2801,,0,0,.0357876,.3204581,1135.507,-1135.507,0,0,55,41.43715,5
173,19.183905,.5337037,.0126825,.8902319,1398,,0,0,.032418,.312422,434.8921,-434.8921,0,0,29,19.1839,5
175,36.684991,.7721687,.0422541,.9078542,1220,,0,0,.03589,.341893,164.6782,-164.6781,0,0,15,36.68499,5
179,41.424244,.5545597,.0144278,.908576,4474,,0,0,.0282701,.1612055,227.5372,-227.5372,0,0,35,41.42424,5
180,28.348614,.5083764,.0118236,.889009,3706,,0,0,.0419177,.1104634,1149.375,-1149.375,0,0,43,28.34861,5
