hrr,cf_type,eta,tot_patients,qual_change,spend_change,wt_qual_base_mean,wt_qual_base_p10,wt_qual_base_p25,wt_qual_base_p75,wt_qual_base_p90,wt_qual_cf_mean,wt_qual_cf_p10,wt_qual_cf_p25,wt_qual_cf_p75,wt_qual_cf_p90,wt_spend_base_mean,wt_spend_base_p10,wt_spend_base_p25,wt_spend_base_p75,wt_spend_base_p90,wt_spend_cf_mean,wt_spend_cf_p10,wt_spend_cf_p25,wt_spend_cf_p75,wt_spend_cf_p90
142,"current",1,288,.0003301,,.8848572,.8369906,.8451817,.904943,.904943,.8851873,.8369906,.8451817,.904943,.904943,,,,,,,,,,
144,"current",1,17007,-.0045704,,.9068987,.8850502,.8979167,.914641,.9350074,.9023283,.8850502,.9003181,.912255,.9255568,,,,,,,,,,
145,"current",1,2871,.0028946,,.8872365,.802935,.9020234,.9090909,.9090909,.8901312,.802935,.9020234,.9090909,.9090909,,,,,,,,,,
146,"current",1,1524,.0005651,,.9020386,.8700516,.896914,.9184653,.9184653,.9026036,.8700516,.896914,.9184653,.9184653,,,,,,,,,,
147,"current",1,1822,.00084,,.903442,.8821218,.8980178,.9064362,.9339339,.904282,.8821218,.8980178,.9064362,.9339339,,,,,,,,,,
148,"current",1,1433,.0001823,,.8783727,.8677589,.8677589,.8813559,.8981481,.8785551,.8677589,.8677589,.8813559,.8981481,,,,,,,,,,
149,"current",1,3670,.0000453,,.9188424,.9010897,.9010897,.9405631,.9405631,.9188877,.8876405,.9010897,.9405631,.9405631,,,,,,,,,,
150,"current",1,766,-.0006453,,.9306531,.9027982,.9027982,.9667519,.9667519,.9300078,.9027982,.9027982,.9667519,.9667519,,,,,,,,,,
154,"current",1,1323,.0013073,,.9170095,.8650928,.8934817,.9526627,.9793282,.9183168,.8650928,.8934817,.9526627,.9793282,,,,,,,,,,
155,"current",1,4834,.0001716,,.8813684,.84,.8666667,.9065355,.9174757,.88154,.84,.8530612,.9065355,.9243421,,,,,,,,,,
156,"current",1,3599,-.0011231,,.8917096,.8441247,.8849765,.9113475,.925988,.8905865,.8404256,.8849765,.9156737,.925988,,,,,,,,,,
158,"current",1,3872,-.0002944,,.9065181,.8867586,.9009726,.9168288,.9193549,.9062237,.8867586,.9009726,.9168288,.9193549,,,,,,,,,,
161,"current",1,7401,.012482,,.9082726,.8849765,.8975265,.925988,.925988,.9207547,.9040819,.925988,.925988,.925988,,,,,,,,,,
163,"current",1,2657,.0029989,,.9045948,.8926829,.8993937,.9065355,.93907,.9075938,.8857782,.8993937,.9200913,.93907,,,,,,,,,,
164,"current",1,3315,.0003115,,.8896322,.8728392,.8817204,.9040819,.9065355,.8899437,.8666667,.8825032,.9058387,.9113475,,,,,,,,,,
166,"current",1,6121,.0028083,,.9043322,.8740741,.8993937,.9142539,.93907,.9071405,.8740741,.8993937,.9305019,.93907,,,,,,,,,,
170,"current",1,4417,.0018055,,.9057756,.869213,.9033399,.925,.925,.9075811,.869213,.9033399,.925,.925,,,,,,,,,,
171,"current",1,4993,-.0001147,,.902803,.8867586,.9020619,.910004,.9239303,.9026883,.8857782,.8993937,.9117296,.9239303,,,,,,,,,,
172,"current",1,2801,-.0026307,,.8908123,.8588235,.864564,.9122807,.9264892,.8881817,.8588235,.864564,.9122807,.9264892,,,,,,,,,,
173,"current",1,1398,-.0004455,,.8902119,.8736142,.8789238,.8994083,.9054404,.8897665,.8736142,.8789238,.8994083,.9044665,,,,,,,,,,
175,"current",1,1220,.00021,,.9078453,.8983051,.9054404,.9054404,.925,.9080552,.8983051,.9054404,.9054404,.925,,,,,,,,,,
179,"current",1,4474,-.0000443,,.9085758,.9074177,.9074177,.9121757,.9290429,.9085314,.9074177,.9074177,.9121757,.9290429,,,,,,,,,,
180,"current",1,3706,-.0001948,,.8890042,.8863109,.8888524,.8925165,.9080459,.8888094,.8863109,.8888524,.8888524,.9080459,,,,,,,,,,
181,"current",1,2511,-.0015202,,.898279,.8729508,.8995078,.9116466,.925,.8967588,.857362,.8857023,.9131535,.925988,,,,,,,,,,
183,"current",1,13097,.0002866,,.9051214,.8837885,.8885468,.9236499,.9336283,.905408,.8837885,.8885468,.9236499,.9338235,,,,,,,,,,
184,"current",1,1307,-.0043226,,.8997853,.8919861,.8919861,.907357,.9236499,.8954628,.8919861,.8919861,.8919861,.9082893,,,,,,,,,,
185,"current",1,1006,.0001353,,.8919622,.8837885,.8837885,.8982313,.915628,.8920975,.8837885,.8837885,.8982313,.915628,,,,,,,,,,
186,"current",1,1564,-.0023332,,.893188,.84,.857362,.9131535,.925,.8908548,.84,.857362,.9131535,.925,,,,,,,,,,
187,"current",1,3999,-.002154,,.9158672,.8995078,.9079254,.9213995,.9298725,.9137132,.8888524,.9015151,.9298725,.9298725,,,,,,,,,,
188,"current",1,1017,-.0019354,,.8954854,.8618421,.8907285,.9131535,.9290429,.89355,.8618421,.8907285,.9131535,.9279279,,,,,,,,,,
190,"current",1,2189,-.007095,,.898156,.8875078,.8875078,.9191951,.9191951,.891061,.8875078,.8875078,.8875078,.9178177,,,,,,,,,,
191,"current",1,4565,.0017166,,.9035783,.875,.910004,.910004,.9191951,.9052948,.8875078,.910004,.910004,.910004,,,,,,,,,,
192,"current",1,6403,-.0091323,,.9101219,.9011581,.9011581,.9197552,.9197552,.9009897,.881692,.9011581,.9068455,.9197552,,,,,,,,,,
193,"current",1,860,-.0014905,,.9053754,.8902743,.8902743,.9077615,.9192805,.9038849,.8875078,.8902743,.9077615,.9117296,,,,,,,,,,
194,"current",1,2055,-.0015054,,.9098042,.8875078,.9011581,.9191951,.9191951,.9082988,.8875078,.8943662,.9191951,.9191951,,,,,,,,,,
195,"current",1,939,-.0001565,,.9051055,.904741,.904741,.904741,.904741,.904949,.904741,.904741,.904741,.904741,,,,,,,,,,
196,"current",1,1618,.0001926,,.9056374,.9045515,.9045515,.9045515,.9124134,.9058301,.9045515,.9045515,.9045515,.9124134,,,,,,,,,,
