hrr,coef_m,pij_diff_cf,health_cf,health_base,n_cases,corr_fe_qual,fe_sd,fe_range,qual_sd,corr_realloc_qual,realloc_to_highq,realloc_to_lowq,fe_mean_highqual,fe_mean_lowqual,n_specs,eta
1,.18022696,.314371,.0005429,.8789104,7066,.1359161,1.139061,5.384686,.0670815,.0121883,161.0469,-161.0469,.4127369,.3819475,69,1
2,.54875981,.148071,-.0030389,.8841733,1914,.1425549,.7985034,3.079819,.0299713,-.2390948,-50.1426,50.1426,-.3598476,-.8184055,16,1
5,.11031827,.3329572,.0013756,.8967402,2905,.2699466,2.037458,6.367942,.0428577,.0160476,-158.8563,158.8563,3.42099,2.552903,34,1
6,1.808e-13,.3658954,.00065,.8917866,3409,.018406,4.212702,16.11278,.0532759,.0111147,-277.5789,277.5789,-2.097102,-2.279298,23,1
7,.01455374,.241025,-.0027141,.8960252,1505,.2096675,1.287124,4.843228,.0430613,-.0643134,-106.4299,106.4299,.4244738,-.0289917,25,1
9,.17041574,.2026909,-.00571,.9078974,127,-.072843,2.923247,11.11351,.0430338,-.4679223,-7.199847,7.199846,2.527867,2.803691,17,1
11,.12387494,.393946,-.0056762,.905207,3533,.3167851,.7576976,3.365586,.0426222,-.0742844,-514.7947,514.7947,-.5547301,-.7213266,31,1
12,.03065552,.3979929,-.0069247,.9131726,9836,-.0984687,3.232417,16.71822,.0414622,-.083633,-1296.631,1296.631,-1.338041,-1.066489,65,1
14,.33470738,.2685066,.0016713,.902174,3008,.1530525,2.585828,14.97981,.0457579,.0539602,65.18484,-65.18486,-1.025822,-2.469503,29,1
15,.75199446,.3425856,-.0017375,.9124214,2900,.0635531,.979574,3.296278,.011122,-.171771,-330.0057,330.0057,-1.135861,-1.544639,12,1
16,.11213959,.1911787,-.0014597,.9012736,1729,.0137273,4.510777,17.50962,.0352489,-.0601498,-121.2354,121.2353,-1.625153,-1.608109,25,1
18,0,.235897,-.0048776,.8966047,1225,.3073868,1.051772,3.611598,.0539374,-.1083525,-83.67856,83.67856,-.2912218,-.9258429,14,1
19,.1457358,.3082337,-.0111452,.8932981,8553,-.0867282,.9500161,3.89676,.0377714,-.2290311,-1405.116,1405.116,-1.854929,-1.737763,45,1
21,.63310349,.2993721,-.002535,.9133189,1512,.4740431,5.350862,16.4077,.0300452,-.1331493,-120.9602,120.9602,-1.642322,-2.388245,21,1
22,.949766,.0854945,.0005553,.8839856,824,.1877421,.8789973,3.144668,.034199,.2031226,-5.755853,5.755854,-.3762344,-.8300754,13,1
23,3.287e-14,.4935608,-.0170937,.9287221,4599,.1141873,3.117446,17.61921,.0398934,-.1683945,-809.793,809.7931,-.8552349,-1.176686,75,1
25,.41813838,.3531537,-.0106273,.9075568,2079,.1606603,.9049613,4.302002,.0554049,-.1656408,-376.5167,376.5167,.8004611,.456016,37,1
31,.26119433,.352076,-.0166611,.8996488,1811,.1008763,3.030349,15.78721,.0958042,-.1352331,-224.9167,224.9167,-.7569786,-2.230567,24,1
33,5.834e-23,.5110065,-.0071624,.92044,2628,-.0726978,4.107773,18.54305,.0429536,-.0558193,-597.7847,597.7847,.0125332,.2163058,47,1
43,0,.224934,-.0016914,.8806783,2405,-.0427959,.7614471,3.182206,.0705186,-.0986677,-.3452879,.345283,-1.443196,-1.377659,20,1
56,.07140823,.458793,-.0038233,.9039394,10867,.263503,.9866867,4.62638,.0423304,-.0808007,-1082.721,1082.721,.1536148,-.227086,117,1
58,.44096152,.3682681,-.0041574,.9061145,2658,.1840154,2.266024,17.06993,.0398901,-.1493397,-38.02641,38.02641,.4448243,-.3688365,54,1
62,1.0206289,.2967758,-.0012152,.9097724,540,.226558,.9969481,3.936476,.0369925,-.0431926,17.99314,-17.99314,.3530664,.0663374,40,1
65,2.87e-130,.4430166,-.0053362,.9158301,1782,.0753922,2.28003,16.04873,.0410201,-.1370971,-196.255,196.255,-.6637493,-1.398625,48,1
69,.49180407,.3041177,-.0132722,.9170157,1610,-.1343234,3.203065,15.52211,.0627493,-.1559862,-255.1293,255.1292,-1.891539,-.0665279,18,1
73,.35306706,.1834497,-.0024223,.91439,1847,.2255957,.6020883,2.041406,.035222,-.225597,-20.99356,20.99358,.1025371,-.0288641,13,1
