hrr,cf_type,eta,tot_patients,qual_change,spend_change,wt_qual_base_mean,wt_qual_base_p10,wt_qual_base_p25,wt_qual_base_p75,wt_qual_base_p90,wt_qual_cf_mean,wt_qual_cf_p10,wt_qual_cf_p25,wt_qual_cf_p75,wt_qual_cf_p90,wt_spend_base_mean,wt_spend_base_p10,wt_spend_base_p25,wt_spend_base_p75,wt_spend_base_p90,wt_spend_cf_mean,wt_spend_cf_p10,wt_spend_cf_p25,wt_spend_cf_p75,wt_spend_cf_p90
205,"full",5,10402,.0145569,,.8992677,.8657649,.8887414,.9115044,.9178404,.9138246,.9115044,.9178404,.9178404,.9178404,,,,,,,,,,
207,"full",5,301,.0023253,,.8935699,.8709257,.8709257,.9074177,.9096045,.8958952,.8709257,.8709257,.9096045,.9096045,,,,,,,,,,
208,"full",5,2353,-.0004494,,.8793427,.8727142,.8727142,.8923077,.9074177,.8788933,.8693694,.8727142,.8923077,.9056604,,,,,,,,,,
209,"full",5,1062,.0006793,,.8962326,.8791209,.8837209,.9080882,.9080882,.8969119,.8791209,.8837209,.9080882,.9080882,,,,,,,,,,
210,"full",5,1757,-.0019568,,.8968053,.8736162,.9021299,.9021299,.9021299,.8948485,.8736162,.9021299,.9021299,.9021299,,,,,,,,,,
212,"full",5,985,-.0023156,,.8897345,.8622754,.8864169,.9021299,.90875,.8874189,.8622754,.8864169,.9021299,.9074941,,,,,,,,,,
213,"full",5,3001,.0019236,,.9124186,.8709677,.8992043,.9239611,.9465346,.9143422,.8928571,.9056604,.9239611,.9239611,,,,,,,,,,
214,"full",5,1455,-.0002548,,.9135734,.8769231,.9223856,.9223856,.9273012,.9133186,.8769231,.9223856,.9223856,.9223856,,,,,,,,,,
216,"full",5,582,.0021833,,.8927361,.8465473,.8614131,.907173,.9264706,.8949194,.8465473,.8666667,.907173,.9264706,,,,,,,,,,
217,"full",5,607,.0001996,,.8955636,.8948692,.8948692,.8948692,.8948692,.8957632,.8948692,.8948692,.8948692,.8948692,,,,,,,,,,
218,"full",5,263,-.0005607,,.9111521,.8818898,.904321,.9264706,.9305556,.9105914,.8818898,.904321,.9264706,.9264706,,,,,,,,,,
219,"full",5,2544,-.0000837,,.8848785,.8541872,.8541872,.9065934,.9065934,.8847947,.8541872,.8541872,.9065934,.9065934,,,,,,,,,,
220,"full",5,286,.0002636,,.8968576,.8645833,.890852,.9055555,.9309211,.8971212,.8614131,.890852,.9055555,.9309211,,,,,,,,,,
222,"full",5,4284,.0027509,,.9023504,.8694915,.8862745,.919708,.9285714,.9051012,.8786566,.8947368,.919708,.9285714,,,,,,,,,,
223,"full",5,15565,.029171,,.9040179,.8753623,.8900678,.9334787,.9343389,.9331889,.9343389,.9343389,.9343389,.9343389,,,,,,,,,,
225,"full",5,4517,-.0037156,,.8984506,.8629944,.8971894,.9097453,.9131386,.8947349,.8629944,.8836364,.9097453,.9131386,,,,,,,,,,
226,"full",5,2663,-.0014924,,.9028435,.8809091,.8957816,.9207792,.9238705,.9013511,.8804892,.8931718,.9101838,.9238705,,,,,,,,,,
227,"full",5,21688,.0019654,,.9038106,.8633218,.8900881,.9230769,.940625,.905776,.875,.9063291,.9097664,.9245283,,,,,,,,,,
230,"full",5,3286,.0004661,,.9131503,.8745387,.890411,.936,.9360731,.9136164,.8745387,.890411,.936,.9360731,,,,,,,,,,
231,"full",5,1086,.0058158,,.9096581,.8795181,.8875878,.9342544,.9373738,.9154739,.880226,.9004174,.9342544,.940625,,,,,,,,,,
232,"full",5,6105,.0034029,,.8934687,.8565815,.8755365,.9169295,.9311005,.8968716,.854714,.8786031,.9311005,.9311005,,,,,,,,,,
233,"full",5,2518,-.0017672,,.8919693,.8565815,.8857143,.9129493,.9230769,.890202,.8508065,.8809524,.9065421,.9230769,,,,,,,,,,
235,"full",5,2963,.0005683,,.8871222,.880016,.882243,.8913782,.903183,.8876905,.8635395,.8825979,.8913782,.9074074,,,,,,,,,,
236,"full",5,2560,-.0022354,,.9025838,.8815104,.8926654,.9102564,.9330944,.9003484,.8815104,.8815104,.9048991,.9444444,,,,,,,,,,
238,"full",5,2768,.0074155,,.9014195,.862426,.8902439,.9230769,.9330944,.9088351,.862426,.8965517,.9230769,.9330944,,,,,,,,,,
239,"full",5,3664,-.0039416,,.8979794,.8695652,.8924112,.9178862,.9178862,.8940378,.8695652,.8924112,.8965517,.9178862,,,,,,,,,,
240,"full",5,528,.0003559,,.8568203,.8511904,.8511904,.8511904,.8712871,.8571762,.8511904,.8511904,.8511904,.8712871,,,,,,,,,,
242,"full",5,1196,.001305,,.9201397,.8815104,.8946624,.9552239,.9805195,.9214447,.8815104,.8946624,.9552239,.9805195,,,,,,,,,,
243,"full",5,802,.0013334,,.8927104,.8485714,.9013241,.9105263,.9105263,.8940439,.8485714,.9013241,.9105263,.9105263,,,,,,,,,,
244,"full",5,2519,-.0039341,,.900971,.8573596,.882243,.9274611,.9397835,.8970369,.8565815,.8755365,.9274611,.9397835,,,,,,,,,,
245,"full",5,3393,-.0010315,,.8929504,.8573596,.8803921,.9129493,.9162304,.891919,.854714,.8755365,.9129493,.9191375,,,,,,,,,,
246,"full",5,3334,-.0022269,,.8843623,.849711,.8635395,.9076034,.93,.8821353,.849711,.8635395,.9074074,.9239131,,,,,,,,,,
248,"full",5,804,.0009342,,.9217636,.897474,.9213995,.9330944,.9545454,.9226978,.897474,.9213995,.9298725,.9545454,,,,,,,,,,
249,"full",5,1561,-.0023366,,.9187505,.8983051,.9113924,.9285714,.9339623,.9164139,.9105263,.9113924,.9285714,.9339623,,,,,,,,,,
250,"full",5,1224,-.003298,,.9002401,.8765432,.8765432,.9104331,.9104331,.896942,.8765432,.8765432,.9104331,.9104331,,,,,,,,,,
251,"full",5,5801,.0033897,,.8973728,.8765586,.8780488,.9050847,.9222479,.9007625,.8765586,.8834842,.9050847,.9306723,,,,,,,,,,
253,"full",5,793,-.0032537,,.9011839,.8784404,.8979938,.904741,.9179487,.8979302,.8784404,.8784404,.904741,.9063308,,,,,,,,,,
254,"full",5,352,-.0011314,,.9069703,.894081,.8984771,.9130435,.9306723,.9058389,.8984771,.8984771,.9063308,.9306723,,,,,,,,,,
256,"full",5,1892,-.0013192,,.9037346,.9037711,.9037711,.9063308,.9122292,.9024154,.8784404,.9037711,.9063308,.9122292,,,,,,,,,,
257,"full",5,835,-.0019911,,.8966276,.8614131,.890852,.9309211,.9309211,.8946365,.8267717,.890852,.9309211,.9309211,,,,,,,,,,
258,"full",5,1329,-.0105841,,.8853428,.8311688,.8708609,.8977424,.8977424,.8747587,.8311688,.8658009,.8977424,.8977424,,,,,,,,,,
259,"full",5,2437,-.0197698,,.8979254,.8438818,.9105883,.9133649,.9133649,.8781556,.7987805,.8438818,.9133649,.9133649,,,,,,,,,,
260,"full",5,412,-.0008231,,.9095367,.8965517,.8965517,.9282297,.9282297,.9087136,.8965517,.8965517,.9282297,.9282297,,,,,,,,,,
261,"full",5,576,.0012019,,.8941945,.8656716,.8900463,.9169139,.9186345,.8953964,.8656716,.8900463,.9169139,.9186345,,,,,,,,,,
262,"full",5,1752,.0008227,,.9023406,.8438818,.890625,.9184588,.9184588,.9031633,.8438818,.890625,.9184588,.9184588,,,,,,,,,,
263,"full",5,732,-.0000197,,.9047073,.8727142,.9085873,.9085873,.9085873,.9046876,.8727142,.9085873,.9085873,.9085873,,,,,,,,,,
264,"full",5,2777,-.0115533,,.8767627,.8358209,.8531073,.8927125,.9096045,.8652094,.8358209,.8358209,.891,.8971962,,,,,,,,,,
267,"full",5,2500,-.0049955,,.8924154,.8947135,.8947135,.8947135,.8947135,.8874199,.8783415,.8947135,.8947135,.8947135,,,,,,,,,,
268,"full",5,12506,.0053452,,.8972253,.8504099,.8783415,.9098026,.9264271,.9025705,.9046575,.9046575,.9046575,.9046575,,,,,,,,,,
270,"full",5,3274,.0067641,,.9062175,.9008985,.9008985,.9150943,.9232895,.9129816,.9008985,.9096045,.9232895,.9232895,,,,,,,,,,
273,"full",5,12981,.0212312,,.8927641,.8754871,.8763285,.9176334,.9231398,.9139953,.9176334,.9176334,.9176334,.9176334,,,,,,,,,,
276,"full",5,1935,.0000135,,.9081295,.8461539,.9038461,.924185,.9306358,.908143,.8868778,.9038461,.924185,.9306358,,,,,,,,,,
277,"full",5,5016,-.0019428,,.9165332,.8933649,.9158908,.923951,.9287926,.9145904,.8933649,.9158908,.9160305,.9336016,,,,,,,,,,
278,"full",5,9540,-.0150188,,.915148,.8819048,.8933649,.9275189,.9347826,.9001292,.8933649,.8933649,.8933649,.9336016,,,,,,,,,,
279,"full",5,3345,.0007379,,.8951274,.8829982,.8829982,.902834,.9193549,.8958653,.8829982,.8829982,.902834,.9193549,,,,,,,,,,
281,"full",5,880,.0010139,,.9229087,.9037207,.9037207,.9453125,.9553571,.9239226,.9037207,.9037207,.9453125,.9553571,,,,,,,,,,
282,"full",5,4403,-.0007651,,.9093063,.8894899,.8894899,.9186653,.9301701,.9085412,.8894899,.9027237,.9186653,.9301701,,,,,,,,,,
283,"full",5,18800,.0011445,,.9012867,.8609626,.8904482,.9181185,.9275053,.9024311,.8563758,.8955007,.9153486,.9181185,,,,,,,,,,
284,"full",5,3556,-.0010855,,.9041227,.8663968,.8880597,.9188312,.9382522,.9030372,.8626866,.8831169,.9205397,.9386503,,,,,,,,,,
285,"full",5,3196,-.0000985,,.9086094,.8774663,.906556,.920904,.9319481,.908511,.8765823,.9052632,.9188312,.9382522,,,,,,,,,,
288,"full",5,3102,.0002672,,.9047124,.8761062,.8936664,.9142281,.9247136,.9049796,.872915,.8936664,.9179331,.9319481,,,,,,,,,,
289,"full",5,1533,.0000141,,.9023124,.8584071,.8872458,.920354,.9376258,.9023265,.8584071,.8872458,.920904,.9382522,,,,,,,,,,
291,"full",5,1237,.0008807,,.8955174,.8394161,.8701299,.9188312,.9377778,.8963981,.8394161,.8701299,.9188312,.9377778,,,,,,,,,,
292,"full",5,1916,-.0013551,,.9092713,.8761905,.90625,.9188312,.9376258,.9079162,.8729097,.8936743,.9188312,.9382522,,,,,,,,,,
295,"full",5,7705,.0004559,,.906496,.9018075,.9065279,.9085783,.9124861,.9069519,.892598,.9043152,.9085783,.9124861,,,,,,,,,,
296,"full",5,1585,.0009667,,.9034617,.879257,.8849638,.9116608,.9164706,.9044284,.879257,.8849638,.9116608,.9269311,,,,,,,,,,
297,"full",5,539,.0007111,,.9095004,.8628049,.906556,.9349471,.9386503,.9102116,.8628049,.9019102,.9349471,.9408397,,,,,,,,,,
299,"full",5,2355,-.0002761,,.9116929,.8967254,.8967254,.9237393,.9422522,.9114168,.8967254,.8967254,.9237393,.9422522,,,,,,,,,,
300,"full",5,1506,-.0054052,,.9048402,.8844086,.8863869,.9353083,.9353083,.8994349,.8666667,.8863869,.9159292,.9353083,,,,,,,,,,
301,"full",5,14849,.0035294,,.9086565,.8710217,.8908272,.9253247,.9400545,.9121859,.8869681,.9120603,.9191729,.9368687,,,,,,,,,,
303,"full",5,4674,.0000519,,.9112521,.8683948,.906556,.9375,.9408397,.911304,.8683948,.902439,.9375,.943038,,,,,,,,,,
304,"full",5,1325,-.0006812,,.8995039,.8863869,.8888889,.9191919,.9191919,.8988228,.8863869,.8888889,.9164706,.9191919,,,,,,,,,,
307,"full",5,4244,-.0002587,,.9171689,.9105691,.9164706,.9164706,.9353083,.9169101,.9105691,.9164706,.9164706,.9353083,,,,,,,,,,
308,"full",5,4344,-.0016859,,.9070096,.8711832,.9018075,.9294425,.9379906,.9053237,.8628049,.9018075,.9294425,.9379906,,,,,,,,,,
309,"full",5,3501,-.0021151,,.9098125,.8799127,.9107101,.9276637,.9276637,.9076974,.8683761,.8799127,.9276637,.9276637,,,,,,,,,,
311,"full",5,10127,-.0409069,,.9064662,.8904429,.9091328,.9091328,.9170533,.8655593,.845946,.845946,.8918985,.9246032,,,,,,,,,,
313,"full",5,1621,-.0011395,,.8990505,.8953745,.8953745,.9047619,.9047619,.897911,.8953745,.8953745,.8986667,.9047619,,,,,,,,,,
314,"full",5,4791,-.0068325,,.9010945,.8561644,.8921776,.9204621,.9204621,.894262,.8561644,.8921776,.913473,.9228296,,,,,,,,,,
315,"full",5,710,.002588,,.900349,.866426,.8988186,.9091328,.9091328,.902937,.875,.9091328,.9091328,.9091328,,,,,,,,,,
318,"full",5,4539,-.001171,,.8969929,.8691233,.8830996,.9200714,.925,.8958219,.8595194,.8710407,.9200714,.925,,,,,,,,,,
319,"full",5,2556,.0007535,,.8978187,.8931034,.8967583,.9009084,.9009084,.8985722,.8931034,.8967583,.9009084,.9030612,,,,,,,,,,
320,"full",5,2495,.0011115,,.9106414,.8898451,.8988186,.9181287,.9351032,.9117529,.8986667,.9053255,.9181287,.9350181,,,,,,,,,,
322,"full",5,1706,-.0003974,,.9041516,.8888889,.9000529,.9035088,.9254341,.9037542,.8888889,.9000529,.9035088,.9254341,,,,,,,,,,
323,"full",5,492,.0049782,,.8998969,.9000529,.9112554,.9112554,.9112554,.9048751,.9000529,.9112554,.9112554,.9112554,,,,,,,,,,
325,"full",5,2228,-.0138417,,.8848743,.8636364,.8636364,.8953695,.9019953,.8710325,.8284671,.8636364,.891636,.915493,,,,,,,,,,
327,"full",5,8160,.0028958,,.8944626,.8741093,.8916519,.90125,.9175957,.8973584,.8956079,.8956079,.90125,.90125,,,,,,,,,,
328,"full",5,6832,-.003129,,.8952969,.8571429,.8785835,.907483,.9313027,.8921679,.8410175,.8782435,.907483,.9313027,,,,,,,,,,
329,"full",5,11078,-.0097564,,.8996487,.8665879,.890625,.9193111,.9193111,.8898923,.89095,.89095,.89095,.89095,,,,,,,,,,
330,"full",5,5200,.0030734,,.9018852,.8595041,.8864437,.9294118,.9356568,.9049586,.8647799,.8864437,.9317647,.9356568,,,,,,,,,,
331,"full",5,1013,-.0005825,,.8848111,.8662421,.8662421,.9019953,.9019953,.8842286,.8662421,.8662421,.9019953,.9019953,,,,,,,,,,
334,"full",5,5718,.0041525,,.8966703,.8711656,.885516,.9177305,.9356568,.9008228,.8711656,.8924731,.9177305,.9311005,,,,,,,,,,
335,"full",5,3230,.004338,,.9087082,.8743455,.8953824,.9170105,.9407666,.9130462,.8909091,.9019953,.9188361,.9407666,,,,,,,,,,
336,"full",5,1060,-.0011069,,.8944047,.8322148,.8574109,.9368864,.9368864,.8932978,.8322148,.8574109,.9368864,.9368864,,,,,,,,,,
339,"full",5,10177,.000837,,.8967975,.8571429,.8793566,.9167556,.9209265,.8976345,.8571429,.8793566,.9157224,.9178618,,,,,,,,,,
340,"full",5,8140,.0046217,,.9015374,.8866995,.8971559,.9074177,.9209265,.9061591,.8943396,.9044731,.9044731,.9478458,,,,,,,,,,
341,"full",5,1594,,,,,,,,,,,,,,,,,,,,,,
342,"full",5,2121,.0014027,,.9167358,.902834,.902834,.9344934,.9453682,.9181384,.902834,.902834,.9310345,.9477612,,,,,,,,,,
343,"full",5,2122,-.0002751,,.9186702,.9145299,.9147287,.9176136,.9402174,.918395,.9147287,.9147287,.9176136,.9402174,,,,,,,,,,
344,"full",5,2609,.0006081,,.9173912,.9026063,.9104478,.9296875,.9393939,.9179993,.9026063,.9068826,.9296875,.9409283,,,,,,,,,,
345,"full",5,504,-.0005914,,.9269758,.9196891,.9239766,.9301205,.9453682,.9263844,.9239766,.9239766,.9239766,.9415205,,,,,,,,,,
346,"full",5,8123,.009362,,.8982231,.8318518,.8970891,.9138028,.9285274,.9075851,.8669623,.8941352,.9285274,.9285274,,,,,,,,,,
347,"full",5,1067,-.0008737,,.8803635,.8451957,.861678,.8935331,.9117148,.8794897,.8451957,.8571429,.8931826,.9117148,,,,,,,,,,
350,"full",5,2382,.0042412,,.9217005,.8865248,.8946287,.9408014,.9408014,.9259416,.8913242,.9105431,.9408014,.9408014,,,,,,,,,,
352,"full",5,5125,-.0016387,,.898959,.8799005,.8903108,.9071429,.9234973,.8973203,.8799005,.8903108,.8977795,.9117148,,,,,,,,,,
354,"full",5,263,-.0005885,,.8892903,.861678,.8744076,.9021739,.9021739,.8887018,.8598071,.8744076,.9021739,.9021739,,,,,,,,,,
356,"full",5,14931,-.0158054,,.9012715,.8665105,.8943519,.9153486,.9179331,.8854661,.8491903,.8491903,.9369689,.9369689,,,,,,,,,,
357,"full",5,4980,.000949,,.8931115,.8451957,.8918269,.904878,.9188361,.8940605,.8451957,.8947368,.904878,.9260486,,,,,,,,,,
358,"full",5,3887,-.0039719,,.9134706,.8941352,.9085271,.9272614,.9272614,.9094987,.8913242,.9031339,.9272614,.9272614,,,,,,,,,,
359,"full",5,984,-.0025229,,.8937738,.8717119,.8863869,.9071323,.9137529,.8912509,.8863869,.8863869,.8970891,.9105431,,,,,,,,,,
360,"full",5,2103,.0086246,,.8896334,.8717119,.8717119,.9137529,.9137529,.898258,.8717119,.8717119,.9137529,.9137529,,,,,,,,,,
362,"full",5,1098,.0006649,,.901665,.8970891,.8970891,.9105431,.9105431,.90233,.8970891,.8970891,.9105431,.9105431,,,,,,,,,,
363,"full",5,2591,.0050687,,.9087812,.8977795,.8977795,.919403,.919403,.9138499,.8977795,.919403,.919403,.919403,,,,,,,,,,
364,"full",5,4761,.0037183,,.9148878,.87046,.9032258,.9452672,.9452672,.9186061,.87046,.9032258,.9452672,.9452672,,,,,,,,,,
365,"full",5,4007,-.0035278,,.9168777,.8937844,.9180036,.9265659,.9270833,.91335,.8937844,.8967583,.9265659,.9313725,,,,,,,,,,
366,"full",5,5723,-.0001996,,.9120056,.8940043,.9064857,.9211218,.9311273,.911806,.8940043,.907489,.9211218,.9211218,,,,,,,,,,
367,"full",5,1313,-.0017774,,.8960416,.8804213,.8804213,.9151344,.9265659,.8942642,.8804213,.8804213,.9130435,.9265659,,,,,,,,,,
368,"full",5,5704,.0047297,,.9185923,.8980963,.9192547,.9311273,.9311273,.923322,.8980963,.9311273,.9311273,.9311273,,,,,,,,,,
369,"full",5,1517,.0038765,,.8994067,.8733153,.8733153,.9311273,.9423816,.9032832,.8733153,.8739496,.9311273,.9423816,,,,,,,,,,
371,"full",5,5055,-.0003324,,.9006745,.8700565,.9083041,.9124134,.9237288,.9003422,.8618785,.9083041,.9124134,.9237288,,,,,,,,,,
373,"full",5,3726,-.0092095,,.9070145,.9040334,.9040334,.912255,.912999,.897805,.8639456,.9040334,.9040334,.912999,,,,,,,,,,
374,"full",5,1369,.000267,,.8574437,.7893462,.8344156,.8778626,.9056604,.8577107,.79,.8465704,.8778626,.9056604,,,,,,,,,,
375,"full",5,839,.0020052,,.8874811,.8807811,.8807811,.8837965,.9276637,.8894863,.8807811,.8807811,.8837965,.9276637,,,,,,,,,,
376,"full",5,1365,-.0002211,,.8700305,.8333333,.8603066,.8837965,.8837965,.8698094,.8333333,.8603066,.8837965,.8837965,,,,,,,,,,
377,"full",5,6588,-.0237527,,.9079922,.8879493,.9158092,.9158092,.9158092,.8842396,.8837965,.8879493,.8879493,.8904899,,,,,,,,,,
380,"full",5,12421,.0041141,,.8997839,.8764616,.8903226,.9110898,.9218662,.903898,.8860182,.8860182,.9218662,.9218662,,,,,,,,,,
382,"full",5,1140,-.0003191,,.8848034,.8768844,.880597,.8944392,.8944392,.8844842,.8768844,.8768844,.8944392,.8944392,,,,,,,,,,
383,"full",5,2064,.0034643,,.871866,.8074867,.8506494,.9138514,.9585062,.8753304,.8074867,.8506494,.9138514,.9585062,,,,,,,,,,
