hrr,mfx_10,pfx_10,pfx_fam_10,pfx_m0_10,mfx_25,pfx_25,pfx_fam_25,pfx_m0_25,mfx_50,pfx_50,pfx_fam_50,pfx_m0_50,mfx_75,pfx_75,pfx_fam_75,pfx_m0_75,mfx_90,pfx_90,pfx_fam_90,pfx_m0_90,mfx_mean,pfx_mean,pr_mean,pr_obs,pfx_fam_mean,pfx_m0_mean,mfx_sd,pfx_sd,pfx_fam_sd,pfx_m0_sd,mfx_count,pfx_count,hrr_group,eta
456,5.90e-28,0,-.1644375,0,1.66e-27,0,-.0579918,0,3.82e-27,0,.0598911,0,7.64e-27,0,.2424607,0,1.34e-26,0,.3480151,0,5.60e-27,0,.582046,.4649298,.0822237,0,5.67e-27,0,.1911728,0,998,998,305,1
452,.0013175,-.0259812,-.0478656,-.0099007,.0055865,-.0165454,-.0082548,-.0006452,.0137435,-.0083439,.053469,.0005867,.0280389,-.0030695,.276459,.0034822,.0418332,-.00085,.6040865,.0069559,.0190473,-.0110683,.2655938,.2671928,.1612624,-.0003997,.0182785,.0099503,.2532499,.0099124,1774,1774,304,1
451,0,0,-.0307163,0,0,0,-.0065211,0,0,0,.0563834,0,0,0,.2830446,0,0,0,.5501515,0,0,0,.2474844,.2346758,.1603794,0,0,0,.2248683,0,41095,41095,303,1
450,4.48e-16,0,-.089907,0,1.13e-15,0,-.0328203,0,2.39e-15,0,.2058996,0,4.44e-15,0,.4551909,0,7.55e-15,0,.5783951,0,3.30e-15,0,.4578031,.461183,.2159976,0,2.98e-15,0,.2599299,0,2164,2164,302,1
449,0,0,-.0461152,0,0,0,-.0132447,0,0,0,.0939803,0,0,0,.4810903,0,0,0,.6593051,0,0,0,.3493869,.3374692,.220819,0,0,0,.2799233,0,8946,8946,301,1
448,.0101868,-.0805839,-.0648539,-.0289139,.024696,-.0580492,.0475106,-.0044375,.0508363,-.0320717,.2480285,.0033033,.0918781,-.0169157,.4171726,.0125018,.1355552,-.00801,.5893561,.0195956,.0644201,-.037855,.527307,.3961977,.2499768,-.0005514,.0514748,.0255615,.2596745,.0281664,1315,1315,300,1
447,.0009961,-.006382,-.1246756,-.0034054,.0022339,-.0042372,-.0330226,-.0003861,.0039118,-.0026509,.1180276,.000175,.0067003,-.0015696,.332809,.0011282,.0099444,-.0007499,.5161958,.0026468,.0049151,-.0031588,.388699,.3952615,.1560232,-.0000115,.0038738,.0022054,.2389813,.0029571,3461,3461,299,1
446,4.74e-27,0,-.0314125,0,9.00e-27,0,.0101443,0,1.71e-26,0,.1025721,0,2.77e-26,0,.3185094,0,4.07e-26,0,.534821,0,2.00e-26,0,.306316,.25,.180957,0,1.50e-26,0,.2160548,0,1188,1188,298,1
445,1.19e-20,0,-.0624507,0,3.07e-20,0,-.0251328,0,6.15e-20,0,.0429703,0,1.15e-19,0,.2471128,0,1.83e-19,0,.3694614,0,8.42e-20,0,.3858352,.3579627,.1078315,0,7.73e-20,0,.1692179,0,2788,2788,297,1
443,.0032313,-.0135795,-.0379325,-.0071311,.0057073,-.0094379,-.0053668,-.0003182,.0097421,-.005866,.0401639,.0006472,.015445,-.0036153,.153177,.0025165,.0229982,-.0020377,.287359,.004789,.0116754,-.0068736,.2920979,.2484798,.0818,.0000284,.0083331,.0044064,.1297098,.0058496,7236,7236,295,1
442,0,-.0091406,-.0329407,-.0040675,.0008702,-.0055492,0,-.0004694,.00347,-.0024675,.0198361,.0000246,.008389,-.0005777,.0473436,.0011696,.0150644,0,.0895146,.0038725,.0066325,-.0041523,.7306756,.6864813,.0296145,-.0000846,.0108261,.0057312,.067802,.0064733,1043,1043,294,1
441,2.51e-22,0,-.1367644,0,5.38e-22,0,-.0463468,0,9.45e-22,0,.0515346,0,1.45e-21,0,.2627532,0,2.25e-21,0,.4194996,0,1.13e-21,0,.3664656,.3495519,.1049498,0,8.75e-22,0,.2064128,0,6248,6248,293,1
440,.000249,-.0011524,-.0659083,-.0006421,.0004531,-.0008025,-.0251675,-.000057,.0007631,-.0005122,.0406272,.0000448,.0012414,-.0003023,.2050666,.0002166,.0019061,-.0001649,.3817615,.0004816,.0009537,-.0005965,.3075153,.3094688,.1015357,-2.65e-07,.0007397,.0003966,.1781715,.0005372,16887,16887,292,1
439,.0001322,-.0012421,-.0583778,-.0004156,.0002778,-.0007759,.000838,-.0000276,.0006229,-.0004017,.2144072,.0000498,.0012711,-.0001941,.509555,.0001725,.0021158,-.0000954,.6606021,.0002703,.0008685,-.0005283,.4290157,.2960107,.2554671,3.63e-06,.0007744,.000413,.2755689,.0004421,12709,12709,291,1
438,1.09e-38,0,-.0667135,0,2.14e-38,0,-.0264338,0,5.03e-38,0,.1839052,0,1.20e-37,0,.2675024,0,2.35e-37,0,.3490088,0,9.67e-38,0,.5222647,.4809102,.1378823,0,1.26e-37,0,.1696365,0,2593,2593,290,1
437,5.09e-28,0,-.0559201,0,9.50e-28,0,-.0171913,0,1.84e-27,0,.1338453,0,3.50e-27,0,.351487,0,5.82e-27,0,.5291513,0,2.54e-27,0,.3623149,.3535256,.1810013,0,2.22e-27,0,.2240756,0,3120,3120,289,1
432,.0004095,-.0022963,-.0815168,-.001323,.0008533,-.001548,-.0164049,-.0001711,.0015015,-.0009844,.077495,.0000968,.0025219,-.0005992,.2657924,.0004375,.0037138,-.0003066,.4536119,.0010475,.0018782,-.0011605,.3465998,.3197425,.1321526,-7.23e-06,.0014963,.0007799,.1962504,.0011217,10252,10252,287,1
431,0,0,-.0905131,0,0,0,-.0334194,0,0,0,.0298274,0,0,0,.2415051,0,0,0,.3773129,0,0,0,.3244017,.3127086,.0998295,0,0,0,.179232,0,25471,25471,286,1
430,0,0,-.0400518,0,0,0,-.0102806,0,0,0,.0416675,0,0,0,.1558857,0,0,0,.2801894,0,0,0,.2377253,.2228506,.0834045,0,0,0,.1268085,0,26345,26345,285,1
429,.0013027,-.0071888,-.0462498,-.0036553,.0025786,-.0050811,-.0161424,-.0002663,.0047421,-.0031205,.02494,.0002809,.0078778,-.0017022,.1390812,.0012471,.0117958,-.0007706,.2440412,.0028804,.005851,-.0036426,.1999707,.1987272,.0681383,1.43e-06,.0045935,.0025262,.119528,.0031722,19328,19328,284,1
427,.0016928,-.0128295,-.0358267,-.0063404,.0034667,-.0079112,-.0031302,-.0005253,.0069547,-.0044779,.0886188,.0004735,.0131745,-.0022669,.2748125,.0018149,.0223162,-.0011355,.3972159,.0039738,.0096646,-.005705,.3875261,.2827117,.1408792,-.0001783,.008707,.0044891,.1706109,.0052962,6756,6756,282,1
426,.0006845,-.0047497,-.0252776,-.0020172,.0015067,-.0030882,-.0077733,-.0000622,.0028465,-.0017771,.0198349,.0001647,.004938,-.0009183,.1520128,.0007629,.0079492,-.0003865,.3302945,.0015866,.0036724,-.0022169,.2068353,.1865532,.0909436,8.02e-06,.0031271,.0017474,.148395,.0019163,27724,27724,281,1
424,.0001653,-.0012369,-.0339342,-.0006442,.000434,-.0008794,.0066223,-.000031,.0007925,-.0005499,.130156,.0000392,.0013779,-.0003175,.2524592,.0001479,.0021061,-.0001155,.3422993,.0003971,.0009895,-.0006219,.4657156,.4197928,.1405111,-.0000183,.0007738,.0004132,.1519754,.0005331,2799,2799,280,1
422,1.84e-21,0,-.0741898,0,3.41e-21,0,-.033485,0,6.40e-21,0,.0001108,0,1.07e-20,0,.3336905,0,1.74e-20,0,.492812,0,8.45e-21,0,.3110044,.2983974,.1247401,0,7.83e-21,0,.2212114,0,3931,3931,278,1
421,.0000168,-.0000764,-.0315315,-.0000382,.0000326,-.0000551,-.0075341,-5.53e-07,.0000566,-.0000355,.0289487,3.79e-06,.0000908,-.000021,.1209218,.0000141,.0001263,-.0000101,.2499837,.0000281,.0000669,-.0000402,.2084031,.2010433,.0720063,3.79e-07,.0000474,.0000258,.1181893,.0000318,4984,4984,277,1
420,8.84e-18,0,-.1352194,0,2.89e-17,0,-.0066192,0,7.81e-17,0,.0859604,0,1.66e-16,0,.1982658,0,2.50e-16,0,.2837645,0,1.11e-16,0,.5757704,.3335766,.0850027,0,1.09e-16,0,.1583543,0,1370,1370,276,1
418,1.40e-20,0,-.0063087,0,7.01e-20,0,.0273145,0,1.49e-19,0,.0888864,0,2.46e-19,0,.2601397,0,3.15e-19,0,.3382599,0,1.66e-19,0,.5734023,.2760314,.140187,0,1.25e-19,0,.144297,0,1018,1018,275,1
417,0,0,-.1720866,0,0,0,0,0,0,0,.1676209,0,0,0,.2819242,0,0,0,.3699887,0,0,0,.6195697,.2144772,.1277052,0,0,0,.2144101,0,373,373,274,1
416,.0082733,-.0353411,-.0768907,-.0193415,.0139998,-.0233321,-.0189591,-.0044246,.0228118,-.0144236,.0655105,.0016205,.0385984,-.0088933,.2446403,.0073772,.0571477,-.0050751,.3895206,.0157184,.0291288,-.0175011,.2905049,.2499717,.1175772,.0000254,.021929,.0118946,.1820438,.01584,8845,8845,273,1
413,0,0,-.0426725,0,0,0,-.010128,0,0,0,.0917955,0,0,0,.4225952,0,0,0,.599187,0,0,0,.3614598,.3617499,.1976211,0,0,0,.2553511,0,1783,1783,272,1
411,.0185367,-.0528199,-.0731022,-.0382089,.03128,-.0444217,-.0161563,-.0027893,.0462395,-.0287476,.0537974,.0016058,.0670097,-.0194221,.1594186,.0085202,.0920243,-.0108443,.3026435,.0329239,.0519328,-.0304296,.4870448,.2957111,.0835363,.0000442,.0318909,.0155306,.142154,.026257,886,886,270,1
406,0,0,-.0345393,0,0,0,0,0,0,0,.0387432,0,0,0,.1353281,0,0,0,.2148399,0,0,0,.6253033,.400703,.0654653,0,0,0,.1117592,0,569,569,269,1
402,.0026755,-.009409,-.0529967,-.0045307,.0038496,-.0060231,-.030718,-.0011898,.0058276,-.0035703,.0030664,.0005248,.009378,-.0022171,.0837865,.0020341,.0153655,-.0014403,.2072927,.0037436,.0075265,-.0045357,.1989526,.1914622,.0417885,.0000455,.0055267,.0031937,.1123791,.003907,3139,3139,268,1
400,0,-.005517,-.1820285,-.0031549,.0011376,-.0033343,-.0892596,-.0004275,.0031976,-.0018949,.0368352,.0000884,.0056308,-.0008201,.2734439,.0011573,.0083039,0,.4129097,.0025509,.0039652,-.0023314,.5199153,.4364919,.0876236,.0000155,.0038198,.0019979,.2185557,.0025452,2976,2976,267,1
399,0,0,-.0398631,0,0,0,-.0162657,0,0,0,.0278853,0,0,0,.1689179,0,0,0,.2983252,0,0,0,.2990138,.1887719,.0833054,0,0,0,.1334611,0,2850,2850,266,1
397,0,0,-.0106458,0,0,0,.0028096,0,0,0,.0372031,0,0,0,.128208,0,0,0,.2644675,0,0,0,.1790771,.1771719,.084972,0,0,0,.1234761,0,35982,35982,265,1
396,.0012029,-.0098409,-.069142,-.0049233,.0028702,-.0070767,-.0183898,-.0006293,.0061355,-.0042593,.0256892,.0002358,.0108679,-.0018071,.1249892,.0018454,.0165094,-.0007132,.2321513,.0046077,.0078372,-.0048661,.3506754,.2818482,.0546368,.0000601,.0067749,.0037154,.1168067,.0047734,1515,1515,264,1
394,.0013193,-.0126776,-.0168898,-.0052411,.0030531,-.0082635,-.0026819,-.0001206,.0069026,-.0042434,.0320216,.0003148,.0132798,-.001727,.1830818,.0019528,.0209442,-.0006943,.3926722,.0046822,.0093678,-.0055992,.202029,.2060169,.1124238,.0000441,.008634,.0048104,.1674129,.0052801,21639,21639,263,1
393,.0045461,-.0232277,-.0333278,-.0128753,.0084909,-.0164732,.0158383,-.0020773,.0164683,-.0105556,.0873882,.001118,.0256036,-.0058759,.2519738,.0046483,.037153,-.0033497,.3680537,.0103488,.0191653,-.0119699,.3872388,.3410443,.1350189,.0001287,.013953,.007563,.1566262,.0109541,3026,3026,262,1
391,.000768,-.0037705,-.0048247,-.0018684,.0015483,-.002736,.0070225,-8.33e-06,.0028317,-.0017181,.0408471,.0002071,.0044959,-.000913,.1120358,.0006752,.0063403,-.0004133,.2314507,.0013669,.0033187,-.001941,.1374087,.1392472,.080437,4.59e-06,.0024555,.001325,.1112598,.0016511,66206,66206,261,1
390,.0033863,-.0273988,-.1273896,-.016353,.0073225,-.0176077,-.0306702,-.0020459,.0156353,-.0104754,.1091278,.0014529,.0317847,-.0052661,.200331,.003553,.0449266,-.0027463,.2538353,.0142209,.0214394,-.012755,.5991406,.3982777,.0866127,.0001531,.018996,.0097048,.1477523,.0151166,1858,1858,260,1
388,.0118406,-.0411462,-.1174952,-.0281881,.0181175,-.0267471,-.035603,-.0080537,.0295804,-.0170737,.0815342,.0028157,.0473492,-.010938,.2743993,.0095887,.0742985,-.0075627,.4288714,.019529,.037159,-.0205213,.3448052,.3061114,.1229603,-.0006745,.0272844,.0129225,.2055768,.0211255,1849,1849,259,1
