hrr,cf_type,eta,tot_patients,qual_change,spend_change,wt_qual_base_mean,wt_qual_base_p10,wt_qual_base_p25,wt_qual_base_p75,wt_qual_base_p90,wt_qual_cf_mean,wt_qual_cf_p10,wt_qual_cf_p25,wt_qual_cf_p75,wt_qual_cf_p90,wt_spend_base_mean,wt_spend_base_p10,wt_spend_base_p25,wt_spend_base_p75,wt_spend_base_p90,wt_spend_cf_mean,wt_spend_cf_p10,wt_spend_cf_p25,wt_spend_cf_p75,wt_spend_cf_p90
1,"full",1,7066,-.0002714,,.8789104,.8465704,.8513514,.9005525,.9283582,.878639,.8230384,.8513514,.9032609,.9283582,,,,,,,,,,
2,"full",1,1914,-.0050678,,.8841733,.8448276,.8556701,.8980178,.9173177,.8791056,.8448276,.8556701,.8915834,.9173177,,,,,,,,,,
5,"full",1,2905,.0008137,,.8967403,.8939148,.8939148,.90455,.90455,.897554,.8939148,.8939148,.90455,.90455,,,,,,,,,,
6,"full",1,3409,.0004316,,.8917866,.8864661,.8904463,.890852,.8967742,.8922182,.8864661,.8904463,.890852,.9032258,,,,,,,,,,
7,"full",1,1505,.0001011,,.8960252,.8795054,.8990228,.8990228,.8990228,.8961263,.8888889,.8990228,.8990228,.8990228,,,,,,,,,,
9,"full",1,127,-.0001712,,.9078974,.8741093,.9012346,.9316832,.9316832,.9077262,.8741093,.9032609,.9316832,.9316832,,,,,,,,,,
11,"full",1,3533,-.0041991,,.905207,.8728324,.9001794,.9212514,.9245283,.9010078,.852,.8892128,.9238946,.9367946,,,,,,,,,,
12,"full",1,9836,-.0042204,,.9131726,.8811189,.9026627,.9238946,.9392523,.9089522,.8680203,.9001794,.9238946,.9353448,,,,,,,,,,
14,"full",1,3008,-.0041305,,.9021741,.8853576,.8853576,.9212514,.9212514,.8980435,.8853576,.8853576,.9212514,.9212514,,,,,,,,,,
15,"full",1,2900,-.0011157,,.9124215,.8912281,.9118217,.916221,.919708,.9113058,.8912281,.9118217,.916221,.919708,,,,,,,,,,
16,"full",1,1729,.0013463,,.9012736,.875,.8943396,.900102,.9421487,.90262,.875,.8985765,.900102,.974359,,,,,,,,,,
18,"full",1,1225,.0021551,,.8966047,.8691207,.9024745,.9024745,.9024745,.8987597,.8909091,.9024745,.9024745,.9024745,,,,,,,,,,
19,"full",1,8553,.0051545,,.8932981,.8477443,.8701261,.9175659,.9448052,.8984526,.8477443,.8701261,.9448052,.9448052,,,,,,,,,,
21,"full",1,1512,.0036792,,.9133189,.8934911,.8985765,.9359756,.9359756,.916998,.8934911,.8985765,.9359756,.9359756,,,,,,,,,,
22,"full",1,824,.0012303,,.8839856,.8491336,.8648897,.9065934,.9065934,.8852159,.8491336,.8648897,.9065934,.9065934,,,,,,,,,,
23,"full",1,4599,-.0019338,,.9287221,.8775773,.9104683,.9517652,.9517652,.9267883,.8773292,.9108281,.943662,.943662,,,,,,,,,,
25,"full",1,2079,-.0045321,,.9075568,.8730159,.9059829,.9314999,.9314999,.9030247,.8730159,.9059829,.9097254,.9314999,,,,,,,,,,
31,"full",1,1811,.0009184,,.8996488,.8305085,.9173061,.9173061,.9214876,.9005673,.84,.9173061,.9173061,.9173061,,,,,,,,,,
33,"full",1,2628,-.0035391,,.92044,.8984771,.9245158,.9245158,.9410484,.9169008,.893617,.90201,.9344512,.9410484,,,,,,,,,,
43,"full",1,2405,-.0091598,,.8806783,.8461539,.8648649,.9082569,.94,.8715185,.8044693,.8648649,.9014373,.9305556,,,,,,,,,,
56,"full",1,10867,-.0022629,,.9039394,.8527132,.8899587,.9179398,.9429448,.9016765,.8527132,.8888889,.9179398,.942029,,,,,,,,,,
58,"full",1,2658,-.0003001,,.9061145,.8693182,.8987916,.9314999,.9396378,.9058143,.8693182,.8987916,.9314999,.9396378,,,,,,,,,,
62,"full",1,540,.0003403,,.9097724,.8933333,.9012346,.9294118,.9344512,.9101127,.8933333,.90201,.9344512,.9388889,,,,,,,,,,
65,"full",1,1782,-.0020336,,.9158301,.8673537,.8980582,.9410484,.9549356,.9137965,.8673537,.8980582,.9410484,.95,,,,,,,,,,
69,"full",1,1610,-.0014629,,.9170157,.9191919,.9232097,.9232097,.9232097,.9155529,.9191919,.9232097,.9232097,.9232097,,,,,,,,,,
73,"full",1,1847,.0024935,,.91439,.874351,.874351,.9347826,.9540541,.9168835,.874351,.9215891,.925,.9540541,,,,,,,,,,
77,"full",1,7613,.000115,,.9142958,.888806,.9025974,.9295775,.9506173,.9144108,.888806,.8976778,.9344512,.9518072,,,,,,,,,,
78,"full",1,1611,.0025874,,.9231288,.8965517,.9086294,.9349397,.9410484,.9257162,.8965517,.9121622,.9349397,.9410484,,,,,,,,,,
79,"full",1,1551,-.0007458,,.8941879,.8714436,.8762887,.9190751,.9307692,.8934422,.8714436,.8714436,.9190751,.9344262,,,,,,,,,,
80,"full",1,5573,.0063513,,.921075,.8902276,.9106858,.9313113,.939951,.9274263,.9022222,.9222904,.939951,.939951,,,,,,,,,,
81,"full",1,2470,.0080768,,.914753,.8783784,.910101,.9243119,.9410484,.9228297,.8783784,.910101,.9410484,.982906,,,,,,,,,,
82,"full",1,2244,-.0007608,,.9165264,.8673537,.9068323,.9345238,.9410484,.9157656,.8673537,.9163974,.9329242,.9435484,,,,,,,,,,
83,"full",1,1510,.0035459,,.9304925,.9026549,.9363636,.9411765,.9449036,.9340385,.9026549,.9363636,.9449036,.9449036,,,,,,,,,,
85,"full",1,1749,.0007414,,.9177596,.8673537,.9106383,.9329242,.9329242,.918501,.8673537,.9163974,.9329242,.9329242,,,,,,,,,,
86,"full",1,2650,-.0008067,,.9321856,.9256945,.9256945,.9452297,.9521739,.931379,.8899804,.9256945,.9466292,.9466292,,,,,,,,,,
87,"full",1,1222,-.004188,,.9237152,.8776596,.9169776,.9329242,.9410484,.9195272,.9163974,.9169776,.9329242,.9410484,,,,,,,,,,
89,"full",1,1819,.000304,,.9241668,.9147287,.9168591,.9329242,.9416342,.9244708,.9147287,.9168591,.9294118,.9416342,,,,,,,,,,
91,"full",1,1438,.0028587,,.908947,.8980582,.8987916,.9078531,.9410484,.9118057,.888806,.8987916,.9329242,.9410484,,,,,,,,,,
96,"full",1,2886,-.0022629,,.9207187,.8952497,.9074334,.9274691,.9521739,.9184558,.8899804,.9052925,.9274691,.967033,,,,,,,,,,
101,"full",1,944,.0025715,,.9175131,.8942308,.9082177,.9388186,.9388186,.9200845,.8942308,.9082177,.9388186,.9388186,,,,,,,,,,
102,"full",1,3357,-.0086684,,.9109736,.882939,.8904538,.9192293,.93,.9023052,.882939,.882939,.9192293,.93,,,,,,,,,,
104,"full",1,1947,.0011008,,.9142334,.912978,.9147975,.9147975,.9147975,.9153343,.9113924,.9147975,.9147975,.93,,,,,,,,,,
105,"full",1,1460,-.0004379,,.9318404,.9009662,.9346405,.944212,.944212,.9314024,.9009662,.9346405,.936527,.944212,,,,,,,,,,
106,"full",1,1638,-.0243344,,.9032273,.8594203,.9082177,.9147975,.9158768,.8788928,.8594203,.8594203,.9147975,.9158768,,,,,,,,,,
107,"full",1,1073,.0010474,,.8980451,.882939,.8881037,.9192293,.9224138,.8990926,.882939,.8881037,.9192293,.9224138,,,,,,,,,,
109,"full",1,2546,-.0025588,,.9098209,.8834783,.8897932,.9294425,.9375,.9072621,.8834783,.8897932,.9294425,.9382522,,,,,,,,,,
110,"full",1,5688,-.0054601,,.8975994,.8638498,.8845628,.9129896,.9171917,.8921393,.8592592,.879227,.9171917,.9171917,,,,,,,,,,
111,"full",1,7660,-.0020316,,.8974799,.8779987,.8897932,.9109549,.9122341,.8954483,.8779987,.8897932,.9109549,.9126939,,,,,,,,,,
112,"full",1,6775,.0022826,,.9111323,.8943519,.9131386,.9235018,.9235018,.9134149,.887468,.9131386,.9235018,.9235018,,,,,,,,,,
113,"full",1,10840,-.0037614,,.9091251,.8900204,.9047195,.9231475,.9238705,.9053638,.8804892,.8971193,.9207792,.9239072,,,,,,,,,,
115,"full",1,2441,.0011829,,.9048863,.9022657,.9022657,.9022657,.9250321,.9060692,.8921695,.9022657,.9250321,.9250321,,,,,,,,,,
116,"full",1,2710,-.0003699,,.8969115,.8843683,.8861567,.9045237,.9045237,.8965416,.8843683,.8905745,.9045237,.9066874,,,,,,,,,,
118,"full",1,11205,.0090477,,.8995376,.856338,.8922244,.9163148,.9181601,.9085853,.8677867,.8984771,.9303456,.9303456,,,,,,,,,,
119,"full",1,13437,.0003414,,.904561,.877551,.8927875,.9117391,.9316239,.9049023,.877551,.8843789,.9184653,.9316239,,,,,,,,,,
120,"full",1,2441,-.002485,,.8860324,.8604651,.875,.9010752,.9125067,.8835474,.8596491,.8604651,.8981418,.9083251,,,,,,,,,,
122,"full",1,2465,.0039929,,.8863844,.8225166,.8832442,.9085923,.9148515,.8903773,.8303571,.8832442,.9085923,.9148515,,,,,,,,,,
123,"full",1,9094,.0150383,,.8925769,.8880911,.8880911,.9046025,.9125067,.9076151,.9046025,.9125067,.9125067,.9125067,,,,,,,,,,
124,"full",1,1455,.0007142,,.874292,.868553,.868553,.8713235,.8905745,.8750062,.868553,.868553,.8835227,.8905745,,,,,,,,,,
127,"full",1,1120,-.0011792,,.9076189,.863354,.9107981,.9183047,.9325153,.9064397,.8571429,.9012346,.9183047,.9303456,,,,,,,,,,
129,"full",1,4896,-.0040395,,.9068294,.8743061,.8905745,.9175513,.9449415,.9027899,.8672566,.8813559,.9175513,.9449415,,,,,,,,,,
130,"full",1,15277,-.0045527,,.8952703,.8677867,.8835227,.9132492,.9296255,.8907177,.8303571,.8804878,.91201,.9296255,,,,,,,,,,
131,"full",1,2855,.0022304,,.9129099,.8976744,.91201,.9274448,.9274448,.9151403,.8981418,.912228,.9274448,.9274448,,,,,,,,,,
133,"full",1,1172,-.0066549,,.8835871,.8251231,.8908252,.8908252,.8908252,.8769323,.8251231,.8795054,.8908252,.8908252,,,,,,,,,,
134,"full",1,3829,-.0007343,,.8969575,.8711234,.8732674,.9190548,.9190548,.8962232,.8711234,.8732674,.9190548,.9190548,,,,,,,,,,
137,"full",1,6920,-.0113733,,.9164705,.9022657,.9067722,.9250321,.9392601,.9050972,.9043825,.9043825,.9043825,.912676,,,,,,,,,,
139,"full",1,1522,.0010816,,.8973601,.8429752,.8905745,.9045237,.9169812,.8984418,.8429752,.9045237,.9045237,.9230769,,,,,,,,,,
140,"full",1,1553,.0017833,,.8978505,.8686869,.8916324,.8986742,.9397163,.8996338,.8916324,.8916324,.9,.9397163,,,,,,,,,,
141,"full",1,2784,.0030094,,.892563,.8611111,.8905745,.9045237,.9166667,.8955724,.8611111,.8905745,.9045237,.9166667,,,,,,,,,,
142,"full",1,288,.000856,,.8848572,.8369906,.8451817,.904943,.904943,.8857133,.8369906,.8451817,.904943,.904943,,,,,,,,,,
144,"full",1,17007,-.0062801,,.9068987,.8850502,.8979167,.914641,.9350074,.9006186,.9003181,.9003181,.9003181,.9003181,,,,,,,,,,
145,"full",1,2871,.010185,,.8872365,.802935,.9020234,.9090909,.9090909,.8974215,.8415841,.9020234,.9090909,.9090909,,,,,,,,,,
146,"full",1,1524,.0005706,,.9020386,.8700516,.896914,.9184653,.9184653,.9026092,.8700516,.896914,.9184653,.9184653,,,,,,,,,,
