coef_dist,coef_dist_se,hrr,eta,converged,log_like,coef_m,coef_m_se,patients,pcp_total,spec_total,mean_choice_size,mean_spec_failures,mean_pair_failures,mean_pcp_failures,spec_hhi,mean_vi,rho,tot_spec,tot_pcp
-.0368244,.00487225,31,1,1,-2009.78,.26119433,.4375763,2110,127,84,7.580569,44.17952,.9272326,3.545455,.2369803,.0492891,.904801,28,98
-.03688958,.00487587,31,5,1,-2009.548,.61068395,.7501262,2110,127,84,7.580569,44.17952,.9272326,3.545455,.2369803,.0492891,.904801,28,98
-.07605233,.00567445,33,1,1,-3473.232,5.834e-23,0,3105,282,112,5.869887,114.2381,1.026775,2.032623,.292503,.0866345,.9221205,48,221
-.07605233,.00567445,33,5,1,-3473.232,3.491e-51,0,3105,282,112,5.869887,114.2381,1.026775,2.032623,.292503,.0866345,.9221205,48,221
-.05048967,.00503822,43,1,1,-1915.187,0,0,3063,210,97,5.059093,136.7041,1.060309,2.063461,.4532851,.029383,.9190319,21,172
-.05041279,.00504142,43,5,1,-1915.211,.00040164,.1016603,3063,210,97,5.059093,136.7041,1.060309,2.063461,.4532851,.029383,.9190319,21,172
-.13621072,.00349704,56,1,1,-21127.44,.07140823,.1215935,12863,955,390,8.214725,51.8954,.7784374,2.198035,.0293402,.0289979,.9072937,122,797
-.13620257,.0034961,56,5,1,-21127.63,.01623612,.2499871,12863,955,390,8.214725,51.8954,.7784374,2.198035,.0293402,.0289979,.9072937,122,797
-.05676981,.00387169,58,1,1,-4288.835,.44096152,.2769236,3302,239,140,9.718352,69.81315,.6295701,2.286975,.0567536,.1926105,.9058247,56,198
-.05676332,.00387221,58,5,1,-4289.054,.83181408,.5495075,3302,239,140,9.718352,69.81315,.6295701,2.286975,.0567536,.1926105,.9058247,56,198
-.04038612,.00463698,62,1,1,-818.1455,1.0206289,.7195635,1112,139,81,6.823741,50.34087,1.065068,2.475113,.184841,.0305755,.9110452,41,88
-.04037954,.00464371,62,5,1,-818.4816,1.5553793,1.468078,1112,139,81,6.823741,50.34087,1.065068,2.475113,.184841,.0305755,.9110452,41,88
