eta,like,tot_spec,tot_pcp,patients,rho,mean_alpha,mean_dist,se_alpha,se_dist,p10_alpha,p10_dist,p25_alpha,p25_dist,p50_alpha,p50_dist,p75_alpha,p75_dist,p90_alpha,p90_dist
1,-3000.73,41.89474,299.0702,4316.547,.9037492,.21069234,-.06180011,.2035377,.00572661,0,-.09194872,9.711e-27,-.07369466,.06702612,-.06031148,.30936361,-.04709659,.64635055,-.03463505
5,-2961.82,41.93525,298.3885,4316.547,.9037298,.39863827,-.06173698,.3959441,.00573727,7.73e-103,-.08971374,3.172e-24,-.07346901,.15176216,-.06046353,.62135367,-.04736046,1.29893,-.03446731
,,26.64706,196.1176,2462.059,.9021583,,,,,,,,,,,,,,
