hrr,coef_m,pij_diff_cf,health_cf,health_base,n_cases,corr_fe_qual,fe_sd,fe_range,qual_sd,corr_realloc_qual,realloc_to_highq,realloc_to_lowq,fe_mean_highqual,fe_mean_lowqual,n_specs,eta
1,.39398606,.2616045,.000189,.878905,7066,.1359145,1.139107,5.386382,.0670815,.0062529,197.5696,-197.5696,.4123412,.3817873,69,5
2,.82554734,.2111343,-.0049359,.8841816,1914,.1423929,.7984113,3.077406,.0299713,-.3104693,-97.49149,97.49148,-.3636799,-.8199968,16,5
5,.21516644,.2471332,.0008117,.8967392,2905,.2699685,2.037161,6.367646,.0428577,.0136191,-58.70678,58.70681,3.420853,2.552178,34,5
6,7.835e-20,.2065805,.0004272,.8917866,3409,.0184408,4.2129,16.11274,.0532759,.0222616,81.47813,-81.47815,-2.096292,-2.2791,23,5
7,2.187e-16,.1397988,.0000997,.8960265,1505,.2099609,1.287285,4.8446,.0430613,.0075794,20.21425,-20.21425,.4247464,-.029483,25,5
9,.52025657,.1885384,.0002146,.9078858,127,-.0739426,2.928112,11.12751,.0430338,.0502308,.9118982,-.9118987,2.531684,2.815557,17,5
11,.22629888,.3823299,-.0039528,.9052049,3533,.3166442,.7582111,3.367844,.0426222,-.0540572,-496.9892,496.9892,-.5539499,-.7210881,31,5
12,.11527037,.405549,-.0041088,.9131711,9836,-.098464,3.232646,16.72005,.0414622,-.0454349,-752.845,752.8451,-1.336769,-1.065382,65,5
14,.65046713,.2754729,-.0038165,.9021674,3008,.1531417,2.586381,14.98235,.0457579,-.0756829,-236.6205,236.6205,-1.025456,-2.470806,29,5
15,1.5265259,.3570017,-.0010644,.9124177,2900,.0648453,.979773,3.293829,.011122,-.0878553,-137.9282,137.9282,-1.135451,-1.546652,12,5
16,.45894833,.1731338,.0015004,.9012715,1729,.0134007,4.510893,17.52828,.0352489,.1168784,86.48652,-86.48651,-1.626865,-1.60788,25,5
18,3.547e-29,.1179152,.0021606,.8965937,1225,.3071409,1.052225,3.6157,.0539374,.1220376,57.42968,-57.42968,-.2885166,-.9228751,14,5
19,.24877102,.2947666,.0084321,.8932961,8553,-.0865348,.950047,3.896986,.0377714,.1564528,511.6967,-511.6967,-1.854915,-1.737518,45,5
21,1.29893,.1976809,.0040129,.9133098,1512,.4740578,5.350587,16.41261,.0300452,.2338832,148.0623,-148.0623,-1.641574,-2.388555,21,5
22,1.6328813,.1186371,.0013137,.8839752,824,.1896153,.8913447,3.168087,.034199,.1360841,42.41425,-42.41425,-.3647244,-.8206658,13,5
23,2.324e-35,.5019901,-.0019361,.9287221,4599,.1142467,3.11749,17.61921,.0398934,-.0125605,49.77737,-49.77734,-.8548694,-1.1766,75,5
25,.70483288,.2451419,-.0040992,.9075524,2079,.1617564,.9057547,4.301384,.0554049,-.2190816,-89.01605,89.01605,.8013101,.4529462,37,5
31,.61068395,.1380528,.0019153,.899621,1811,.1006414,3.031786,15.79368,.0958042,.0903405,36.79369,-36.79369,-.7540696,-2.226974,24,5
33,3.491e-51,.5169488,-.003514,.92044,2628,-.0726874,4.107851,18.54358,.0429536,-.0258851,-465.8119,465.812,.0129014,.2163909,47,5
