hrr,coef_m,pij_diff_cf,health_cf,health_base,n_cases,corr_fe_qual,fe_sd,fe_range,qual_sd,corr_realloc_qual,realloc_to_highq,realloc_to_lowq,fe_mean_highqual,fe_mean_lowqual,n_specs,eta
245,.10569443,.5527322,-.0065719,.8929503,3393,,0,0,.0417002,-.0713681,-408.5708,408.5708,0,0,64,1
246,.23028947,.3956526,.0028345,.8843719,3334,,0,0,.0346561,.069737,255.5084,-255.5084,0,0,59,1
248,.3452674,.4599291,.0017025,.9217506,804,,0,0,.040495,.027183,-8.982214,8.982224,0,0,27,1
249,.4133793,.27146,-.0043927,.9187512,1561,,0,0,.0383921,-.1838414,-119.3547,119.3547,0,0,18,1
250,.15257852,.251679,-.0034731,.9002451,1224,,0,0,.0239976,-.2364335,-115.4044,115.4044,0,0,,1
251,0,.3904851,-.00696,.8973791,5801,,0,0,.0364479,-.2100095,-542.0555,542.0555,0,0,52,1
253,.42116301,.2989832,-.0027447,.9011847,793,,0,0,.0223927,-.250356,-60.90972,60.90972,0,0,21,1
254,5.613e-17,.398272,-.00368,.9069703,352,,0,0,.0251051,-.1667687,-44.27034,44.27035,0,0,13,1
256,0,.485439,-.0140284,.9037386,1892,,0,0,.0313318,-.345198,-616.4746,616.4747,0,0,18,1
257,.47327533,.2864161,-.0076952,.8966038,835,,0,0,.0388891,-.3169428,-48.03486,48.03485,0,0,16,1
258,.08658427,.4176591,-.0153181,.8852914,1329,,0,0,.0339178,-.2570876,-445.6595,445.6595,0,0,17,1
259,.58704745,.367142,-.0343406,.897958,2437,,0,0,.0503174,-.3780848,-659.8678,659.8678,0,0,32,1
260,1.482e-56,.2605568,-.0042341,.9095209,412,,0,0,.0355145,-.2029787,-54.41604,54.41604,0,0,,1
261,1.0030767,.3376957,-.0124586,.8941808,576,,0,0,.0366999,-.4144337,-49.4365,49.4365,0,0,17,1
262,.42239253,.4645448,-.0092882,.9023415,1752,,0,0,.0440787,-.1363483,-257.1346,257.1346,0,0,22,1
263,2.733e-90,.1473474,-.001066,.9047073,732,,0,0,.0550837,-.0483708,13.24396,-13.24397,0,0,16,1
264,4.312e-19,.3054909,-.0050592,.8767627,2777,,0,0,.030988,-.2209138,-330.5833,330.5833,0,0,31,1
267,9.320e-21,.1762321,-.0029936,.8924175,2500,,0,0,.037969,-.2280427,74.87737,-74.87737,0,0,27,1
268,.0333942,.392013,-.0048747,.8972219,12506,,0,0,.0471635,-.1385221,-807.2393,807.2393,0,0,46,1
270,.35750527,.3980148,-.0071567,.9062285,3274,,0,0,.0473316,-.1431915,-267.6838,267.6838,0,0,26,1
273,.15295291,.4504782,-.0065454,.8927622,12981,,0,0,.0549424,-.0994954,189.252,-189.252,0,0,75,1
276,6.239e-14,.1848936,-.0019646,.9081274,1935,,0,0,.038958,-.1178283,-140.0201,140.0201,0,0,14,1
277,8.141e-20,.2423814,-.000598,.9165332,5016,,0,0,.0339725,-.0264571,-195.4638,195.4638,0,0,30,1
278,.0486682,.5506521,.004789,.9151456,9540,,0,0,.0386792,.0439541,1582.585,-1582.585,0,0,39,1
279,.22212056,.3361515,.000848,.8951284,3345,,0,0,.0278518,.0361313,57.4075,-57.4075,0,0,15,1
281,.17930326,.4767198,.0077512,.9229154,880,,0,0,.0381433,.1187359,109.9677,-109.9677,0,0,29,1
282,0,.4542159,-.0061469,.9093176,4403,,0,0,.0474252,-.0736099,-428.7029,428.7029,0,0,62,1
283,0,.4946613,-.0102521,.9013048,18800,,0,0,.0414626,-.1008545,-3098.899,3098.899,0,0,175,1
284,0,.5035621,-.0054977,.9041471,3556,,0,0,.0395907,-.0740798,-352.4355,352.4355,0,0,124,1
285,.32197396,.4992093,-.0076048,.9086083,3196,,0,0,.0329589,-.1056333,-732.1274,732.1274,0,0,146,1
288,.24274628,.4607616,-.0051952,.9047139,3102,,0,0,.0337251,-.0631705,-284.0134,284.0134,0,0,120,1
