hrr,coef_m,pij_diff_cf,health_cf,health_base,n_cases,corr_fe_qual,fe_sd,fe_range,qual_sd,corr_realloc_qual,realloc_to_highq,realloc_to_lowq,fe_mean_highqual,fe_mean_lowqual,n_specs,eta
111,.45452435,.2397133,-.0013273,.8974772,7660,.2422926,2.981297,16.45589,.0395282,-.0483225,-173.7234,173.7234,1.123361,-.1105821,106,5
112,2.935e-16,.5237872,.0023705,.9111248,6775,.0506558,.8026215,4.396319,.043428,.0121998,-198.0103,198.0105,-.5635982,-.6765584,58,5
113,.18275349,.2997691,-.0018465,.9091239,10840,.0560864,.982259,4.49413,.036687,-.0390912,-653.1506,653.1507,-1.64643,-1.577596,93,5
115,1.197e-15,.1636224,.0003912,.9048861,2441,.0544375,4.322739,16.60976,.0422442,.0207737,99.15967,-99.15966,-.1905426,-2.471867,23,5
116,.19719266,.1554052,-.0004686,.8969112,2710,-.0764952,2.5778,16.99379,.049873,-.0578756,1.991303,-1.991299,-.3602412,.2907383,40,5
118,.25229642,.2383374,-.002498,.8995392,11205,.060029,.796459,3.105794,.0502403,-.072772,-673.2394,673.2394,-.7184285,-.7143244,45,5
119,.39026443,.2540839,.0007771,.9045587,13437,.2265177,.8164113,3.153894,.0522673,.0196112,995.7465,-995.7465,-.2908166,-.3112562,49,5
120,.56598772,.2769011,-.0017383,.8860402,2441,.0158655,2.851469,16.866,.0468252,-.0601606,-145.4913,145.4913,-1.025863,-1.911322,31,5
122,0,.2117565,.0019118,.8864109,2465,-.0900643,2.502655,17.84534,.0429117,.1507141,98.33327,-98.33327,-1.568504,-.8404523,40,5
123,.08856206,.5263109,.0118095,.8925767,9094,.2740023,.8302007,4.196094,.0473088,.0752677,3956.704,-3956.704,-.8410317,-1.416171,35,5
127,1.930e-15,.2105246,.0002613,.9076207,1120,-.0942223,2.839362,16.43625,.0466686,.0224322,20.60091,-20.60092,-.7840222,-.0566416,30,5
129,.23063388,.203088,-.00158,.9068312,4896,.1224355,3.55511,16.89048,.0416858,-.0833589,-211.3086,211.3086,-.5346851,-.5841847,55,5
130,.3856105,.2322393,-.0015144,.8952669,15277,.1080936,1.063953,4.932285,.0399368,-.1123502,-279.8814,279.8814,.3043268,.0028224,118,5
131,1.4446042,.167267,.0014004,.9129084,2855,.2328642,.9359762,4.169764,.0364978,.117715,77.90687,-77.90688,-.3542141,-.8057133,32,5
133,8.636e-17,.1228366,-.001453,.8835652,1172,.1550615,.9527847,3.054324,.0329408,-.5038918,-4.666158,4.666157,1.001909,1.089612,,5
134,.45100538,.1882644,.00071,.8969566,3829,-.0288256,2.536616,14.94343,.0459868,.083938,31.13757,-31.13757,-.8377587,-.562205,31,5
137,1.389e-18,.511094,-.0082906,.9164577,6920,.0011393,1.502018,5.824627,.0194175,-.1313936,-2552.992,2552.992,2.16581,2.245969,40,5
139,.49189571,.1686078,.0015401,.8973679,1522,.1016243,.9194023,3.772729,.0514071,.0945811,-2.517894,2.517891,-.7365018,-.7443019,30,5
140,3.219e-18,.1106119,.0005222,.8978505,1553,.1343966,1.078893,3.532263,.0473387,.0960644,27.02792,-27.02791,-.3239372,-1.104477,14,5
141,.26504911,.3271182,-.000239,.8925651,2784,-.1438597,2.226597,16.57808,.0452234,-.0032734,-166.5231,166.5231,.5775704,1.183385,52,5
142,.72118784,.1767785,.0006287,.8848442,288,.1999736,.7702588,2.588032,.0330724,.1502469,3.054657,-3.054658,-.7312041,-.8062071,13,5
144,3.429e-20,.5161793,-.0044636,.9068662,17007,.341923,.8227779,5.449283,.0416171,-.0302241,1263.576,-1263.576,-1.636042,-1.994789,78,5
145,.22584758,.2084355,.002949,.8872428,2871,.5289813,1.014936,3.494014,.0340264,.1184748,-44.32014,44.32016,-.5388252,-1.308836,23,5
146,.62875561,.0351872,.0005625,.9020398,1524,-.0194231,.9637694,2.921941,.0297128,.2543458,31.99598,-31.99599,-.9384145,-.2999537,,5
147,1.218e-38,.114761,.0008442,.903442,1822,.0025666,2.60285,16.52422,.0354847,.1702618,24.33401,-24.33401,-.4138947,.1080436,35,5
148,1.360e-18,.2162117,.0001876,.8783693,1433,.1040603,.824685,3.341077,.0431839,.0098342,-15.32992,15.32992,.9643781,.6212731,29,5
149,4.847e-13,.116169,.0000345,.918847,3670,.3413391,.9502721,3.331589,.0342945,.011457,18.02878,-18.02878,-.4555439,-.8552383,22,5
150,1.374429,.1818119,-.0001995,.9306112,766,-.0125471,.5112491,1.482565,.0241018,-.0960786,9.094866,-9.094867,-.9764395,-1.081073,,5
151,2.448e-32,.1254009,.0041095,.9175241,2246,.3935729,1.134793,4.405123,.0489619,.1754004,130.9038,-130.9038,-1.85314,-2.049022,22,5
154,8.363e-31,.2536132,.0012809,.9169832,1323,-.126655,.9653855,3.905105,.0390932,.1315547,40.20671,-40.20671,.9555775,1.290549,26,5
155,.16384618,.3324855,.0003392,.8813622,4834,.2014556,.8162792,3.794051,.0414708,.01163,202.8,-202.8,-.1802595,-.4825155,68,5
156,.22307119,.338928,-.0008474,.8917025,3599,.1165967,2.712334,19.93223,.040932,-.0462872,-41.42069,41.42069,-1.585522,-1.854787,79,5
158,2.62e-221,.2601192,-.0002919,.9065113,3872,.100218,2.404561,18.64466,.0340804,-.0228081,39.8257,-39.8257,-.7390273,-1.502133,52,5
161,0,.4408484,.0124323,.9082645,7401,.2641558,1.019929,3.892802,.0315617,.1294231,1679.794,-1679.794,-1.60033,-2.247918,49,5
164,0,.2689594,.0002699,.8896447,3315,.3738266,3.014444,18.42579,.0415445,.0163941,33.96435,-33.96436,.4480211,-1.074939,64,5
166,.63057956,.3262231,.0030672,.9043281,6121,.3328441,1.044339,5.48633,.0390576,.074745,-80.74482,80.74479,-1.219694,-1.829833,69,5
170,.18957239,.1615961,.0017892,.9057777,4417,-.0196204,1.346894,6.272684,.037779,.1144583,109.7313,-109.7313,-.855687,-1.145606,43,5
171,1.313e-13,.2849362,-.0001241,.9027888,4993,.2369388,2.03429,16.58836,.0298294,-.003038,569.1813,-569.1813,.9842619,.2743426,64,5
