hrr,mfx_10,pfx_10,pfx_fam_10,pfx_m0_10,mfx_25,pfx_25,pfx_fam_25,pfx_m0_25,mfx_50,pfx_50,pfx_fam_50,pfx_m0_50,mfx_75,pfx_75,pfx_fam_75,pfx_m0_75,mfx_90,pfx_90,pfx_fam_90,pfx_m0_90,mfx_mean,pfx_mean,pr_mean,pr_obs,pfx_fam_mean,pfx_m0_mean,mfx_sd,pfx_sd,pfx_fam_sd,pfx_m0_sd,mfx_count,pfx_count,hrr_group,eta
139,.0019726,-.0122675,-.0279949,-.0062265,.0042807,-.0083897,-.0054064,-.000803,.0070727,-.0052379,.0263853,.0003414,.0109529,-.003161,.1732993,.0022868,.0168153,-.0014122,.3492877,.004745,.0081934,-.0061104,.2595883,.25,.0966309,-.0000617,.0053393,.0040186,.1473475,.0048341,3924,3924,68,5
137,3.12e-21,0,-.0406049,0,6.94e-21,0,-.0211754,0,1.26e-20,0,-.0018538,0,2.05e-20,0,.0671059,0,2.95e-20,0,.2512637,0,1.48e-20,0,.1551615,.155958,.0488806,0,1.07e-20,0,.1224755,0,34894,34894,67,5
134,.0015836,-.0104531,-.039315,-.0055548,.003196,-.0077848,-.0135152,-.0007749,.0061262,-.0045795,.0143829,.0003597,.0101819,-.002414,.1162094,.0019616,.0137666,-.0012025,.287422,.0043836,.0069825,-.0052702,.2180572,.1927398,.0711294,-.0000161,.0045659,.003478,.134544,.004549,13085,13085,66,5
133,2.16e-19,0,-.1681523,0,5.39e-19,0,-.0548717,0,1.07e-18,0,.0691179,0,1.57e-18,0,.2694454,0,2.42e-18,0,.3529219,0,1.17e-18,0,.4703326,.4504209,.0916392,0,8.39e-19,0,.1937327,0,2138,2138,65,5
131,.0044076,-.0323429,-.0249278,-.0141642,.0085318,-.0224119,-.0080755,-.0015288,.0161098,-.0118917,.0122438,.0007145,.0293351,-.0062756,.1033202,.0051981,.0422051,-.0029938,.2235519,.0119649,.0201168,-.0151768,.1911445,.1457779,.0593747,.0000146,.0145769,.0112727,.1057533,.0130006,10516,10516,64,5
130,.0008425,-.0080811,-.0196677,-.0043584,.0021445,-.0056998,-.0030786,-.000442,.0042782,-.0032198,.0297782,.0002078,.0075819,-.0016068,.1273527,.0014542,.0106865,-.0006299,.2524452,.0036623,.0051501,-.0038742,.1766416,.1746434,.0780246,8.48e-06,.0037608,.002832,.1194263,.003794,61554,61554,63,5
129,.0004398,-.004195,-.0290577,-.0021701,.0011474,-.002904,-.0111124,-.0002651,.0023299,-.0018004,.0104279,.0000652,.0037204,-.0008683,.0955393,.000749,.0054046,-.0003343,.2501726,.0020466,.0026815,-.0020724,.1671672,.157708,.0609461,.0000286,.0019599,.0015233,.1150802,.0020248,22548,22548,62,5
127,7.61e-18,0,-.0217449,0,1.63e-17,0,.0016651,0,3.10e-17,0,.0551387,0,4.85e-17,0,.2178726,0,6.29e-17,0,.4229687,0,3.36e-17,0,.272192,.2631579,.1267188,0,2.05e-17,0,.1731214,0,2527,2527,61,5
123,.0003901,-.0023536,-.0580813,-.0015866,.0009055,-.0018998,-.0149243,-.0003495,.0016988,-.0013024,.0576703,.000075,.0024755,-.000681,.2409698,.0006189,.0031341,-.0002953,.4030424,.0012841,.0017453,-.0013187,.3359445,.224691,.1182783,-1.24e-06,.0010053,.0007536,.1819787,.0012289,20793,20793,59,5
122,0,0,-.0242152,0,0,0,-.0032472,0,0,0,.0257542,0,0,0,.100939,0,0,0,.1977197,0,0,0,.1784807,.154688,.0598698,0,0,0,.0971732,0,9503,9503,58,5
120,.0030714,-.0156,-.0047812,-.0092635,.0059905,-.0124495,.0154741,-.0005717,.0106585,-.0079874,.0882013,.0007502,.0166498,-.004488,.2185966,.0021466,.021181,-.002282,.3339782,.0047691,.0114979,-.0085445,.2783476,.1324609,.130879,-.0005673,.0067193,.0049178,.1389074,.0067391,3133,3133,57,5
119,.0010424,-.0064887,-.0209186,-.0035566,.002052,-.0045842,-.008122,-.0003944,.0038582,-.002912,.0118649,.0002303,.0059977,-.0015333,.0667182,.0012315,.0084778,-.0007601,.1595443,.0029959,.0043792,-.0033311,.1370852,.1334249,.0452329,9.87e-06,.0029998,.0023074,.0890811,.003211,72108,72108,56,5
118,.0006597,-.0050741,-.0267408,-.0026235,.0015466,-.0035957,-.0085856,-.0002938,.0030392,-.0023106,.0156348,.0001049,.0046635,-.0011433,.0964337,.0009167,.0065654,-.000492,.2497183,.0023545,.0033542,-.0025613,.1731435,.1630578,.0649645,.0000311,.0022718,.0017491,.1205139,.0023374,47198,47198,55,5
116,.0005401,-.0040896,-.0300915,-.0017009,.0009957,-.0025219,-.0083726,-.0002819,.0019204,-.0014442,.0221324,.0000702,.0032959,-.0007494,.2308828,.0006921,.0053753,-.0004026,.3809299,.0014473,.0024328,-.0018476,.2905582,.2881402,.1082643,.0000119,.0018772,.0014307,.1666339,.0015784,7302,7302,54,5
115,2.66e-18,0,-.0587885,0,4.97e-18,0,-.0243292,0,9.58e-18,0,.0008267,0,1.76e-17,0,.2691528,0,2.98e-17,0,.36143,0,1.31e-17,0,.3076735,.3052378,.0966574,0,1.11e-17,0,.1672431,0,6644,6644,53,5
