hrr,coef_m,pij_diff_cf,health_cf,health_base,n_cases,corr_fe_qual,fe_sd,fe_range,qual_sd,corr_realloc_qual,realloc_to_highq,realloc_to_lowq,fe_mean_highqual,fe_mean_lowqual,n_specs,eta
1,.18022696,.209352,.0002948,.8789104,7066,.1359161,1.139061,5.384686,.0670815,.0170625,100.8247,-100.8247,.4127369,.3819475,69,1
2,.54875981,.1546101,-.0026557,.8841733,1914,.1425549,.7985034,3.079819,.0299713,-.3265379,-84.40316,84.40316,-.3598476,-.8184055,16,1
5,.11031827,.2116266,.0007676,.8967402,2905,.2699466,2.037458,6.367942,.0428577,.0161387,-40.99567,40.99568,3.42099,2.552903,34,1
6,1.808e-13,.1598766,-.0006066,.8917866,3409,.018406,4.212702,16.11278,.0532759,-.1510799,-1.66903,1.669026,-2.097102,-2.279298,23,1
7,.01455374,.1316717,.0002013,.8960252,1505,.2096675,1.287124,4.843228,.0430613,.0142591,24.70615,-24.70616,.4244738,-.0289917,25,1
9,.17041574,.1678335,.0011134,.9078974,127,-.072843,2.923247,11.11351,.0430338,.2306779,1.955768,-1.955769,2.527867,2.803691,17,1
11,.12387494,.2858208,-.0041202,.905207,3533,.3167851,.7576976,3.365586,.0426222,-.0853716,-362.7184,362.7185,-.5547301,-.7213266,31,1
12,.03065552,.3458373,-.0040424,.9131726,9836,-.0984687,3.232417,16.71822,.0414622,-.0496342,-956.3823,956.3824,-1.338041,-1.066489,65,1
14,.33470738,.2347178,-.0034483,.902174,3008,.1530525,2.585828,14.97981,.0457579,-.0786741,-208.38,208.38,-1.025822,-2.469503,29,1
15,.75199446,.20238,-.0008434,.9124214,2900,.0635531,.979574,3.296278,.011122,-.1668253,-111.2622,111.2622,-1.135861,-1.544639,12,1
16,.11213959,.1532607,.0015237,.9012736,1729,.0137273,4.510777,17.50962,.0352489,.0992439,92.74292,-92.74292,-1.625153,-1.608109,25,1
18,0,.1086187,.001999,.8966047,1225,.3073868,1.051772,3.611598,.0539374,.119743,52.48449,-52.48449,-.2912218,-.9258429,14,1
19,.1457358,.1762344,-.0027829,.8932981,8553,-.0867282,.9500161,3.89676,.0377714,-.2514725,-296.4933,296.4933,-1.854929,-1.737763,45,1
21,.63310349,.169789,.0027797,.9133189,1512,.4740431,5.350862,16.4077,.0300452,.2669032,102.5584,-102.5584,-1.642322,-2.388245,21,1
22,.949766,.1176103,.0012453,.8839856,824,.1877421,.8789973,3.144668,.034199,.1193954,39.43963,-39.43963,-.3762344,-.8300754,13,1
23,3.287e-14,.3336077,-.0035713,.9287221,4599,.1141873,3.117446,17.61921,.0398934,-.0579776,-131.9544,131.9544,-.8552349,-1.176686,75,1
25,.41813838,.1989647,-.0014408,.9075568,2079,.1606603,.9049613,4.302002,.0554049,-.1764795,-14.50551,14.50552,.8004611,.456016,37,1
31,.26119433,.1146564,-.0014383,.8996488,1811,.1008763,3.030349,15.78721,.0958042,-.1689831,-18.59355,18.59355,-.7569786,-2.230567,24,1
33,5.834e-23,.3169864,-.0027643,.92044,2628,-.0726978,4.107773,18.54305,.0429536,-.041312,-309.8688,309.8688,.0125332,.2163058,47,1
43,0,.2768458,-.0052641,.8806783,2405,-.0427959,.7614471,3.182206,.0705186,-.0911851,-187.3316,187.3316,-1.443196,-1.377659,20,1
56,.07140823,.2993513,-.000537,.9039394,10867,.263503,.9866867,4.62638,.0423304,-.0371106,-74.26249,74.26249,.1536148,-.227086,117,1
58,.44096152,.2239583,.0013392,.9061145,2658,.1840154,2.266024,17.06993,.0398901,.1477551,8.789659,-8.789664,.4448243,-.3688365,54,1
62,1.0206289,.2015672,.0007425,.9097724,540,.226558,.9969481,3.936476,.0369925,.063449,-2.443954,2.443952,.3530664,.0663374,40,1
65,2.87e-130,.3190951,.0004654,.9158301,1782,.0753922,2.28003,16.04873,.0410201,.0395156,-29.18124,29.18124,-.6637493,-1.398625,48,1
69,.49180407,.075615,-.0011364,.9170157,1610,-.1343234,3.203065,15.52211,.0627493,-.1846802,-35.86885,35.86885,-1.891539,-.0665279,18,1
73,.35306706,.1564968,.0015884,.91439,1847,.2255957,.6020883,2.041406,.035222,.1259152,93.00813,-93.00813,.1025371,-.0288641,13,1
77,.21783543,.3217141,.0007258,.9142958,7613,.1827685,3.021243,17.53596,.0446365,.0227693,288.3492,-288.3492,-.1594716,-1.243886,79,1
78,0,.2125898,.0022914,.9231288,1611,.1846646,3.188831,16.34728,.046526,.1066568,82.49047,-82.49048,-.1455002,-1.790906,21,1
79,.04207166,.2886676,-.0008924,.8941879,1551,.0114467,3.05778,17.21739,.0350476,-.1226989,-26.70379,26.70379,-1.149657,-1.380633,77,1
80,.35502725,.2994612,.0024519,.921075,5573,.1267827,4.222044,17.06921,.0254864,.1427657,285.3022,-285.3022,-2.391439,-2.849795,60,1
