hrr,cf_type,eta,tot_patients,qual_change,spend_change,wt_qual_base_mean,wt_qual_base_p10,wt_qual_base_p25,wt_qual_base_p75,wt_qual_base_p90,wt_qual_cf_mean,wt_qual_cf_p10,wt_qual_cf_p25,wt_qual_cf_p75,wt_qual_cf_p90,wt_spend_base_mean,wt_spend_base_p10,wt_spend_base_p25,wt_spend_base_p75,wt_spend_base_p90,wt_spend_cf_mean,wt_spend_cf_p10,wt_spend_cf_p25,wt_spend_cf_p75,wt_spend_cf_p90
1,"current",5,7066,.0006403,,.878905,.8465704,.8513514,.9005525,.9283582,.8795453,.8255319,.8513514,.9032609,.9283582,,,,,,,,,,
2,"current",5,1914,-.0025536,,.8841816,.8448276,.8556701,.8980178,.9173177,.881628,.8448276,.8556701,.8960302,.9173177,,,,,,,,,,
5,"current",5,2905,.0007815,,.8967392,.8939148,.8939148,.90455,.90455,.8975208,.8939148,.8939148,.90455,.90455,,,,,,,,,,
6,"current",5,3409,-.0006091,,.8917866,.8864661,.8904463,.890852,.8967742,.8911775,.8864661,.8904463,.890852,.9032258,,,,,,,,,,
7,"current",5,1505,.0001998,,.8960265,.8795054,.8990228,.8990228,.8990228,.8962263,.8888889,.8990228,.8990228,.8990228,,,,,,,,,,
9,"current",5,127,.0013748,,.9078858,.8741093,.9012346,.9316832,.9316832,.9092606,.8741093,.9032609,.9316832,.9316832,,,,,,,,,,
11,"current",5,3533,-.0038669,,.9052049,.8728324,.9001794,.9212514,.9245283,.901338,.852,.9001794,.9212514,.9367946,,,,,,,,,,
12,"current",5,9836,-.0039557,,.9131711,.8811189,.9026627,.9238946,.9392523,.9092154,.8689956,.9001794,.9238946,.9392523,,,,,,,,,,
14,"current",5,3008,-.0032099,,.9021674,.8853576,.8853576,.9212514,.9212514,.8989575,.8853576,.8853576,.9212514,.9212514,,,,,,,,,,
15,"current",5,2900,-.0007948,,.9124177,.8912281,.9118217,.916221,.919708,.9116229,.8912281,.9118217,.916221,.919708,,,,,,,,,,
16,"current",5,1729,.0016598,,.9012715,.875,.8943396,.900102,.9421487,.9029313,.875,.8985765,.900102,.974359,,,,,,,,,,
18,"current",5,1225,.0020072,,.8965936,.8691207,.9024745,.9024745,.9024745,.8986009,.8909091,.9024745,.9024745,.9024745,,,,,,,,,,
19,"current",5,8553,-.0021999,,.8932961,.8477443,.8701261,.9175659,.9448052,.8910962,.8477443,.8701261,.9175659,.9448052,,,,,,,,,,
21,"current",5,1512,.0030948,,.9133098,.8934911,.8985765,.9359756,.9359756,.9164046,.8934911,.8985765,.9359756,.9359756,,,,,,,,,,
22,"current",5,824,.0013426,,.8839752,.8491336,.8648897,.9065934,.9065934,.8853178,.8491336,.8648897,.9065934,.9065934,,,,,,,,,,
23,"current",5,4599,-.0035323,,.9287221,.8775773,.9104683,.9517652,.9517652,.9251898,.8762887,.9097254,.943662,.9517652,,,,,,,,,,
25,"current",5,2079,-.0011132,,.9075524,.8730159,.9059829,.9314999,.9314999,.9064392,.8730159,.9059829,.9314999,.9314999,,,,,,,,,,
31,"current",5,1811,-.0006735,,.8996211,.8305085,.9173061,.9173061,.9214876,.8989476,.7701864,.9173061,.9173061,.9173061,,,,,,,,,,
33,"current",5,2628,-.0027446,,.92044,.8984771,.9245158,.9245158,.9410484,.9176954,.893617,.90201,.9313027,.9410484,,,,,,,,,,
43,"current",5,2405,-.0053156,,.8806413,.8461539,.8648649,.9082569,.94,.8753257,.8095238,.8648649,.9014373,.9305556,,,,,,,,,,
56,"current",5,10867,-.0009747,,.9037485,.8527132,.8899587,.9179398,.9429448,.9027738,.8527132,.8857143,.9179398,.9429448,,,,,,,,,,
58,"current",5,2658,.0017746,,.906106,.8693182,.8987916,.9314999,.9396378,.9078806,.877551,.8987916,.9314999,.9396378,,,,,,,,,,
62,"current",5,540,.0012126,,.9097998,.8933333,.9012346,.9294118,.9344512,.9110124,.8933333,.9032258,.9295775,.94,,,,,,,,,,
65,"current",5,1782,.0004706,,.9158486,.8673537,.8980582,.9410484,.9549356,.9163191,.8673537,.8980582,.9410484,.9549356,,,,,,,,,,
69,"current",5,1610,-.0010215,,.9170392,.9191919,.9232097,.9232097,.9232097,.9160177,.9191919,.9232097,.9232097,.9232097,,,,,,,,,,
73,"current",5,1847,.0021134,,.9143535,.874351,.874351,.9347826,.9540541,.916467,.874351,.9215891,.9347826,.9540541,,,,,,,,,,
77,"current",5,7613,.0009699,,.9142928,.888806,.9025974,.9295775,.9506173,.9152627,.888806,.8980582,.9295775,.9518072,,,,,,,,,,
79,"current",5,1551,-.0009161,,.8942032,.8714436,.8762887,.9190751,.9307692,.8932871,.8714436,.8762887,.9190751,.9289268,,,,,,,,,,
80,"current",5,5573,.002646,,.9210683,.8902276,.9106858,.9313113,.939951,.9237142,.8992974,.9164345,.939951,.939951,,,,,,,,,,
81,"current",5,2470,.0018393,,.9147145,.8783784,.910101,.9243119,.9410484,.9165538,.8783784,.910101,.9243119,.982906,,,,,,,,,,
82,"current",5,2244,.0004407,,.916532,.8673537,.9068323,.9345238,.9410484,.9169727,.8673537,.9086294,.9329897,.9410484,,,,,,,,,,
83,"current",5,1510,.0022409,,.9305075,.9026549,.9363636,.9411765,.9449036,.9327484,.9026549,.9363636,.9449036,.9449036,,,,,,,,,,
85,"current",5,1749,.0013399,,.9177243,.8673537,.9106383,.9329242,.9329242,.9190642,.8673537,.9163974,.9329242,.9329242,,,,,,,,,,
86,"current",5,2650,-.0004365,,.9321766,.9256945,.9256945,.9452297,.9521739,.9317401,.9184783,.9256945,.9466292,.9466292,,,,,,,,,,
