hrr,coef_m,pij_diff_cf,health_cf,health_base,n_cases,corr_fe_qual,fe_sd,fe_range,qual_sd,corr_realloc_qual,realloc_to_highq,realloc_to_lowq,fe_mean_highqual,fe_mean_lowqual,n_specs,eta
291,.45927945,.2677024,.0003157,.8955194,1237,-.0085583,2.299411,17.14938,.0383741,.0161722,-11.43053,11.43053,-1.813637,-1.199376,92,1
292,.03939517,.3345114,-.0015035,.9092716,1916,.0241141,3.192514,19.04391,.0314193,-.0498018,-66.12655,66.12654,-.193104,-.5215214,99,1
295,.09920198,.497843,.0004197,.906497,7705,-.0504052,4.561518,17.64099,.0307958,.0032508,-27.13606,27.1359,-.4406447,-.1973473,100,1
296,.04339118,.1960751,.001001,.9034635,1585,.1091208,1.149194,4.358112,.0286342,.2476166,35.11927,-35.11927,-.5517014,-.368007,26,1
297,.67997543,.3196943,.0001556,.9094938,539,.0190618,1.947859,16.16239,.0335476,.0051634,27.13215,-27.13215,-.5316507,-1.028714,64,1
299,.56651351,.261239,-.0009436,.9117015,2355,.2994828,.941995,3.698521,.0514484,-.0294487,-11.91766,11.91766,.7983188,.1776166,33,1
300,5.116e-18,.272073,-.0054154,.9048402,1506,.3355348,.8299078,3.656408,.0308251,-.2584095,-104.4666,104.4667,-.7370557,-1.265248,20,1
301,.07047825,.6506073,.0034846,.908657,14849,.1558776,1.806096,19.04268,.0369528,.0160386,3816.072,-3816.072,-1.241681,-1.591287,133,1
303,0,.315924,.0000662,.9112645,4674,-.0351991,3.304522,20.07833,.0389415,.0027056,110.7291,-110.7291,-.6061949,.3042623,153,1
304,.39259793,.3041391,-.0009572,.899503,1325,.2112746,1.008521,4.002356,.0304658,-.0899684,-50.52075,50.52074,.116816,.0518459,32,1
307,.40221753,.1129195,-.0003567,.9171701,4244,.1731566,4.105208,17.87387,.0403313,-.0182484,-119.6768,119.6768,-2.610304,-3.291709,27,1
308,6.791e-33,.330599,-.0017716,.9070178,4344,.0830375,1.676395,16.58158,.0315288,-.0657307,116.2798,-116.2798,.5713843,.0556585,109,1
309,4.152e-13,.2781645,-.002141,.9098125,3501,-.0340728,3.104794,13.98519,.0322839,-.0548408,-296.018,296.018,-.6252369,-.9446731,33,1
311,3.642e-09,.8395769,-.0410457,.9064652,10127,.4300569,.9849837,4.135672,.0338832,-.1854814,-6469.057,6469.057,-.6759667,-1.159986,47,1
313,9.711e-27,.2204133,-.0011387,.8990505,1621,.2912732,3.729105,17.38026,.0136307,-.1341791,-158.4294,158.4294,-.4840688,-2.085187,18,1
314,1.097e-24,.5087219,-.0068414,.9010945,4791,.3512883,2.268471,15.34499,.0332009,-.0800494,-1186.197,1186.197,-.6557676,-1.229807,40,1
315,.08740724,.2072432,.002553,.9003487,710,.3145545,1.2564,3.318075,.0254058,.2974093,29.10409,-29.1041,1.563504,.8783589,14,1
318,.10225271,.2325582,-.0013752,.8969942,4539,.2772772,1.267788,5.125653,.0405248,-.1042506,-74.5074,74.50741,.0664077,-.9421229,40,1
319,.01276233,.1647244,.0007659,.8978171,2556,-.1776639,3.28372,15.44224,.0340541,.0398441,275.284,-275.284,-2.434071,-.5165641,19,1
320,.09231962,.3263188,.0010474,.9106417,2495,-.0423919,3.409896,18.08231,.0367503,.0323154,206.0167,-206.0167,-1.766638,-1.651375,38,1
322,2.898e-27,.1604567,-.0003973,.9041516,1706,.5594888,3.43776,16.0025,.0555946,-.0517302,.5697635,-.5697634,-.609898,-1.722527,19,1
323,1.0360507,.0903663,.0042512,.8999105,492,-.2586346,5.499703,16.02394,.0611854,.8781126,9.509014,-9.509011,-3.126115,1.272027,,1
326,8.67e-244,.2028171,4.42e-06,.8972664,2429,.050017,2.967457,18.88062,.0359125,.0002783,90.62692,-90.62693,.7378827,-.4299062,34,1
327,.14139944,.7080456,.0029023,.894462,8160,.1673897,.8746431,3.279709,.0334462,.0237895,3538.934,-3538.934,-1.191973,-1.40465,43,1
328,.00215616,.4215069,-.0032125,.89529,6832,.0540902,1.014873,5.245227,.0396887,-.0981854,-206.9214,206.9214,-.6176252,-.8898136,55,1
329,.3014373,.7667019,-.00984,.8996554,11078,.0644415,.9110436,4.072564,.0443652,-.029103,-6100.822,6100.822,-1.927046,-2.169134,90,1
330,.12632737,.3605837,.0028359,.9018956,5200,.0518707,1.01121,4.099319,.0379971,.0891861,64.95072,-64.9507,.3210417,.0273572,46,1
331,1.089e-28,.1592788,-.0005795,.8848111,1013,.0680425,3.473637,15.83188,.0368975,-.1355328,-13.52247,13.52248,-.8868785,-2.175639,18,1
332,9.612e-21,.3551664,.0016169,.9079758,2186,.2094382,2.752065,15.83398,.0340743,.0580262,21.24669,-21.2467,.650595,-.7934642,31,1
334,0,.4176064,.0041887,.8966821,5718,.2756952,1.094526,5.458415,.0440543,.0384629,345.7602,-345.7602,.1230186,-.4707208,76,1
335,0,.4968579,.0043321,.9087211,3230,.1826711,.9251532,3.820662,.0373008,.0379648,125.8436,-125.8435,1.483645,.9329463,51,1
336,5.319e-45,.2500687,-.0011119,.8944047,1060,.431783,1.06888,3.847414,.0376396,-.0507877,11.97298,-11.97298,.6277431,-.1836679,23,1
339,.15842672,.5344326,.0003949,.8968103,10177,.100324,.9305247,4.491839,.0469442,.00233,448.7505,-448.7506,-1.039557,-1.635334,77,1
340,.05125909,.6525718,.004765,.9015386,8140,.3137668,.9737781,4.111736,.0391494,.0283857,219.7801,-219.7799,-.7327446,-1.10168,48,1
341,3.632e-14,.0006495,.0000177,.9328403,1594,,1.702789,2.408108,.0212516,,.9411759,-.9411761,-.5587139,-2.966821,,1
342,.42133987,.1945244,.0011651,.9167572,2121,.1896453,2.988005,12.31383,.0220416,.1583333,71.02769,-71.02768,-3.198666,-2.520239,15,1
343,.02530014,.1316957,-.0002705,.9186697,2122,.1791645,.8551821,2.708696,.0225862,-.0569414,21.89542,-21.89542,-1.145476,-1.458564,13,1
344,.22786355,.2887902,.0004132,.9174009,2609,-.0783594,2.555931,14.57205,.0540641,.0281444,49.13251,-49.1325,-2.425489,-1.613485,54,1
345,1.763e-67,.2192628,-.0005916,.9269758,504,-.1702051,4.237729,15.42256,.0250682,-.0502319,-44.24995,44.24995,-3.322017,.0233998,12,1
346,.16483888,.546049,.0090851,.8982256,8123,.0683884,2.872146,17.04301,.0382018,.0572991,1257.238,-1257.238,.4306522,.5397877,93,1
347,.07568331,.1961341,-.00108,.8803976,1067,-.3124428,1.205843,4.29085,.0213421,-.2007892,-18.5704,18.57041,-2.379186,-1.749968,21,1
350,1.124e-23,.1666646,.0042322,.9217005,2382,.2057112,.8803598,2.840325,.0273227,.3255821,92.49577,-92.49577,-.2069961,-.5401377,26,1
351,0,.2509692,-.0019485,.9092888,2808,.0428747,2.292585,16.20174,.0402192,-.0590296,-118.0366,118.0366,-.8405442,-.7733995,56,1
352,.22390751,.4391823,-.0016948,.8989593,5125,.0025258,.8256859,3.899733,.0246963,-.0431789,342.3338,-342.3337,-1.287132,-1.347817,62,1
354,1.3662904,.1998626,-.0012144,.8892305,263,-.3195319,5.968074,17.54791,.0336621,-.203791,3.260089,-3.260089,-3.691673,-2.09337,21,1
355,0,.3533,.0050485,.8961576,4052,.1658852,1.280693,4.670492,.0325033,.0925433,533.4793,-533.4793,.8815689,.876989,48,1
356,.00856813,.759138,-.0186738,.9012717,14931,.3016127,3.085275,18.62218,.040203,-.0744374,-3203.903,3203.903,.1357118,-.8087877,127,1
357,2.02e-167,.3332223,.0009143,.8931217,4980,.3218398,.973161,4.026343,.0348073,.032813,-243.4749,243.4749,-.4997731,-1.063704,62,1
358,.79740836,.2886953,-.0047078,.9134681,3887,.2378767,1.091057,5.059868,.0358616,-.0790909,-125.7416,125.7416,-.5080112,-1.122784,55,1
359,1.1600627,.2461143,-.0026695,.8937906,984,.0184336,1.508439,5.23755,.0238192,-.1502086,-45.94197,45.94196,.3230769,.2551771,19,1
360,1.853e-18,.3343079,.0086919,.8896334,2103,.0076098,3.537985,14.99472,.0275052,.1712294,465.5812,-465.5812,.8078144,.141374,31,1
362,.73906563,.1881036,.0005472,.9016645,1098,.236987,3.280698,14.99216,.0273369,.0730092,32.0787,-32.0787,1.803743,.2090029,17,1
363,.03374691,.2978864,.0050399,.908782,2591,.0151124,.8918166,3.97149,.0285657,.0851031,599.7314,-599.7314,.0292814,-.3867189,39,1
364,3.288e-18,.3467113,.0037423,.9148878,4761,.0610942,3.562836,16.9191,.0406393,.0489153,.6933336,-.6933477,-1.034039,-.9759185,75,1
365,0,.3750612,-.0035165,.9168872,4007,-.0938827,.8060057,2.671248,.0351648,-.1069559,-304.3109,304.3109,-.0586234,.1243312,30,1
366,0,.2108757,-.0001601,.9120108,5723,.4230889,1.094154,4.3278,.0294878,-.0182627,62.20072,-62.20073,-.3302447,-1.079307,41,1
367,.91661842,.1875782,-.002022,.8960324,1313,-.0822825,2.618093,15.1976,.036984,-.1922506,-37.74702,37.74703,-1.797491,-1.022423,30,1
368,2.922e-24,.1574631,.004723,.9185923,5704,.3949257,.8398591,3.520152,.0308982,.2827077,408.1886,-408.1886,-1.084887,-1.560366,18,1
369,.14703085,.214477,.003746,.8994087,1517,.3588043,.8875415,3.213607,.0222783,.3110403,39.25492,-39.25492,-.2015925,-.5815765,22,1
370,0,.0456892,.0007758,.8825408,1259,,.7988558,1.492349,.0724083,,0,4.77e-06,-.0863928,-.9585804,,1
371,.48194504,.2300456,-.0010558,.9006759,5055,-.3240457,1.031691,3.673751,.0365019,-.0683506,182.9555,-182.9556,-1.898262,-1.434248,26,1
373,0,.6182282,-.0092144,.9070255,3726,.234535,3.601266,15.06355,.035792,-.0647667,-215.3321,215.3322,-.5990417,-.724244,28,1
374,7.953e-24,.2210375,.000269,.8574437,1369,.5085475,.9873543,3.442482,.0502158,.0134586,-51.25275,51.25276,-.3651407,-1.683399,21,1
375,3.668e-34,.1902399,.0020074,.8874811,839,.6758908,1.489119,4.957473,.0589552,.1554793,33.794,-33.794,1.309308,-.1309066,15,1
376,.77739766,.2328511,-.0007001,.8700421,1365,.3745976,1.401564,5.654813,.0364833,-.0395753,-91.06348,91.06348,.0139193,-1.172507,18,1
377,0,.8421396,-.0237495,.9079941,6588,.200747,.782007,2.84461,.0613208,-.0649809,-5193.985,5193.984,-1.464402,-1.590366,31,1
380,.21209581,.7511973,.0041057,.8997866,12421,.1849051,1.022473,5.155898,.0398749,.0213158,-2155.154,2155.153,-1.813653,-2.091263,73,1
382,4.232e-27,.1922719,-.0003245,.8848034,1140,-.06802,3.400732,14.358,.0381594,-.0252448,-26.47976,26.47976,-2.401499,-.5606477,16,1
383,.31949641,.1287148,.0015447,.8719387,2064,-.107878,.6582499,1.963356,.1211647,.0741058,50.68856,-50.68856,-.1559356,-.11088,16,1
385,.09150124,.3125261,.0022148,.9103124,4406,.2354838,.7831678,3.193773,.0408641,.0569782,-50.11138,50.11137,.4732708,.2375249,43,1
386,.74426924,.2137324,.005084,.9053148,1102,-.0578503,3.077941,13.16902,.0291858,.2052367,126.2494,-126.2494,-1.622965,.0615571,16,1
388,.74143394,.3352571,-.002366,.8813825,900,-.0801825,4.40502,15.35891,.0496798,-.104563,-26.06596,26.06596,-1.1197,-.8876184,20,1
390,.64182908,.1075708,-.0000233,.9138735,1323,.6717557,.9997908,3.405164,.0267203,-.0098997,-6.659148,6.659149,-.127046,-.3452019,,1
391,.1011052,.8502526,.0124145,.8956578,14461,.230527,.7864821,3.626429,.0798614,.0181527,3027.092,-3027.093,.7794508,.4662241,99,1
393,.40967461,.2554284,.002653,.9030306,1423,.2947442,.7984367,2.329002,.0667814,.0872169,59.36951,-59.36952,.278124,.1959317,15,1
394,.277748,.397832,.0010746,.8972868,6326,.2013558,.7515125,3.983451,.0807874,.0092579,251.2706,-251.2706,.2028773,-.0537977,63,1
396,.19975862,.1538135,.0021098,.9039134,702,.3912496,1.0243,2.880645,.0754056,.1243525,19.67107,-19.67106,-.2160293,-.5534548,,1
397,0,.5316281,-.0018652,.894244,10066,.0498635,.7403096,3.009858,.0390388,-.0154298,607.3939,-607.3939,-.0726414,-.2699878,76,1
399,0,.1894777,-.0038174,.899203,1210,.2901227,.7366006,2.30792,.0367877,-.200846,-109.0457,109.0457,-.3312664,-.3366249,15,1
400,.09981643,.1621709,.0034989,.898345,1869,.4275454,6.459702,16.35329,.0614393,.150999,115.4704,-115.4704,-2.483085,-5.570347,18,1
402,.19693448,.2127307,-.0071056,.8939311,867,.3988083,.8083498,2.686081,.075692,-.4727254,-57.61247,57.61247,.2828768,-.2890856,,1
406,0,.1222114,.0016827,.9179607,570,.3734124,1.275213,3.093443,.032164,.1974252,-33.89839,33.89839,-.1937375,-1.183693,,1
411,.76312196,.202195,-.000709,.8991789,566,-.4305038,5.657231,14.94474,.0299392,-.0431632,-56.2414,56.2414,-5.005849,-.868084,,1
413,0,.4999727,.005304,.9035031,855,.0051803,.7625766,3.082185,.0289173,.0863871,250.2441,-250.2441,-.1574312,.2515992,21,1
416,.68590803,.4676766,-.0178914,.9014078,3239,.0282609,2.559968,17.69691,.0707917,-.1078867,-883.9698,883.9698,-.2344271,-1.01505,43,1
417,3.727e-72,.1990434,-.0084113,.8746697,688,-.0534764,6.573997,17.77931,.0385292,-.3235483,-87.04367,87.04366,-5.42204,-1.762847,18,1
418,2.683e-18,.2095883,.0055701,.8971841,895,.4306324,2.807291,15.98661,.0435355,.1217486,108.2362,-108.2362,-.8111776,-.1496802,28,1
420,2.195e-15,.1671244,-.0081999,.9032915,987,-.0895918,4.352751,15.96939,.0411327,-.2754656,-117.5891,117.5891,-2.122365,.5865181,21,1
421,.00151615,.2692538,-.0016952,.9068071,1530,-.1235214,1.094597,4.625027,.0213685,-.192173,-166.46,166.46,.716122,.6269197,17,1
422,2.588e-19,.3348881,.0055781,.8985133,1595,.4692411,.7335203,2.118727,.0331655,.1577833,322.8662,-322.8662,-.2455313,-.7157416,15,1
424,.02054787,.1852992,.0028983,.9240567,1733,.4664694,1.438673,5.580128,.0477646,.2205701,72.99192,-72.99192,-.0184178,-.8783106,19,1
426,.10272009,.4348631,-.0033776,.9026588,8032,-.0799669,3.777603,18.49736,.0306119,-.0559501,-447.3774,447.3774,-1.411637,-1.452805,56,1
427,.22999235,.2022368,.0038063,.9051857,3475,.378769,1.093666,4.212013,.0246724,.253142,143.929,-143.929,.2489254,-.6118929,35,1
429,.1643861,.4805875,-.0104418,.9043642,4762,-.0613131,.7758512,2.524305,.0345805,-.1656563,-1386.404,1386.404,.1855179,.2430355,20,1
430,1.64e-122,.7870337,-.0006214,.9120346,7769,-.0340026,.9248812,3.78798,.0301392,-.0043674,543.919,-543.9189,-.6898787,-.6270335,29,1
431,0,.8071326,.013798,.9090975,9742,-.0739237,4.099637,16.71585,.0240001,.0822075,818.4165,-818.4166,-1.923734,-1.886767,53,1
432,.04389205,.7081086,.0064047,.9116088,4255,.282555,1.198521,4.174387,.0511164,.0271721,197.5909,-197.5908,-.1176889,-.6815911,33,1
437,6.129e-26,.3716841,-.0031831,.9130494,1524,.1776449,.7649478,2.776346,.0272367,-.1138412,-161.8374,161.8374,-.235474,-.2899332,20,1
438,5.205e-36,.1061884,-.0015642,.9076693,1608,.5092413,1.112243,3.285829,.0439474,-.4131719,-9.092953,9.092951,1.283575,.2563567,16,1
439,.01823489,.6628101,.0053787,.9133321,8892,.729976,3.005522,17.22863,.037876,.0398967,2321.688,-2321.688,-1.23162,-2.201784,30,1
440,.02382309,.3918774,-.0041192,.9134471,6511,.0623474,1.018121,4.024858,.0379581,-.0770471,-1154.617,1154.617,.4510272,.2271342,43,1
441,2.716e-20,.6991365,-.017318,.9112171,2641,.1087895,.8774899,3.053788,.0480164,-.1188571,-1786.193,1786.193,-1.447536,-1.467548,14,1
