base_failure_rate,failure_sd,true_alpha,eta,config_id,n_pcp,n_spec,n_years,refs_per_pcp_year,true_pi
0.15,0.08,0.2,1,95,15,20,6,4,-0.07
0.2,0.08,0.2,1,96,15,20,6,4,-0.07
0.02,0.005,0.4,1,97,15,20,6,4,-0.07
0.05,0.005,0.4,1,98,15,20,6,4,-0.07
0.09,0.005,0.4,1,99,15,20,6,4,-0.07
0.15,0.005,0.4,1,100,15,20,6,4,-0.07
0.2,0.005,0.4,1,101,15,20,6,4,-0.07
0.02,0.01,0.4,1,102,15,20,6,4,-0.07
0.05,0.01,0.4,1,103,15,20,6,4,-0.07
0.09,0.01,0.4,1,104,15,20,6,4,-0.07
0.15,0.01,0.4,1,105,15,20,6,4,-0.07
0.2,0.01,0.4,1,106,15,20,6,4,-0.07
0.05,0.02,0.4,1,107,15,20,6,4,-0.07
0.09,0.02,0.4,1,108,15,20,6,4,-0.07
0.15,0.02,0.4,1,109,15,20,6,4,-0.07
0.2,0.02,0.4,1,110,15,20,6,4,-0.07
0.05,0.03,0.4,1,111,15,20,6,4,-0.07
0.09,0.03,0.4,1,112,15,20,6,4,-0.07
0.15,0.03,0.4,1,113,15,20,6,4,-0.07
0.2,0.03,0.4,1,114,15,20,6,4,-0.07
0.09,0.05,0.4,1,115,15,20,6,4,-0.07
0.15,0.05,0.4,1,116,15,20,6,4,-0.07
0.2,0.05,0.4,1,117,15,20,6,4,-0.07
0.09,0.08,0.4,1,118,15,20,6,4,-0.07
0.15,0.08,0.4,1,119,15,20,6,4,-0.07
0.2,0.08,0.4,1,120,15,20,6,4,-0.07
