eta,like,tot_spec,tot_pcp,patients,rho,mean_alpha,mean_dist,se_alpha,se_dist,p10_alpha,p10_dist,p25_alpha,p25_dist,p50_alpha,p50_dist,p75_alpha,p75_dist,p90_alpha,p90_dist
1,-5001.462,83.61072,286.2893,4202.628,.8994607,.21674257,-.06935792,.1921676,.00601353,0,-.09899571,2.786e-07,-.08241258,.14109477,-.06782932,.2912381,-.05252804,.5647073,-.03844496
5,-4926.762,83.66904,286.8149,4196.143,.8996465,.51204669,-.06954961,.4799111,.00605084,2.031e-53,-.10016057,.11148996,-.08263386,.36849579,-.06793621,.71211277,-.05275136,1.2019037,-.03901378
,,63.57895,229.4737,2845.737,.9000733,,,,,,,,,,,,,,
