eta,like,tot_spec,tot_pcp,patients,rho,mean_alpha,mean_dist,se_alpha,se_dist,p10_alpha,p10_dist,p25_alpha,p25_dist,p50_alpha,p50_dist,p75_alpha,p75_dist,p90_alpha,p90_dist
1,-4980.71,83.31408,284.5235,4174.419,.8994026,.29500398,-.06923506,.258802,.00601802,0,-.0984877,.01123212,-.08190991,.20353315,-.06784196,.3954446,-.05232575,.75098186,-.03904054
5,-5022.203,83.87096,288.6738,4226.613,.8997579,.68842144,-.06975033,.6719022,.00605212,3.272e-24,-.10015082,.13073059,-.08299915,.50814265,-.0684368,.93358433,-.0527984,1.5431161,-.03786069
,,63.57895,229.4737,2845.737,.9000733,,,,,,,,,,,,,,
