hrr,mfx_failures,mfx_patients,mfx_failures_se,mfx_patients_se,patients,pcp_total,spec_total,mean_choice_size,mean_spec_failures,mean_pair_failures,mean_pcp_failures,spec_hhi,mean_vi
301,-.17012561,.79761376,.03478462,.03384416,7716,631,433,11.94259,19.89858,.4157083,1.827223,.0459395,.0466563
303,-.13120537,.96080234,.06471935,.07596332,1876,294,293,11.65085,14.30951,.6225868,2.517389,.0267474,.0399787
304,-.18115461,.84570271,.06491724,.06439757,1094,186,195,7.14351,8.929097,.3040238,1.246789,.0690136,.1499086
307,.03609747,.70771558,.05207581,.04582771,2914,293,205,9.154427,18.27591,.3663158,1.570345,.3151185,.0185312
308,-.20906858,.86952397,.06920533,.06192104,2190,285,252,7.906393,14.05739,.3394636,1.582569,.0669102,.1630137
309,-.03471541,.71742412,.05225835,.04029527,3388,299,227,9.773023,17.92305,.3604651,1.674932,.1310393,.1195396
311,.03185274,.69387461,.03901212,.02381927,6727,556,355,10.08681,18.26469,.4250479,1.612113,.3399037,.0872603
313,-.09242016,.78838184,.1291899,.09831273,1136,150,115,8.547535,14.72631,.3669065,1.419982,.2615211,.0492958
314,-.14137914,.75099398,.05898577,.04431593,3650,276,188,10.15342,18.00083,.5288641,2.494192,.1429059,.0542466
315,.03714446,.77000294,.12000915,.08378919,481,79,86,5.64657,12.42251,.2625,1.122105,.4014376,.022869
318,-.1596097,.64016725,.04867749,.03768116,4213,412,255,9.423689,17.28915,.369697,1.842206,.0911156,.0242108
319,.01192779,.79523612,.06876637,.05274102,1984,197,139,8.289819,28.87376,.4402778,2.316832,.2202524,.0357863
320,-.08470893,.73464882,.07040533,.05201014,2003,256,195,7.377434,11.54146,.3404255,1.371414,.1142203,.1567649
322,.19129271,.93621085,.15353328,.06918914,1769,219,147,7.575466,13.38987,.522997,2.134583,.1889392,.4318824
323,-.15053582,.53134653,.14342244,.09297438,536,79,65,7.197761,14.71857,.5253807,2.527103,.2338076,.2070896
325,-.02518395,.83195666,.05193685,.04534842,1711,242,160,7.954997,14.41027,.3330059,1.4066,.3141651,.0718878
326,.01732707,.61411089,.06940055,.04949063,1711,218,155,8.151374,11.47149,.3568161,1.546628,.1737965,.0496785
327,-.02822018,.81052938,.04536697,.03067997,5696,442,230,10.50772,24.20035,.3941921,1.75326,.1080852,.1748596
328,-.12778308,.89455116,.04668314,.02998122,5896,534,265,8.967606,14.2454,.3364993,1.672272,.0839586,.1668928
329,-.06214353,.74830362,.0267872,.02753383,8211,681,362,9.353185,39.71057,.6359657,2.562026,.1122679,.067714
330,-.05183745,.88761467,.057943,.06216378,4146,355,228,9.314279,19.27853,.7655347,2.336403,.1256163,.0248432
331,.06056175,.82818959,.06731783,.06340703,944,133,80,6.900424,20.65348,.4434389,1.811301,.230131,.2023305
332,-.09571933,.91449536,.10932514,.08208292,1498,196,129,7.473298,17.76913,1.238424,3.412869,.2244176,.0774366
334,-.09598013,.69780516,.05037198,.03395826,4449,388,279,9.3167,16.64596,.5577987,2.138024,.0754239,.1400315
335,-.06137332,.73208378,.03867657,.03766352,2941,242,223,10.88371,13.70322,.3207745,2.016729,.1264105,.0608637
336,.04012022,.82416507,.12837514,.09617942,975,80,92,12.02051,20.14834,.7472868,2.99897,.1499529,.1169231
339,-.13287087,.93266372,.04072847,.04287475,7857,493,275,11.95024,20.89674,.6294528,2.642009,.0992884,.0924017
341,-.25349945,.59536606,.10353504,.05977421,1283,98,69,8.007015,12.57616,.2996071,1.632782,.538466,.0015588
342,-.07704072,.60584603,.08077579,.04660211,2052,166,131,9.191521,11.04035,.3357958,1.859951,.2096861,.2538986
343,-.09816907,.43011861,.1100292,.06059054,1697,153,137,8.629346,18.65403,.5598361,1.945133,.2264334,.0318209
344,-.2518006,.82733754,0,0,1999,306,294,8.708354,8.186234,.3048781,1.484131,.0515303,.0870435
345,.00223559,.5278017,.10305757,.1196272,300,55,46,5.813334,9.464646,.1891892,1.053691,.5602888,.0233333
346,-.0655377,.7282708,.04291237,.03171552,5394,460,269,9.760845,28.99385,.3312429,1.766164,.1411736,.176307
347,-.11011774,.54491895,.090678,.0564698,737,91,87,8.393487,14.51705,.3249476,1.741848,.3280323,.0881954
350,-.07510675,.45772881,.0760978,.04535448,2086,179,134,7.801534,15.84867,.3090072,1.536127,.188881,.2857143
351,-.20091825,.63137522,.06427226,.03520359,2491,253,249,8.25532,16.11116,.5060241,1.919823,.0898968,.1617824
352,-.09935174,.81620992,.06158175,.05354451,4182,373,254,9.850072,13.59831,.3855596,1.769601,.2234846,.1377331
354,-.19176994,.54218794,.19740447,.12121822,241,47,55,6.414938,10.825,.35,1.352697,.1114822,.0912863
355,-.06989635,.68860366,.04230675,.03242458,2779,321,188,9.762864,17.17156,.2994253,1.57929,.1807406,.0111551
356,-.1301777,.84925482,.03268072,.03072108,7588,766,427,9.846336,20.28692,.3193788,1.68121,.1215317,.0094887
357,-.03118011,.79924971,.05108719,.03480973,3465,373,322,8.275325,12.06074,.3862661,1.528679,.0448806,.1336219
358,-.06954058,.72159867,.06192092,.03787144,2501,279,186,8.439824,26.10157,.3609959,1.63947,.2703026,.0379848
359,-.18646623,.69180024,.08518113,.05890873,812,123,99,6.426108,17.03206,.4914676,1.826141,.2779642,.5049261
360,-.04614014,.61027778,.05120753,.05969789,1725,188,165,8.194782,23.57876,.4048387,2.076207,.2951901,.0295652
362,-.06330525,.49634403,.05691533,.06209969,1157,130,111,8.760588,20.51222,.3495935,1.86597,.180278,.1253241
363,-.10172583,.68483232,.06203942,.07355296,2036,229,153,9.057957,17.05346,.5645161,2.077454,.376885,.132613
364,.04044533,.6367705,.04753761,.04049308,2523,307,211,8.496631,14.02988,.3481432,1.326441,.115484,.065002
