hrr,mfx_failures,mfx_patients,mfx_failures_se,mfx_patients_se,patients,pcp_total,spec_total,mean_choice_size,mean_spec_failures,mean_pair_failures,mean_pcp_failures,spec_hhi,mean_vi
1,-.05599015,.86343349,.04730841,.03793836,7974,674,400,11.05142,20.12607,.4994188,2.694784,.0396767,.0385001
2,-.08082215,.75963101,.07154492,.06939714,2815,171,150,14.74565,29.89052,.6372025,4.312701,.4367813,.0024867
5,-.04975442,.65606916,.09205688,.074047,3197,273,174,10.45261,39.38078,.5168047,2.442981,.3788719,.0043791
6,-.10792236,.95153439,.07397449,.05585828,3958,295,214,11.69429,15.95628,.4431649,2.749809,.17748,.0141486
7,-.08723331,.80218393,.07709761,.06544943,1868,164,138,12.21306,16.8282,.3525424,2.400755,.223802,.0240899
9,-.5145293,1.2183818,.25300481,.37663842,149,49,51,5.18792,16.65306,.3052632,1.891156,.1229224,.0536913
10,-.00497329,.78044747,.16436869,.13067975,1699,266,284,9.894644,16.98754,.4633274,2.231772,.11061,.0370806
11,-.12420022,.97336775,.05153069,.06277946,6300,602,367,19.20572,26.70064,.5592444,5.179876,.1421855,.0114286
14,-.04705725,1.0373215,.05844458,.05304391,3600,420,258,13.85472,33.79293,.6071429,4.154788,.2445769,.0175
15,-.15915253,.99947671,.09443079,.04992949,4608,364,288,10.82834,32.46822,.4386997,2.34199,.2072553,.0405816
16,.05923712,.72159094,.08536817,.0552324,2026,182,134,11.10266,22.35166,.486852,2.491828,.2472892,.2729516
18,.02048742,.81779662,.09066642,.04440733,1445,92,84,9.829758,21.71736,.5165031,2.71875,.3223462,.2574394
19,-.02994976,.79827274,.06545944,.03291528,10718,582,289,12.6838,33.77649,.5799227,2.940165,.0859526,.0841575
21,-.11036004,.38867335,.1015242,.04178938,2972,243,165,8.068641,39.20332,.9104084,2.357602,.221752,.1813594
22,-.04145912,.44714765,.04996991,.08093535,1206,124,129,12.20813,26.96836,.4022699,2.995008,.2385626,.2852405
23,-.10075083,.89983499,.09078838,.05158322,5671,501,344,10.08447,23.86997,.423221,1.80885,.1335274,.0774114
25,-.03130609,.86414655,.08996435,.05635802,3242,209,204,12.58267,25.38841,.4486626,2.365718,.092399,.0271437
31,-.23232547,.8865041,.164217,.07116695,2110,127,124,10.53649,23.70362,.6590106,3.180866,.2369803,.0492891
33,-.00632461,.81375193,.08073516,.06832817,3105,282,176,10.0219,29.29573,.3695652,1.874354,.292503,.0866345
43,-.07580448,.83127171,.11343977,.05300727,3063,210,147,10.43226,39.76123,.4718499,2.302584,.4532851,.029383
56,-.15783723,.9383327,.0597557,.01847863,12863,955,535,9.212858,38.32286,.6349136,2.066739,.0293402,.0289979
58,-.18580719,1.0104755,.09661791,.04787071,3302,239,217,11.98244,22.28993,.4720524,2.125381,.0567536,.1926105
62,-.0216159,.74482577,.22803789,.04355887,1112,139,116,7.988309,34.74797,.897497,2.774661,.184841,.0305755
65,-.07936403,.84141995,.09811638,.04998008,2092,282,172,7.819312,23.80934,.380816,1.401918,.0765865,.040631
73,-.12861097,.63629493,.07816967,.04835926,2718,137,165,12.97241,25.07394,.5218412,3.162102,.1081291,.080206
77,-.08204629,1.1783759,.06978756,.05342843,9013,621,405,12.74958,21.08205,.4560683,2.593318,.0559338,.1900588
78,.07435709,.86700828,.11795106,.07000754,1904,125,112,11.24632,30.75831,.4733932,2.361433,.1696467,.039916
79,-.28522365,.88822054,.1058513,.05787352,2295,365,320,8.107625,15.23568,.5135909,1.879492,.0448737,.124183
80,-.10260113,.86174342,.06645146,.03200743,6719,579,376,9.996428,17.45527,.4960018,1.790277,.0590421,.1739842
81,-.12625332,.74944409,.0632605,.04095208,3021,316,207,11.78616,16.54561,.3131727,1.977,.1035033,.0334326
82,-.20406919,1.0089086,.11778845,.06591785,2917,281,179,10.2434,27.98653,.3575184,1.640055,.0775207,.1258142
83,.06025828,.7761265,.09401084,.06152723,2011,160,132,9.802586,17.61008,.3688469,1.671329,.1935968,.0417703
85,-.00929872,1.0026707,.07042375,.08185431,2060,229,133,8.798544,34.60195,.317193,1.642336,.1750627,.2111651
86,-.15900441,.87187907,.10714652,.0528535,2999,186,108,9.794265,19.22886,.3832618,1.92047,.1145422,.174058
87,.13979369,.79396606,.12161098,.09547826,1393,116,113,10.59009,26.40519,.2829989,1.635709,.2215616,.3194544
89,-.12790752,.95225428,.14454705,.06631724,2153,169,129,10.89178,18.40812,.4167207,1.99767,.1298438,.1114724
91,-.21242299,.91253752,.1309662,.06942584,1759,188,151,10.91416,23.92576,.3959562,2.638905,.0934711,.2211484
96,-.17732104,1.1050322,.08280475,.04847276,3310,311,182,11.28852,23.81536,.4986678,2.091765,.1079693,.0129909
101,-.04532517,.97965787,.17988763,.11541945,1101,132,114,9.49228,17.17156,.4822191,2.362889,.1566778,.1298819
102,-.032693,.76418631,.05924399,.05153337,4050,371,244,13.12568,18.10012,.4223853,2.711443,.1462095,.0767901
103,-.04815868,.90588591,.03940891,.05169827,9560,771,495,13.74916,21.50873,.4781874,2.551855,.0781785,.0864017
104,-.17785779,.62814999,.1005094,.08275383,2257,206,148,9.907843,46.65239,.5949442,2.731696,.492412,.0948161
105,.04424484,.56048867,.09172997,.06346776,2161,213,172,7.453031,12.41328,.3127036,1.301216,.1597764,.0522906
106,-.06027136,.81450368,.11714437,.08031827,1995,213,137,9.609022,35.34816,.4491827,2.413515,.3712386,.1598998
107,-.02417321,.58792,.072201,.07272428,1302,96,104,13.70507,14.20711,.3376777,2.490726,.1383149,.109063
109,-.06574181,.99057535,.13891462,.06742709,3146,332,241,10.15099,24.16512,.4783455,2.067667,.1119827,.0104895
110,-.00999445,.78355958,.03533717,.03090576,6564,648,373,9.292353,30.62705,.472886,2.203032,.1227582,.0457038
111,-.09182541,.92132741,.05273718,.04215276,8250,743,392,9.322424,27.27293,.4709332,2.25971,.0793108,.0252121
112,-.04086173,.90299748,.06038817,.04938595,7012,461,270,12.17855,45.87389,.4914109,2.897631,.2742204,.0085568
113,-.12705788,.98635989,.04485722,.04179912,11938,1049,622,11.22399,29.65428,.5133178,2.505565,.0746205,.0214441
115,-.03913432,.71368775,.09156573,.07261411,3031,351,210,9.415375,45.95497,.5568182,3.090457,.4182936,.0280435
116,-.01949391,.87898776,.06125029,.05713332,3137,414,269,9.539369,40.38942,.6000981,2.775288,.3033585,.0290086
118,-.06709291,.75039191,.03846011,.03584953,13756,1435,961,14.37656,40.89204,.5669124,3.486287,.0634974,.0327857
119,-.0294723,.9095617,.03365164,.03857183,15739,1794,1131,14.13489,58.9684,.703514,4.412858,.0550641,.0534977
120,.22187696,1.0300251,.11569389,.0480836,3253,331,186,9.925607,39.25417,.6507732,3.139069,.3852161,.070704
122,-.04707848,.86528941,.06142376,.06004565,2786,338,270,10.09368,25.94448,.5963303,2.823678,.0883028,.0412778
123,-.10956218,.84370762,.04249189,.03647619,10751,722,423,12.20724,87.95827,.94289,4.272906,.1796653,.0747837
124,-.19731294,.65834122,.10575035,.10173019,1727,221,176,8.898668,38.07513,.5754717,3.06756,.4365963,.5732484
127,.42425612,.96833971,.19938906,.08790983,2015,415,425,8.721092,25.43628,.5013357,2.079104,.0711259,.0307692
129,.00385066,.92228943,.0659788,.04861225,8215,676,506,14.26086,45.63213,.6336699,4.158647,.0905864,.0116859
130,-.10610465,.88584996,.03375408,.02715398,19003,1858,1311,11.69326,37.86859,.8120595,3.827252,.0226477,.0479924
131,-.07873984,.70808352,.08622027,.05993141,3964,347,280,13.95787,28.43412,.5712773,3.209296,.1198514,.0953582
133,-.04498076,.55414346,.15105845,.09950419,1552,131,154,10.33763,34.97604,.8160821,3.078862,.3461455,.0393041
134,.01928537,.81558826,.05498168,.04139755,5487,443,317,11.88227,21.33572,.5150376,3.167248,.0999402,.126663
137,.05302255,.99235035,.052857,.05840633,7788,816,550,13.21225,49.67152,.6182594,3.486978,.1758663,.0387776
139,-.13145375,.82447081,.07935993,.05205163,1812,290,205,9.01766,25.85327,.4702653,2.627288,.2535245,.0248344
140,.0982632,.69362439,.13464607,.07485865,2464,221,173,8.787744,19.1517,.6573242,2.952556,.142137,.03125
141,.03437568,.94223733,.07446532,.05158412,3891,479,362,11.19841,31.64562,.5089723,2.707601,.2501926,.1369828
142,-.29590376,.61037154,.21614441,.13765508,708,65,74,10.58051,28.25036,.3766234,2.297297,.1973611,.1101695
144,-.04771746,1.0228736,.05093138,.03284783,18566,1270,726,11.95432,25.8382,.4170912,2.229996,.0813143,.0365722
145,-.03254155,.61784834,.05500201,.05437851,3173,225,175,12.45698,18.10293,.395359,2.714968,.2815811,.0135518
146,.05113776,.56718966,.07361005,.05139497,1869,126,75,10.71215,35.44265,.5808011,3.366523,.4331329,.0053505
