eta,like,tot_spec,tot_pcp,patients,rho,mean_alpha,mean_dist,se_alpha,se_dist,p10_alpha,p10_dist,p25_alpha,p25_dist,p50_alpha,p50_dist,p75_alpha,p75_dist,p90_alpha,p90_dist
1,-4980.71,83.31408,284.5235,4174.419,.8994026,.26304612,-.06923588,.2307543,.00601813,0,-.0984877,9.340e-17,-.08190991,.16068275,-.06784196,.36518184,-.05232575,.70710691,-.03904054
5,-5027.507,83.88928,288.7643,4230.818,.8997274,.50504814,-.06977285,.4936381,.00604312,4.457e-60,-.09980982,2.089e-25,-.08288488,.25810096,-.06849822,.72801538,-.05309269,1.3806505,-.03843724
,,63.57895,229.4737,2845.737,.9000733,,,,,,,,,,,,,,
