coef_val,coef_se,hrr,eta,converged,log_like,fmly_level,patients,pcp_total,spec_total,mean_choice_size,mean_spec_failures,mean_pair_failures,mean_pcp_failures,spec_hhi,mean_vi
.86430933,.13506741,5,5,1,-6122.906,1,3197,273,174,10.45261,37.54563,.4846566,2.439769,.3788719,.0043791
1.4015338,.18316608,5,5,1,-6122.906,3,3197,273,174,10.45261,37.54563,.4846566,2.439769,.3788719,.0043791
2.4229942,.26880362,5,5,1,-6122.906,20,3197,273,174,10.45261,37.54563,.4846566,2.439769,.3788719,.0043791
1.8678792,.22773565,5,5,1,-6122.906,7,3197,273,174,10.45261,37.54563,.4846566,2.439769,.3788719,.0043791
1.6190608,.11293826,6,1,1,-7112.18,3,3958,295,214,11.69429,17.10228,.4364785,2.963237,.17748,.0141486
2.711493,.20475231,6,1,1,-7112.18,20,3958,295,214,11.69429,17.10228,.4364785,2.963237,.17748,.0141486
2.7572775,.16049522,6,1,1,-7112.18,15,3958,295,214,11.69429,17.10228,.4364785,2.963237,.17748,.0141486
2.3583958,.15734235,6,1,1,-7112.18,10,3958,295,214,11.69429,17.10228,.4364785,2.963237,.17748,.0141486
1.3849677,.11121979,6,1,1,-7112.18,2,3958,295,214,11.69429,17.10228,.4364785,2.963237,.17748,.0141486
1.8163027,.1612325,6,1,1,-7112.18,5,3958,295,214,11.69429,17.10228,.4364785,2.963237,.17748,.0141486
1.9466714,.12938546,6,1,1,-7112.18,4,3958,295,214,11.69429,17.10228,.4364785,2.963237,.17748,.0141486
2.1480188,.15963231,6,1,1,-7112.18,7,3958,295,214,11.69429,17.10228,.4364785,2.963237,.17748,.0141486
1.1414565,.0934813,6,1,1,-7112.18,1,3958,295,214,11.69429,17.10228,.4364785,2.963237,.17748,.0141486
1.3810328,.16182503,6,5,1,-7112.241,2,3958,295,214,11.69429,17.10228,.4364785,2.963237,.17748,.0141486
2.1414828,.22517196,6,5,1,-7112.241,7,3958,295,214,11.69429,17.10228,.4364785,2.963237,.17748,.0141486
