coef_val,coef_se,hrr,eta,converged,log_like,Specialist_ID,time_period,patients,pcp_total,spec_total,mean_choice_size,mean_spec_failures,mean_pair_failures,mean_pcp_failures,spec_hhi,mean_vi
.2574851,.54841278,1,1,1,-16708.45,1013950120,0,7974,674,400,11.05142,22.0148,.5583107,3.027735,.0396767,.0385001
1.522077,.44841894,1,1,1,-16708.45,1013950120,1,7974,674,400,11.05142,22.0148,.5583107,3.027735,.0396767,.0385001
1.3643845,.4550949,1,1,1,-16708.45,1023052610,0,7974,674,400,11.05142,22.0148,.5583107,3.027735,.0396767,.0385001
1.4114308,.41811825,1,1,1,-16708.45,1023052610,1,7974,674,400,11.05142,22.0148,.5583107,3.027735,.0396767,.0385001
.06793832,.73729772,1,1,1,-16708.45,1023077146,0,7974,674,400,11.05142,22.0148,.5583107,3.027735,.0396767,.0385001
1.1428039,.24758182,1,1,1,-16708.45,1023086022,0,7974,674,400,11.05142,22.0148,.5583107,3.027735,.0396767,.0385001
1.3795114,.28817758,1,1,1,-16708.45,1023086022,1,7974,674,400,11.05142,22.0148,.5583107,3.027735,.0396767,.0385001
.57203379,.41675263,1,1,1,-16708.45,1023087723,0,7974,674,400,11.05142,22.0148,.5583107,3.027735,.0396767,.0385001
.30388929,.63752225,1,1,1,-16708.45,1023087723,1,7974,674,400,11.05142,22.0148,.5583107,3.027735,.0396767,.0385001
-14.082008,.46930766,1,1,1,-16708.45,1033114327,0,7974,674,400,11.05142,22.0148,.5583107,3.027735,.0396767,.0385001
-14.702136,.45649581,1,1,1,-16708.45,1033114327,1,7974,674,400,11.05142,22.0148,.5583107,3.027735,.0396767,.0385001
.70921783,.75389572,1,1,1,-16708.45,1033163308,0,7974,674,400,11.05142,22.0148,.5583107,3.027735,.0396767,.0385001
1.2713435,.46971638,1,1,1,-16708.45,1033163308,1,7974,674,400,11.05142,22.0148,.5583107,3.027735,.0396767,.0385001
.21346115,.18961102,1,1,1,-16708.45,1043209513,0,7974,674,400,11.05142,22.0148,.5583107,3.027735,.0396767,.0385001
.08770109,.20244573,1,1,1,-16708.45,1043209513,1,7974,674,400,11.05142,22.0148,.5583107,3.027735,.0396767,.0385001
2.247488,.31942468,1,1,1,-16708.45,1053330316,1,7974,674,400,11.05142,22.0148,.5583107,3.027735,.0396767,.0385001
1.2246627,.29803336,1,1,1,-16708.45,1053389031,0,7974,674,400,11.05142,22.0148,.5583107,3.027735,.0396767,.0385001
1.6278695,.28121086,1,1,1,-16708.45,1053389031,1,7974,674,400,11.05142,22.0148,.5583107,3.027735,.0396767,.0385001
.06511555,.58879224,1,1,1,-16708.45,1053471300,0,7974,674,400,11.05142,22.0148,.5583107,3.027735,.0396767,.0385001
-.55678178,1.0254392,1,1,1,-16708.45,1063451391,0,7974,674,400,11.05142,22.0148,.5583107,3.027735,.0396767,.0385001
1.3182545,.81029957,1,1,1,-16708.45,1063451391,1,7974,674,400,11.05142,22.0148,.5583107,3.027735,.0396767,.0385001
1.0507565,.7006383,1,1,1,-16708.45,1063624948,1,7974,674,400,11.05142,22.0148,.5583107,3.027735,.0396767,.0385001
1.4558015,.30850302,1,1,1,-16708.45,1063647345,1,7974,674,400,11.05142,22.0148,.5583107,3.027735,.0396767,.0385001
.29586449,.73653409,1,1,1,-16708.45,1063656858,1,7974,674,400,11.05142,22.0148,.5583107,3.027735,.0396767,.0385001
1.2301517,1.0977125,1,1,1,-16708.45,1073711677,1,7974,674,400,11.05142,22.0148,.5583107,3.027735,.0396767,.0385001
.57966707,.39971032,1,1,1,-16708.45,1093011991,1,7974,674,400,11.05142,22.0148,.5583107,3.027735,.0396767,.0385001
1.1329452,.35170203,1,1,1,-16708.45,1104894021,0,7974,674,400,11.05142,22.0148,.5583107,3.027735,.0396767,.0385001
1.331756,.35831234,1,1,1,-16708.45,1104894021,1,7974,674,400,11.05142,22.0148,.5583107,3.027735,.0396767,.0385001
.8844308,.25475158,1,1,1,-16708.45,1114925237,0,7974,674,400,11.05142,22.0148,.5583107,3.027735,.0396767,.0385001
1.3579831,.26757784,1,1,1,-16708.45,1114925237,1,7974,674,400,11.05142,22.0148,.5583107,3.027735,.0396767,.0385001
-.06638049,1.023352,1,1,1,-16708.45,1114986239,0,7974,674,400,11.05142,22.0148,.5583107,3.027735,.0396767,.0385001
.18254313,.9914132,1,1,1,-16708.45,1114986239,1,7974,674,400,11.05142,22.0148,.5583107,3.027735,.0396767,.0385001
.34129919,.64488062,1,1,1,-16708.45,1124036876,0,7974,674,400,11.05142,22.0148,.5583107,3.027735,.0396767,.0385001
.15025263,.58702433,1,1,1,-16708.45,1124036876,1,7974,674,400,11.05142,22.0148,.5583107,3.027735,.0396767,.0385001
.43936317,.49755881,1,1,1,-16708.45,1124230305,0,7974,674,400,11.05142,22.0148,.5583107,3.027735,.0396767,.0385001
.70137344,.42894893,1,1,1,-16708.45,1134161995,0,7974,674,400,11.05142,22.0148,.5583107,3.027735,.0396767,.0385001
1.184028,.55991627,1,1,1,-16708.45,1134161995,1,7974,674,400,11.05142,22.0148,.5583107,3.027735,.0396767,.0385001
-.12323498,.74068744,1,1,1,-16708.45,1134172638,1,7974,674,400,11.05142,22.0148,.5583107,3.027735,.0396767,.0385001
1.2744782,.26474466,1,1,1,-16708.45,1134197171,0,7974,674,400,11.05142,22.0148,.5583107,3.027735,.0396767,.0385001
1.7742831,.28055129,1,1,1,-16708.45,1134197171,1,7974,674,400,11.05142,22.0148,.5583107,3.027735,.0396767,.0385001
-.86119058,.38319043,1,1,1,-16708.45,1154313807,0,7974,674,400,11.05142,22.0148,.5583107,3.027735,.0396767,.0385001
.01790265,.42160135,1,1,1,-16708.45,1154313807,1,7974,674,400,11.05142,22.0148,.5583107,3.027735,.0396767,.0385001
.26071882,.17289712,1,1,1,-16708.45,1164411351,0,7974,674,400,11.05142,22.0148,.5583107,3.027735,.0396767,.0385001
.19694555,.648434,1,1,1,-16708.45,1164584090,0,7974,674,400,11.05142,22.0148,.5583107,3.027735,.0396767,.0385001
.98926805,.85996198,1,1,1,-16708.45,1164632626,0,7974,674,400,11.05142,22.0148,.5583107,3.027735,.0396767,.0385001
.15012182,1.0857034,1,1,1,-16708.45,1164632626,1,7974,674,400,11.05142,22.0148,.5583107,3.027735,.0396767,.0385001
-1.7316558,.86192925,1,1,1,-16708.45,1174507693,0,7974,674,400,11.05142,22.0148,.5583107,3.027735,.0396767,.0385001
-14.26251,.2579662,1,1,1,-16708.45,1174507693,1,7974,674,400,11.05142,22.0148,.5583107,3.027735,.0396767,.0385001
1.8099185,.30169218,1,1,1,-16708.45,1174575070,0,7974,674,400,11.05142,22.0148,.5583107,3.027735,.0396767,.0385001
1.916609,.2938039,1,1,1,-16708.45,1174575070,1,7974,674,400,11.05142,22.0148,.5583107,3.027735,.0396767,.0385001
-.0945856,1.0194611,1,1,1,-16708.45,1184642977,0,7974,674,400,11.05142,22.0148,.5583107,3.027735,.0396767,.0385001
.29232182,.63056708,1,1,1,-16708.45,1184642977,1,7974,674,400,11.05142,22.0148,.5583107,3.027735,.0396767,.0385001
1.4680468,.2498883,1,1,1,-16708.45,1184646473,0,7974,674,400,11.05142,22.0148,.5583107,3.027735,.0396767,.0385001
2.5127358,.26714319,1,1,1,-16708.45,1184646473,1,7974,674,400,11.05142,22.0148,.5583107,3.027735,.0396767,.0385001
.98667461,.84669107,1,1,1,-16708.45,1184677346,0,7974,674,400,11.05142,22.0148,.5583107,3.027735,.0396767,.0385001
2.2171016,.86502987,1,1,1,-16708.45,1184677346,1,7974,674,400,11.05142,22.0148,.5583107,3.027735,.0396767,.0385001
.613973,.52321558,1,1,1,-16708.45,1184684334,0,7974,674,400,11.05142,22.0148,.5583107,3.027735,.0396767,.0385001
.42766666,.459018,1,1,1,-16708.45,1184684334,1,7974,674,400,11.05142,22.0148,.5583107,3.027735,.0396767,.0385001
1.8042475,.5835853,1,1,1,-16708.45,1184784019,1,7974,674,400,11.05142,22.0148,.5583107,3.027735,.0396767,.0385001
2.3747508,.36403023,1,1,1,-16708.45,1194043521,1,7974,674,400,11.05142,22.0148,.5583107,3.027735,.0396767,.0385001
1.0710724,.47957491,1,1,1,-16708.45,1205070901,1,7974,674,400,11.05142,22.0148,.5583107,3.027735,.0396767,.0385001
