hrr,coef_m,pij_diff_full,pij_diff_current,pij_diff_fullfam,health_full,health_current,health_fullfam,health_base,n_cases,corr_fe_qual,fe_sd,fe_range,qual_sd,corr_realloc_qual_full,corr_realloc_qual_fullfam,realloc_to_highq_full,realloc_to_lowq_full,realloc_to_highq_fullfam,realloc_to_lowq_fullfam,fe_mean_highqual,fe_mean_lowqual,n_specs,eta
142,1.4927727,.2886621,.2399755,.3131544,-.0005901,.0007915,-.0008437,.8778358,287,.1781409,4.173207,14.18175,.0387659,-.0483564,-.036222,-.3578551,.3578537,-9.011183,9.011186,.5336534,-2.523587,28,1
144,.26790447,.4015033,.2811811,.4504189,.0000946,.0019442,-.004265,.9049647,15575,.1298421,.7892901,4.461057,.0424917,.0037883,-.1462825,-125.9974,125.9974,-823.5236,823.5236,-.7756145,-.864366,210,1
145,.20424075,.205689,.1644406,.2207018,.0034734,.002421,-.0009349,.9040453,2729,.2747603,.8520284,3.51541,.0447471,.1915397,-.0568909,62.14336,-62.14336,-26.67556,26.67557,-.199679,-.3209237,53,1
146,0,.161314,.1335403,.1769666,-.0004878,-.0002153,-.0032411,.8975803,1494,.3682954,.8036001,2.974358,.048242,-.0439933,-.213553,24.48984,-24.48984,-12.55529,12.55529,2.086636,1.91489,21,1
147,.04830338,.2043388,.1662282,.2595885,.0014147,.0013516,-.0016244,.9022384,1764,-.1847927,5.367152,19.41882,.0358727,.1219209,-.0867796,8.372286,-8.372288,-30.66507,30.66507,-1.685842,-.3414155,77,1
148,.42185289,.2520151,.1972686,.3030766,.0010105,.0000272,.0003822,.8701462,1321,.1345454,1.007721,4.442724,.0460678,.0738345,.0091558,-4.412977,4.412978,34.45777,-34.45778,.5911986,.3846457,71,1
149,.17447827,.2787128,.2099136,.349032,.0017822,.0029022,-.0082561,.9016099,3482,.2589195,.5641248,3.054347,.0445085,.1045069,-.2833003,84.3045,-84.3045,-238.6023,238.6023,-.1473937,-.3780741,38,1
151,.10223203,.2171765,.1669916,.2450624,.0012506,.0001993,.0012166,.903949,2216,.3969155,.8053775,3.6019,.0442256,.1753152,.1015938,70.92253,-70.92253,61.19568,-61.19569,.13939,-.4094543,36,1
152,1.529e-13,.1181659,.1059099,.1299066,-.0006429,-.000531,-.0007029,.9124153,1067,-.1536558,.8851051,3.708203,.0459857,-.0822533,-.1521277,10.08363,-10.08362,9.338001,-9.338004,.0797323,.4255057,18,1
154,.06596196,.3935829,.2675286,.5117693,-.0016353,.0008203,-.0070813,.9058775,1201,-.0621349,3.339335,15.90678,.0338276,-.0763222,-.1072193,-76.60933,76.60933,-208.8285,208.8285,-.5116461,-.4109537,75,1
155,0,.4240583,.3097435,.4269966,-.001069,-.0006988,.0002186,.8746434,4568,-.0415384,2.386393,18.07671,.0391735,-.0352046,.0059544,-129.2826,129.2826,-84.69696,84.69697,-.0647767,.3106066,153,1
156,.23128576,.5186079,.421459,.5211945,-.004167,-.0019341,-.00437,.8881616,3346,-.1059218,2.824106,18.16493,.0381231,-.1523346,-.1585268,-213.7127,213.7127,-226.9778,226.9778,-.9345069,-.0264054,165,1
158,.25392719,.3850927,.2787047,.4498786,-.001294,.0004102,-.0052201,.9038853,3562,.0254316,2.432249,18.49845,.0336247,-.0408096,-.1116252,16.41715,-16.41716,-233.3909,233.3909,-.393114,-.9067467,151,1
161,1.034e-14,.4442931,.2988527,.4512383,-.0037985,-.0006088,-.0066934,.9075203,7013,.1538055,.9761356,4.380492,.0357621,-.1420553,-.2108287,-450.285,450.285,-808.0842,808.0842,-.3695725,-.5964198,136,1
163,.10967801,.3884813,.3197033,.3950389,-.0016884,-.0012894,-.0019409,.8991974,2533,.1182631,3.594875,17.28637,.0429657,-.07481,-.0719405,-22.72788,22.72788,-43.32705,43.32706,.4866239,.0583096,111,1
164,.17357291,.3841033,.3094108,.417326,-.001571,-.0023797,.001232,.8786588,3075,.1317393,3.45766,18.58148,.0394506,-.0408708,.0330765,-67.11734,67.11736,8.278422,-8.278423,-.1967397,-.7492826,144,1
166,.33042166,.4470747,.325858,.4708671,-.0018501,-.0009207,-.0026215,.898741,5828,.0695754,.7875234,4.58035,.0370659,-.0828598,-.0790757,-269.606,269.6061,-390.8914,390.8914,-.1121453,-.218218,171,1
170,.06191334,.247627,.1773698,.3028926,.0023162,.0013111,-.0011742,.8950424,4187,.1535914,1.12182,4.731866,.0367722,.1386195,-.0493468,181.4698,-181.4698,-120.6801,120.6801,-.3862216,-.7362688,76,1
171,.20478611,.36085,.2476552,.4404888,.000276,.0002113,-.003077,.8976152,4538,.0759153,2.383562,17.42994,.0335931,.005747,-.1017774,241.1263,-241.1263,-43.93843,43.93843,1.323671,.9752672,142,1
172,6.330e-15,.2361823,.186278,.2874194,-.0023518,-.0018069,-.0051906,.8906881,2716,.0397109,1.815369,17.32696,.0486553,-.1190064,-.1660517,-103.4247,103.4247,-180.4949,180.4949,-.637039,-.9872383,98,1
173,.31129462,.3762085,.2766679,.4393907,-.0003325,-.0016093,.0015805,.8748552,1344,-.0077636,.8423277,3.643915,.0453703,-.0105454,.0393811,11.2903,-11.2903,81.47672,-81.47672,-.5242342,-.4381814,71,1
175,1.401e-20,.2144365,.1690605,.2693538,-.0024644,.0003186,-.0066755,.8997463,1141,-.0607282,.6434684,2.718524,.0404924,-.3155353,-.2975524,10.92015,-10.92015,-61.73735,61.73735,.2558409,.4718763,26,1
179,.15222137,.2007977,.1666761,.2434009,.0011827,.0015607,-.0047238,.8949512,4310,-.0889569,1.065611,4.236506,.0386952,.1139212,-.2886017,76.02036,-76.02036,-254.2614,254.2614,-.4032435,-.4735782,79,1
180,.00536682,.3306239,.2427602,.3744874,-.0005123,.0006804,-.0036812,.9002474,3413,.0273372,2.62799,15.99489,.055622,-.0190003,-.0721631,-59.08685,59.08685,-178.5007,178.5007,-.5170968,-.3125284,97,1
181,0,.3815131,.2821355,.4222813,-.000618,.0002753,-.0019777,.8869259,2299,-.0432814,1.98641,16.28659,.039821,-.0217614,-.0474081,.7380492,-.7380414,-15.34062,15.34062,-.1561241,.1284316,127,1
183,0,.476389,.3027745,.5031391,-.0045125,-.0006253,-.0061863,.8991864,12237,.1864461,.6679499,3.506649,.053786,-.1331471,-.1722916,-528.8224,528.8224,-838.8971,838.897,.3907532,.1339129,197,1
184,7.323e-17,.2435011,.1823245,.3545068,.0029961,.0017973,-.0013717,.9038888,1226,-.0016727,.5674218,2.100881,.0366933,.1531537,-.0264116,40.2686,-40.2686,-142.1712,142.1712,.4998522,.3550981,52,1
185,2.054e-35,.1877823,.1663576,.2772332,-.001219,-.0009254,-.0023165,.8969459,924,-.0160816,1.245644,5.233926,.0507284,-.0469221,-.0445128,-22.02795,22.02795,10.29986,-10.29986,.7599955,.5668764,72,1
186,.50966163,.3254919,.2658308,.3646577,.000179,.0007953,-.002272,.8851486,1436,.0608419,2.574033,15.87586,.04036,.0050005,-.0503604,22.17108,-22.17108,-62.90661,62.9066,-.3142363,-1.074458,97,1
187,.31273902,.2858198,.2220555,.3584569,.0000201,.0007036,-.0035295,.9156904,3776,.0212926,2.65302,15.21096,.0402558,.0025426,-.1133883,11.8608,-11.8608,-183.993,183.993,-.5472153,-.5013575,84,1
190,.40120033,.1169881,.1060986,.1532776,.0003431,.0003505,-.001245,.9163836,2100,-.0126595,.7347254,3.342777,.0343998,.0258895,-.0606134,28.66167,-28.66167,-96.65652,96.65651,-.2364019,-.383301,45,1
191,.24012072,.3837596,.2288694,.4313393,-.0004587,-.0003603,.0004093,.9058149,4380,.1953931,1.07234,4.542846,.0328401,-.0363998,.0183783,-36.6546,36.65461,15.60021,-15.6002,.0760318,-.1044162,62,1
