hrr,coef_m,pij_diff_full,pij_diff_current,pij_diff_fullfam,health_full,health_current,health_fullfam,health_base,n_cases,corr_fe_qual,fe_sd,fe_range,qual_sd,corr_realloc_qual_full,corr_realloc_qual_fullfam,realloc_to_highq_full,realloc_to_lowq_full,realloc_to_highq_fullfam,realloc_to_lowq_fullfam,fe_mean_highqual,fe_mean_lowqual,n_specs,eta
1,.52291637,.3047302,.2325105,.3506364,.0012261,.0016615,.0001263,.8720623,6507,.0610658,.8590084,4.462357,.0536416,.0712306,.0042875,174.923,-174.923,159.7874,-159.7874,.677309,.717435,159,5
2,.23188256,.1486139,.1344232,.188714,.000173,.0006293,-.0025546,.8848152,2142,.2581984,.881038,4.877044,.0414323,.0130604,-.1761043,-21.08902,21.08902,-24.62606,24.62606,.7994968,.3961433,40,5
5,.53051753,.1857229,.1651495,.2099687,.0030133,.0032459,-.0030174,.8916622,2773,.057531,3.142149,17.03079,.0486559,.1037533,-.0928171,134.3589,-134.3589,-112.978,112.9781,1.063517,.7173814,82,5
6,0,.2790756,.2126191,.3202013,-.002055,.0001125,-.0039633,.8896349,3016,.2534059,.6414778,2.737746,.0400983,-.2022817,-.1924236,11.4899,-11.4899,-96.81905,96.81906,.3163677,.0703922,52,5
7,6.343e-13,.1983743,.1636943,.2239179,.0001852,.0013245,-.0047306,.8953069,1403,.2516032,1.024898,4.051628,.047426,.0164888,-.2289522,6.841188,-6.841188,-85.69831,85.69831,.559019,-.0316864,61,5
9,4.281769,.3344486,.2823202,.3450957,5.76e-06,.0030471,.0016875,.8910317,122,-.1740684,6.641875,24.57084,.046041,.0002673,.0691433,.5340421,-.5340428,2.597333,-2.597334,-.0238927,2.064401,33,5
10,1.2870011,.1491405,.1209605,.1684415,.0018519,.0012144,.0024922,.8858347,876,-.2670766,4.509855,17.68526,.045503,.2073234,.224208,34.94313,-34.94313,19.26763,-19.26763,-3.540853,-1.162571,26,5
11,0,.2790054,.2297849,.297782,.002165,.0009152,.0016882,.897956,3317,-.0047435,.879322,4.526864,.039589,.1827423,.1022907,23.11455,-23.11455,5.915732,-5.91574,.5183246,.5719754,89,5
14,5.684e-19,.2680233,.2124032,.298417,.0012963,.0004085,.0011256,.8967605,2927,-.0434988,.8045139,3.583662,.0386479,.0640571,.0386382,134.9384,-134.9384,148.7138,-148.7138,-.8584325,-.7978922,79,5
15,1.2019037,.3120431,.2084384,.3340085,-.0009865,-.0000934,-.0023773,.9041942,3007,.1728859,.6138511,2.209182,.0397728,-.0805006,-.1740173,-167.9021,167.9021,-154.4206,154.4206,-.0351284,-.5272251,24,5
16,.03612677,.2207116,.1759587,.2431177,.0004321,.0010492,-.0025759,.8905015,1676,.0987775,3.15088,15.98618,.0363594,.080979,-.1932926,16.75244,-16.75245,-65.8279,65.82791,.5920625,-.7969542,44,5
18,1.061e-24,.2863795,.1930844,.286368,.0002992,.0002829,.00225,.888498,1170,-.0829554,2.396353,12.94661,.0385107,.0130702,.1512196,89.88752,-89.88753,48.98457,-48.98457,-1.047035,-.2756462,27,5
19,0,.2729073,.2138979,.2971253,.0020116,.0032392,-.002073,.8910457,8155,-.0403233,.9325888,4.789335,.0422451,.0918777,-.1013359,204.1741,-204.1741,49.84492,-49.84491,-1.102373,-1.151746,110,5
