coef_dist,coef_dist_se,hrr,eta,converged,log_like,coef_m,coef_m_se,patients,pcp_total,spec_total,mean_choice_size,mean_spec_failures,mean_pair_failures,mean_pcp_failures,spec_hhi,mean_vi
-.02888319,.00370202,62,5,1,-1451.96,9.048e-22,0,1112,139,116,7.988309,27.48148,.8152562,2.480543,.184841,.0305755
-.05198388,.0051404,65,5,1,-3879.027,1.159e-23,0,2092,282,172,7.819312,20.94511,.3400143,1.470504,.0765865,.040631
-.06101482,.00966694,69,1,1,-2401.584,.26954513,.2654188,1948,204,164,8.235626,28.05003,.5827489,2.738009,.3891745,.0087269
-.06108976,.00965473,69,5,1,-2401.787,.41345175,.5368809,1948,204,164,8.235626,28.05003,.5827489,2.738009,.3891745,.0087269
-.05096524,.00502221,73,1,1,-3610.263,.62559749,.2569181,2718,137,165,12.97241,22.76229,.465007,3.340859,.1081291,.080206
-.05096771,.00501863,73,5,1,-3609.562,1.3190785,.5185919,2718,137,165,12.97241,22.76229,.465007,3.340859,.1081291,.080206
-.06131615,.00233121,77,1,1,-18098.23,.04753712,.1578986,9013,621,405,12.74958,20.02534,.4210872,2.491314,.0559338,.1900588
-.06131677,.00233122,77,5,1,-18098.29,.03018239,.3577715,9013,621,405,12.74958,20.02534,.4210872,2.491314,.0559338,.1900588
-.07035011,.00601692,78,1,1,-2842.828,0,0,1904,125,112,11.24632,28.86649,.4706289,2.645943,.1696467,.039916
-.07027647,.00601086,78,5,1,-2842.98,3.591e-14,0,1904,125,112,11.24632,28.86649,.4706289,2.645943,.1696467,.039916
-.05939558,.0037794,79,1,1,-3429.904,1.93e-289,0,2295,365,320,8.107625,16.80705,.6108727,2.237073,.0448737,.124183
-.05939509,.00378127,79,5,1,-3429.913,.02090482,.6889131,2295,365,320,8.107625,16.80705,.6108727,2.237073,.0448737,.124183
-.07873545,.00376197,80,1,1,-12631.56,.40051015,.1892843,6719,579,376,9.996428,17.23513,.4535762,1.817801,.0590421,.1739842
-.07874141,.00376118,80,5,1,-12631.8,.82116127,.4264233,6719,579,376,9.996428,17.23513,.4535762,1.817801,.0590421,.1739842
-.12837952,.00931464,81,1,1,-5966.784,.42220529,.2765515,3021,316,207,11.78616,17.09188,.324449,2.163,.1035033,.0334326
-.12840655,.00932043,81,5,1,-5967.232,.74606823,.6041831,3021,316,207,11.78616,17.09188,.324449,2.163,.1035033,.0334326
-.07250893,.00758252,82,1,1,-5461.582,.28769163,.2967987,2917,281,179,10.2434,25.77935,.3590957,1.875774,.0775207,.1258142
-.07255161,.00758723,82,5,1,-5461.277,.75732135,.6685352,2917,281,179,10.2434,25.77935,.3590957,1.875774,.0775207,.1258142
-.05628596,.00495169,83,1,1,-2697.4,0,0,2011,160,132,9.802586,15.997,.3290627,1.851648,.1935968,.0417703
-.05625157,.00495619,83,5,1,-2697.472,2.358e-23,0,2011,160,132,9.802586,15.997,.3290627,1.851648,.1935968,.0417703
-.06024849,.00652369,85,1,1,-3681.536,0,0,2060,229,133,8.798544,31.55474,.3277193,1.720195,.1750627,.2111651
-.06027465,.00652352,85,5,1,-3681.596,9.522e-28,0,2060,229,133,8.798544,31.55474,.3277193,1.720195,.1750627,.2111651
-.06360908,.00371722,86,1,1,-4597.314,.14109477,.248901,2999,186,108,9.794265,18.56678,.4433476,2.04396,.1145422,.174058
-.06362295,.00372108,86,5,1,-4597.169,.38936308,.4830833,2999,186,108,9.794265,18.56678,.4433476,2.04396,.1145422,.174058
-.06102452,.01706121,87,1,1,-2893.438,3.357e-72,0,1393,116,113,10.59009,24.6633,.2903907,1.768898,.2215616,.3194544
-.06103062,.01705511,87,5,1,-2893.442,3.590e-26,6.00e-23,1393,116,113,10.59009,24.6633,.2903907,1.768898,.2215616,.3194544
-.07802479,.00668643,89,1,1,-3870.81,.2342996,.2814476,2153,169,129,10.89178,17.00513,.4018146,2.035415,.1298438,.1114724
-.07799829,.00668602,89,5,1,-3870.888,.39323109,.5359541,2153,169,129,10.89178,17.00513,.4018146,2.035415,.1298438,.1114724
-.03650188,.00482304,91,1,1,-3048.571,.8158453,.383088,1759,188,151,10.91416,21.74072,.3740522,2.819738,.0934711,.2211484
-.03653839,.00482937,91,5,1,-3048.041,1.852527,.8195955,1759,188,151,10.91416,21.74072,.3740522,2.819738,.0934711,.2211484
-.04522064,.00377053,96,1,1,-6823.357,7.971e-07,.0001201,3310,311,182,11.28852,22.98842,.4129663,2.028259,.1079693,.0129909
-.04521918,.00376957,96,5,1,-6823.358,1.136e-23,0,3310,311,182,11.28852,22.98842,.4129663,2.028259,.1079693,.0129909
-.08126368,.01252893,101,1,1,-1807.062,2.052e-14,0,1101,132,114,9.49228,15.12477,.398293,1.982633,.1566778,.1298819
-.08126368,.01252893,101,5,1,-1807.062,5.388e-51,0,1101,132,114,9.49228,15.12477,.398293,1.982633,.1566778,.1298819
-.0376859,.00330561,104,1,1,-3260.525,.52530518,.3543648,2257,206,148,9.907843,45.1361,.5461493,2.617411,.492412,.0948161
-.03768857,.00329614,104,5,1,-3261.015,.88981548,.7279197,2257,206,148,9.907843,45.1361,.5461493,2.617411,.492412,.0948161
-.06473241,.00389363,105,1,1,-2057.059,.02366156,.3525147,2161,213,172,7.453031,12.53997,.257329,1.199252,.1597764,.0522906
-.0647324,.00389353,105,5,1,-2057.06,.03320668,.7647567,2161,213,172,7.453031,12.53997,.257329,1.199252,.1597764,.0522906
-.0518713,.00648997,106,1,1,-3607.06,.01264566,.286936,1995,213,137,9.609022,35.5139,.4705046,2.661119,.3712386,.1598998
