coef_val,coef_se,hrr,eta,converged,log_like,fmly_level,patients,pcp_total,spec_total,mean_choice_size,mean_spec_failures,mean_pair_failures,mean_pcp_failures,spec_hhi,mean_vi
1.4534099,.1740962,5,5,1,-6122.795,5,3197,273,174,10.45261,37.54563,.4846566,2.439769,.3788719,.0043791
1.0097298,.09551009,5,5,1,-6122.795,2,3197,273,174,10.45261,37.54563,.4846566,2.439769,.3788719,.0043791
1.3143141,.13310938,5,5,1,-6122.795,4,3197,273,174,10.45261,37.54563,.4846566,2.439769,.3788719,.0043791
2.2426582,.188718,5,5,1,-6122.795,20,3197,273,174,10.45261,37.54563,.4846566,2.439769,.3788719,.0043791
2.78363,.14570023,6,1,1,-7112.188,15,3958,295,214,11.69429,17.10228,.4364785,2.963237,.17748,.0141486
1.9706823,.11225665,6,1,1,-7112.188,4,3958,295,214,11.69429,17.10228,.4364785,2.963237,.17748,.0141486
2.1730182,.13890514,6,1,1,-7112.188,7,3958,295,214,11.69429,17.10228,.4364785,2.963237,.17748,.0141486
1.1606271,.07942696,6,1,1,-7112.188,1,3958,295,214,11.69429,17.10228,.4364785,2.963237,.17748,.0141486
1.6423143,.1016863,6,1,1,-7112.188,3,3958,295,214,11.69429,17.10228,.4364785,2.963237,.17748,.0141486
2.3841293,.13414042,6,1,1,-7112.188,10,3958,295,214,11.69429,17.10228,.4364785,2.963237,.17748,.0141486
2.7381423,.18639827,6,1,1,-7112.188,20,3958,295,214,11.69429,17.10228,.4364785,2.963237,.17748,.0141486
1.4069279,.09660039,6,1,1,-7112.188,2,3958,295,214,11.69429,17.10228,.4364785,2.963237,.17748,.0141486
1.8408673,.14180741,6,1,1,-7112.188,5,3958,295,214,11.69429,17.10228,.4364785,2.963237,.17748,.0141486
1.8409086,.14189849,6,5,1,-7112.236,5,3958,295,214,11.69429,17.10228,.4364785,2.963237,.17748,.0141486
2.7388576,.18557326,6,5,1,-7112.236,20,3958,295,214,11.69429,17.10228,.4364785,2.963237,.17748,.0141486
2.7836201,.14569429,6,5,1,-7112.236,15,3958,295,214,11.69429,17.10228,.4364785,2.963237,.17748,.0141486
2.1729148,.13880662,6,5,1,-7112.236,7,3958,295,214,11.69429,17.10228,.4364785,2.963237,.17748,.0141486
1.9708233,.11229409,6,5,1,-7112.236,4,3958,295,214,11.69429,17.10228,.4364785,2.963237,.17748,.0141486
1.6423593,.10176368,6,5,1,-7112.236,3,3958,295,214,11.69429,17.10228,.4364785,2.963237,.17748,.0141486
2.3840284,.13388369,6,5,1,-7112.236,10,3958,295,214,11.69429,17.10228,.4364785,2.963237,.17748,.0141486
1.1606536,.07945105,6,5,1,-7112.236,1,3958,295,214,11.69429,17.10228,.4364785,2.963237,.17748,.0141486
1.4070999,.09666143,6,5,1,-7112.236,2,3958,295,214,11.69429,17.10228,.4364785,2.963237,.17748,.0141486
1.7285331,.16472896,7,1,1,-3221.196,7,1868,164,138,12.21306,18.208,.388983,2.626214,.223802,.0240899
2.188851,.19756735,7,1,1,-3221.196,10,1868,164,138,12.21306,18.208,.388983,2.626214,.223802,.0240899
1.0513515,.10968225,7,1,1,-3221.196,2,1868,164,138,12.21306,18.208,.388983,2.626214,.223802,.0240899
1.8952886,.28123916,7,1,1,-3221.196,15,1868,164,138,12.21306,18.208,.388983,2.626214,.223802,.0240899
2.2434197,1.5189642,7,1,1,-3221.196,20,1868,164,138,12.21306,18.208,.388983,2.626214,.223802,.0240899
.56400336,.10641982,7,1,1,-3221.196,1,1868,164,138,12.21306,18.208,.388983,2.626214,.223802,.0240899
1.4722907,.17552774,7,1,1,-3221.196,5,1868,164,138,12.21306,18.208,.388983,2.626214,.223802,.0240899
1.3672859,.12319045,7,1,1,-3221.196,3,1868,164,138,12.21306,18.208,.388983,2.626214,.223802,.0240899
1.2723939,.15221529,7,1,1,-3221.196,4,1868,164,138,12.21306,18.208,.388983,2.626214,.223802,.0240899
1.0516265,.10999425,7,5,1,-3221.21,2,1868,164,138,12.21306,18.208,.388983,2.626214,.223802,.0240899
1.7293729,.16439712,7,5,1,-3221.21,7,1868,164,138,12.21306,18.208,.388983,2.626214,.223802,.0240899
1.2718997,.15202035,7,5,1,-3221.21,4,1868,164,138,12.21306,18.208,.388983,2.626214,.223802,.0240899
2.242253,1.5188561,7,5,1,-3221.21,20,1868,164,138,12.21306,18.208,.388983,2.626214,.223802,.0240899
1.4716472,.17543702,7,5,1,-3221.21,5,1868,164,138,12.21306,18.208,.388983,2.626214,.223802,.0240899
1.8957828,.28139721,7,5,1,-3221.21,15,1868,164,138,12.21306,18.208,.388983,2.626214,.223802,.0240899
1.3668092,.12298869,7,5,1,-3221.21,3,1868,164,138,12.21306,18.208,.388983,2.626214,.223802,.0240899
.56435163,.10647499,7,5,1,-3221.21,1,1868,164,138,12.21306,18.208,.388983,2.626214,.223802,.0240899
2.1890385,.19746997,7,5,1,-3221.21,10,1868,164,138,12.21306,18.208,.388983,2.626214,.223802,.0240899
.81500033,.79299766,9,1,1,-217.5368,5,149,49,51,5.18792,18.21088,.368421,2.489796,.1229224,.0536913
2.8606207,.56444892,9,1,1,-217.5368,15,149,49,51,5.18792,18.21088,.368421,2.489796,.1229224,.0536913
1.5152659,.39932918,9,1,1,-217.5368,2,149,49,51,5.18792,18.21088,.368421,2.489796,.1229224,.0536913
1.7712591,1.3139175,9,1,1,-217.5368,10,149,49,51,5.18792,18.21088,.368421,2.489796,.1229224,.0536913
2.7401545,.60013511,9,1,1,-217.5368,7,149,49,51,5.18792,18.21088,.368421,2.489796,.1229224,.0536913
4.2116446,1.1306554,9,1,1,-217.5368,20,149,49,51,5.18792,18.21088,.368421,2.489796,.1229224,.0536913
2.5762224,.58845191,9,1,1,-217.5368,3,149,49,51,5.18792,18.21088,.368421,2.489796,.1229224,.0536913
1.8756128,.75484114,9,1,1,-217.5368,4,149,49,51,5.18792,18.21088,.368421,2.489796,.1229224,.0536913
1.0299989,.30665866,9,1,1,-217.5368,1,149,49,51,5.18792,18.21088,.368421,2.489796,.1229224,.0536913
2.8244391,.56410991,9,5,1,-217.4276,15,149,49,51,5.18792,18.21088,.368421,2.489796,.1229224,.0536913
2.5713311,.58769592,9,5,1,-217.4276,3,149,49,51,5.18792,18.21088,.368421,2.489796,.1229224,.0536913
4.0605718,1.1767996,9,5,1,-217.4276,20,149,49,51,5.18792,18.21088,.368421,2.489796,.1229224,.0536913
1.0192346,.31156702,9,5,1,-217.4276,1,149,49,51,5.18792,18.21088,.368421,2.489796,.1229224,.0536913
2.7217677,.61017276,9,5,1,-217.4276,7,149,49,51,5.18792,18.21088,.368421,2.489796,.1229224,.0536913
1.8714122,.76606296,9,5,1,-217.4276,4,149,49,51,5.18792,18.21088,.368421,2.489796,.1229224,.0536913
1.5120287,.39711332,9,5,1,-217.4276,2,149,49,51,5.18792,18.21088,.368421,2.489796,.1229224,.0536913
1.7498303,1.3273614,9,5,1,-217.4276,10,149,49,51,5.18792,18.21088,.368421,2.489796,.1229224,.0536913
.74406912,.80324142,9,5,1,-217.4276,5,149,49,51,5.18792,18.21088,.368421,2.489796,.1229224,.0536913
.66137791,.17005533,10,1,1,-1593.653,2,1699,266,284,9.894644,19.01602,.4123435,2.08773,.11061,.0370806
